GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000122	negative regulation of transcription by ...	22	8	2.05	0.00055	5topBP.G1.ND.NS-G1.D.NS.down.txt	Lc35319.1
GO:0000122	negative regulation of transcription by ...	22	8	2.05	0.00055	5topBP.G1.ND.NS-G1.D.NS.down.txt	Lc09733.1
GO:0000122	negative regulation of transcription by ...	22	8	2.05	0.00055	5topBP.G1.ND.NS-G1.D.NS.down.txt	Lc07564.1
GO:0000122	negative regulation of transcription by ...	22	8	2.05	0.00055	5topBP.G1.ND.NS-G1.D.NS.down.txt	Lc26445.1
GO:0000122	negative regulation of transcription by ...	22	8	2.05	0.00055	5topBP.G1.ND.NS-G1.D.NS.down.txt	Lc32065.1
GO:0000122	negative regulation of transcription by ...	22	8	2.05	0.00055	5topBP.G1.ND.NS-G1.D.NS.down.txt	Lc35969.1
GO:0000122	negative regulation of transcription by ...	22	8	2.05	0.00055	5topBP.G1.ND.NS-G1.D.NS.down.txt	Lc36891.1
GO:0000122	negative regulation of transcription by ...	22	8	2.05	0.00055	5topBP.G1.ND.NS-G1.D.NS.down.txt	Lc12602.1
GO:0000160	phosphorelay signal transduction system	362	57	33.79	0.00116	5topBP.G1.ND.NS-G1.D.NS.down.txt	Lc34589.1
GO:0000160	phosphorelay signal transduction system	362	57	33.79	0.00116	5topBP.G1.ND.NS-G1.D.NS.down.txt	Lc33103.1
GO:0000160	phosphorelay signal transduction system	362	57	33.79	0.00116	5topBP.G1.ND.NS-G1.D.NS.down.txt	Lc22919.1
GO:0000160	phosphorelay signal transduction system	362	57	33.79	0.00116	5topBP.G1.ND.NS-G1.D.NS.down.txt	Lc21816.1
GO:0000160	phosphorelay signal transduction system	362	57	33.79	0.00116	5topBP.G1.ND.NS-G1.D.NS.down.txt	Lc17267.1
GO:0000160	phosphorelay signal transduction system	362	57	33.79	0.00116	5topBP.G1.ND.NS-G1.D.NS.down.txt	Lc19311.1
GO:0000160	phosphorelay signal transduction system	362	57	33.79	0.00116	5topBP.G1.ND.NS-G1.D.NS.down.txt	Lc04202.1
GO:0000160	phosphorelay signal transduction system	362	57	33.79	0.00116	5topBP.G1.ND.NS-G1.D.NS.down.txt	Lc36761.1
GO:0000160	phosphorelay signal transduction system	362	57	33.79	0.00116	5topBP.G1.ND.NS-G1.D.NS.down.txt	Lc19113.1
