GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000154	rRNA modification	21	9	1.89	4.1e-05	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc03324.1
GO:0000154	rRNA modification	21	9	1.89	4.1e-05	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc17530.1
GO:0000154	rRNA modification	21	9	1.89	4.1e-05	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc10764.1
GO:0000154	rRNA modification	21	9	1.89	4.1e-05	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc13090.1
GO:0000154	rRNA modification	21	9	1.89	4.1e-05	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc37193.1
GO:0000154	rRNA modification	21	9	1.89	4.1e-05	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc05969.1
GO:0000154	rRNA modification	21	9	1.89	4.1e-05	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc20178.1
GO:0000154	rRNA modification	21	9	1.89	4.1e-05	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc28673.1
GO:0000154	rRNA modification	21	9	1.89	4.1e-05	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc29398.1
GO:0000162	tryptophan biosynthetic process	31	10	2.79	0.00026	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc16618.1
GO:0000162	tryptophan biosynthetic process	31	10	2.79	0.00026	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc36633.1
GO:0000162	tryptophan biosynthetic process	31	10	2.79	0.00026	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc15135.1
GO:0000162	tryptophan biosynthetic process	31	10	2.79	0.00026	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc05489.1
GO:0000162	tryptophan biosynthetic process	31	10	2.79	0.00026	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc25890.1
GO:0000162	tryptophan biosynthetic process	31	10	2.79	0.00026	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc34958.1
GO:0000162	tryptophan biosynthetic process	31	10	2.79	0.00026	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc19703.1
GO:0000162	tryptophan biosynthetic process	31	10	2.79	0.00026	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc22275.1
GO:0000162	tryptophan biosynthetic process	31	10	2.79	0.00026	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc14374.1
GO:0000162	tryptophan biosynthetic process	31	10	2.79	0.00026	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc21925.1
GO:0000914	phragmoplast assembly	6	5	0.54	3.3e-05	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc24494.1
GO:0000914	phragmoplast assembly	6	5	0.54	3.3e-05	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc12331.1
GO:0000914	phragmoplast assembly	6	5	0.54	3.3e-05	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc06351.1
GO:0000914	phragmoplast assembly	6	5	0.54	3.3e-05	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc02276.1
GO:0000914	phragmoplast assembly	6	5	0.54	3.3e-05	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc17900.1
GO:0000959	mitochondrial RNA metabolic process	80	29	7.21	2.2e-11	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc05769.1
GO:0000959	mitochondrial RNA metabolic process	80	29	7.21	2.2e-11	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc14175.1
GO:0000959	mitochondrial RNA metabolic process	80	29	7.21	2.2e-11	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc10730.1
GO:0000959	mitochondrial RNA metabolic process	80	29	7.21	2.2e-11	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc02239.1
GO:0000959	mitochondrial RNA metabolic process	80	29	7.21	2.2e-11	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc21341.1
GO:0000959	mitochondrial RNA metabolic process	80	29	7.21	2.2e-11	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc11196.1
GO:0000959	mitochondrial RNA metabolic process	80	29	7.21	2.2e-11	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc25694.1
GO:0000959	mitochondrial RNA metabolic process	80	29	7.21	2.2e-11	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc11439.1
GO:0000959	mitochondrial RNA metabolic process	80	29	7.21	2.2e-11	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc02206.1
GO:0000959	mitochondrial RNA metabolic process	80	29	7.21	2.2e-11	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc01390.1
GO:0000959	mitochondrial RNA metabolic process	80	29	7.21	2.2e-11	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc05978.1
GO:0000959	mitochondrial RNA metabolic process	80	29	7.21	2.2e-11	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc09417.1
GO:0000959	mitochondrial RNA metabolic process	80	29	7.21	2.2e-11	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc09235.1
GO:0000959	mitochondrial RNA metabolic process	80	29	7.21	2.2e-11	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc21371.1
GO:0000959	mitochondrial RNA metabolic process	80	29	7.21	2.2e-11	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc13079.1
GO:0000959	mitochondrial RNA metabolic process	80	29	7.21	2.2e-11	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc25549.1
GO:0000959	mitochondrial RNA metabolic process	80	29	7.21	2.2e-11	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc06870.1
GO:0000959	mitochondrial RNA metabolic process	80	29	7.21	2.2e-11	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc26292.1
GO:0000959	mitochondrial RNA metabolic process	80	29	7.21	2.2e-11	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc09345.1
GO:0000959	mitochondrial RNA metabolic process	80	29	7.21	2.2e-11	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc30670.1
GO:0000959	mitochondrial RNA metabolic process	80	29	7.21	2.2e-11	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc32868.1
GO:0000959	mitochondrial RNA metabolic process	80	29	7.21	2.2e-11	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc34280.1
GO:0000959	mitochondrial RNA metabolic process	80	29	7.21	2.2e-11	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc33918.1
GO:0000959	mitochondrial RNA metabolic process	80	29	7.21	2.2e-11	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc08676.1
GO:0000959	mitochondrial RNA metabolic process	80	29	7.21	2.2e-11	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc28510.1
GO:0000959	mitochondrial RNA metabolic process	80	29	7.21	2.2e-11	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc30305.1
GO:0000959	mitochondrial RNA metabolic process	80	29	7.21	2.2e-11	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc33404.1
GO:0000959	mitochondrial RNA metabolic process	80	29	7.21	2.2e-11	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc22468.1
GO:0000959	mitochondrial RNA metabolic process	80	29	7.21	2.2e-11	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc34854.1
GO:0001944	vasculature development	39	9	3.51	0.00676	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc00052.1
GO:0001944	vasculature development	39	9	3.51	0.00676	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc04191.1
GO:0001944	vasculature development	39	9	3.51	0.00676	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc27342.1
GO:0001944	vasculature development	39	9	3.51	0.00676	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc23234.1
GO:0001944	vasculature development	39	9	3.51	0.00676	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc22038.1
GO:0001944	vasculature development	39	9	3.51	0.00676	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc00792.1
GO:0001944	vasculature development	39	9	3.51	0.00676	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc00069.1
GO:0001944	vasculature development	39	9	3.51	0.00676	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc00237.1
GO:0001944	vasculature development	39	9	3.51	0.00676	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc26897.1
GO:0006260	DNA replication	202	46	18.19	0.00430	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc11115.1
GO:0006260	DNA replication	202	46	18.19	0.00430	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc14011.1
GO:0006260	DNA replication	202	46	18.19	0.00430	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc10214.1
GO:0006260	DNA replication	202	46	18.19	0.00430	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc10652.1
GO:0006260	DNA replication	202	46	18.19	0.00430	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc19213.1
GO:0006260	DNA replication	202	46	18.19	0.00430	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc11385.1
GO:0006260	DNA replication	202	46	18.19	0.00430	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc16443.1
GO:0006260	DNA replication	202	46	18.19	0.00430	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc29828.1
GO:0006260	DNA replication	202	46	18.19	0.00430	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc06840.1
GO:0006260	DNA replication	202	46	18.19	0.00430	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc11939.1
GO:0006260	DNA replication	202	46	18.19	0.00430	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc17970.1
GO:0006260	DNA replication	202	46	18.19	0.00430	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc21920.1
GO:0006260	DNA replication	202	46	18.19	0.00430	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc29771.1
GO:0006260	DNA replication	202	46	18.19	0.00430	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc34196.1
GO:0006260	DNA replication	202	46	18.19	0.00430	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc17905.1
GO:0006260	DNA replication	202	46	18.19	0.00430	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc12154.1
GO:0006260	DNA replication	202	46	18.19	0.00430	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc14017.1
GO:0006260	DNA replication	202	46	18.19	0.00430	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc25433.1
GO:0006260	DNA replication	202	46	18.19	0.00430	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc21844.1
GO:0006260	DNA replication	202	46	18.19	0.00430	5topBP.G1.ND.NS-G1.D.NS.up.txt	Lc36938.1
