GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc21213.1
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc01507.1
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc27993.1
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc18397.1
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc30574.1
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc17806.1
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc23191.1
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc24475.1
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc36669.1
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc37861.1
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc25041.1
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc21187.1
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc37116.1
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc19098.1
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc05394.1
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc18243.1
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc33162.1
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc30107.1
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc15695.1
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc38093.1
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc23353.1
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc28794.1
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc29506.1
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc18647.1
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc30039.1
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc29018.1
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc18648.1
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc13685.1
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc05842.1
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc10092.1
GO:0000041	transition metal ion transport	135	31	20.39	0.02304	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc06366.1
GO:0000162	tryptophan biosynthetic process	31	9	4.68	0.03540	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc20135.1
GO:0000162	tryptophan biosynthetic process	31	9	4.68	0.03540	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc15135.1
GO:0000162	tryptophan biosynthetic process	31	9	4.68	0.03540	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc23176.1
GO:0000162	tryptophan biosynthetic process	31	9	4.68	0.03540	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc17472.1
GO:0000162	tryptophan biosynthetic process	31	9	4.68	0.03540	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc36633.1
GO:0000162	tryptophan biosynthetic process	31	9	4.68	0.03540	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc21925.1
GO:0000162	tryptophan biosynthetic process	31	9	4.68	0.03540	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc16618.1
GO:0000162	tryptophan biosynthetic process	31	9	4.68	0.03540	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc05489.1
GO:0000162	tryptophan biosynthetic process	31	9	4.68	0.03540	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc15493.1
GO:0000466	maturation of 5.8S rRNA from tricistroni...	12	5	1.81	0.02458	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc08885.1
GO:0000466	maturation of 5.8S rRNA from tricistroni...	12	5	1.81	0.02458	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc34632.1
GO:0000466	maturation of 5.8S rRNA from tricistroni...	12	5	1.81	0.02458	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc14108.1
GO:0000466	maturation of 5.8S rRNA from tricistroni...	12	5	1.81	0.02458	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc04548.1
GO:0000466	maturation of 5.8S rRNA from tricistroni...	12	5	1.81	0.02458	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc09565.1
GO:0003333	amino acid transmembrane transport	112	27	16.92	0.00432	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc03326.1
GO:0003333	amino acid transmembrane transport	112	27	16.92	0.00432	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc12330.1
GO:0003333	amino acid transmembrane transport	112	27	16.92	0.00432	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc03615.1
GO:0003333	amino acid transmembrane transport	112	27	16.92	0.00432	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc05143.1
GO:0003333	amino acid transmembrane transport	112	27	16.92	0.00432	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc14427.1
GO:0003333	amino acid transmembrane transport	112	27	16.92	0.00432	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc12815.1
GO:0003333	amino acid transmembrane transport	112	27	16.92	0.00432	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc35232.1
GO:0003333	amino acid transmembrane transport	112	27	16.92	0.00432	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc07687.1
GO:0003333	amino acid transmembrane transport	112	27	16.92	0.00432	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc20113.1
GO:0003333	amino acid transmembrane transport	112	27	16.92	0.00432	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc00657.1
GO:0003333	amino acid transmembrane transport	112	27	16.92	0.00432	5topBP.G1.ND.NS-G1.D.S.both.txt	Lc07688.1
