GO.ID	Term	Annotated	Significant	Expected	p.value
GO:0009416	response to light stimulus	1236	189	98.3	3.0e-12
GO:0080167	response to karrikin	223	46	17.74	1.8e-09
GO:0006559	L-phenylalanine catabolic process	12	9	0.95	2.2e-08
GO:0009611	response to wounding	490	75	38.97	3.2e-08
GO:0009636	response to toxic substance	364	61	28.95	5.8e-08
GO:0006468	protein phosphorylation	1409	170	112.06	7.0e-08
GO:0044550	secondary metabolite biosynthetic proces...	463	71	36.82	1.2e-07
GO:0009415	response to water	636	89	50.58	1.2e-07
GO:0015994	chlorophyll metabolic process	136	29	10.82	8.2e-07
GO:0005984	disaccharide metabolic process	88	21	7	4.1e-06
GO:0071489	cellular response to red or far red ligh...	124	26	9.86	4.1e-06
GO:0046244	salicylic acid catabolic process	9	6	0.72	1.7e-05
GO:0010325	raffinose family oligosaccharide biosynt...	6	5	0.48	1.8e-05
GO:0010114	response to red light	99	21	7.87	2.8e-05
GO:0048511	rhythmic process	201	34	15.99	3.6e-05
GO:0071470	cellular response to osmotic stress	53	14	4.22	4.8e-05
GO:0015698	inorganic anion transport	184	31	14.63	5.5e-05
GO:0055114	oxidation-reduction process	2387	242	189.84	6.9e-05
GO:0010039	response to iron ion	83	18	6.6	7.6e-05
GO:0046688	response to copper ion	16	7	1.27	0.00012
GO:0009902	chloroplast relocation	28	9	2.23	0.00021
GO:0042128	nitrate assimilation	55	13	4.37	0.00030
GO:0009808	lignin metabolic process	188	29	14.95	0.00044
GO:0010236	plastoquinone biosynthetic process	6	4	0.48	0.00053
GO:0071492	cellular response to UV-A	10	5	0.8	0.00057
GO:0009939	positive regulation of gibberellic acid ...	7	4	0.56	0.00115
GO:0009408	response to heat	408	51	32.45	0.00123
GO:0006020	inositol metabolic process	17	6	1.35	0.00144
GO:0010029	regulation of seed germination	149	23	11.85	0.00162
GO:0072348	sulfur compound transport	43	10	3.42	0.00166
GO:0055088	lipid homeostasis	58	12	4.61	0.00177
GO:0016131	brassinosteroid metabolic process	66	13	5.25	0.00186
GO:0010166	wax metabolic process	51	11	4.06	0.00191
GO:0035336	long-chain fatty-acyl-CoA metabolic proc...	8	4	0.64	0.00215
GO:0010021	amylopectin biosynthetic process	8	4	0.64	0.00215
GO:1901002	positive regulation of response to salt ...	13	5	1.03	0.00237
GO:0010189	vitamin E biosynthetic process	13	5	1.03	0.00237
GO:0001101	response to acid chemical	2048	239	162.88	0.00237
GO:0006970	response to osmotic stress	1142	133	90.82	0.00243
GO:0050832	defense response to fungus	476	56	37.86	0.00270
GO:0016123	xanthophyll biosynthetic process	9	4	0.72	0.00363
GO:0009313	oligosaccharide catabolic process	9	4	0.72	0.00363
GO:0030001	metal ion transport	491	63	39.05	0.00370
GO:0010201	response to continuous far red light sti...	5	3	0.4	0.00444
