GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000038	very long-chain fatty acid metabolic pro...	35	7	2.78	0.01858	5topBP.G1.ND.NS-G1.D.S.down.txt	Lc06696.1
GO:0000038	very long-chain fatty acid metabolic pro...	35	7	2.78	0.01858	5topBP.G1.ND.NS-G1.D.S.down.txt	Lc31416.1
GO:0000038	very long-chain fatty acid metabolic pro...	35	7	2.78	0.01858	5topBP.G1.ND.NS-G1.D.S.down.txt	Lc28258.1
GO:0000038	very long-chain fatty acid metabolic pro...	35	7	2.78	0.01858	5topBP.G1.ND.NS-G1.D.S.down.txt	Lc21593.1
GO:0000038	very long-chain fatty acid metabolic pro...	35	7	2.78	0.01858	5topBP.G1.ND.NS-G1.D.S.down.txt	Lc13013.1
GO:0000038	very long-chain fatty acid metabolic pro...	35	7	2.78	0.01858	5topBP.G1.ND.NS-G1.D.S.down.txt	Lc00615.1
GO:0000038	very long-chain fatty acid metabolic pro...	35	7	2.78	0.01858	5topBP.G1.ND.NS-G1.D.S.down.txt	Lc38433.1
GO:0001101	response to acid chemical	2048	239	162.88	0.00237	5topBP.G1.ND.NS-G1.D.S.down.txt	Lc01507.1
GO:0001101	response to acid chemical	2048	239	162.88	0.00237	5topBP.G1.ND.NS-G1.D.S.down.txt	Lc11066.1
GO:0001101	response to acid chemical	2048	239	162.88	0.00237	5topBP.G1.ND.NS-G1.D.S.down.txt	Lc00657.1
GO:0001101	response to acid chemical	2048	239	162.88	0.00237	5topBP.G1.ND.NS-G1.D.S.down.txt	Lc11214.1
GO:0001101	response to acid chemical	2048	239	162.88	0.00237	5topBP.G1.ND.NS-G1.D.S.down.txt	Lc00437.1
GO:0001101	response to acid chemical	2048	239	162.88	0.00237	5topBP.G1.ND.NS-G1.D.S.down.txt	Lc00377.1
GO:0001101	response to acid chemical	2048	239	162.88	0.00237	5topBP.G1.ND.NS-G1.D.S.down.txt	Lc18836.1
GO:0001101	response to acid chemical	2048	239	162.88	0.00237	5topBP.G1.ND.NS-G1.D.S.down.txt	Lc18150.1
GO:0001101	response to acid chemical	2048	239	162.88	0.00237	5topBP.G1.ND.NS-G1.D.S.down.txt	Lc10319.1
GO:0001101	response to acid chemical	2048	239	162.88	0.00237	5topBP.G1.ND.NS-G1.D.S.down.txt	Lc32027.1
GO:0001101	response to acid chemical	2048	239	162.88	0.00237	5topBP.G1.ND.NS-G1.D.S.down.txt	Lc11217.1
GO:0001101	response to acid chemical	2048	239	162.88	0.00237	5topBP.G1.ND.NS-G1.D.S.down.txt	Lc10627.1
GO:0001101	response to acid chemical	2048	239	162.88	0.00237	5topBP.G1.ND.NS-G1.D.S.down.txt	Lc06112.1
GO:0001101	response to acid chemical	2048	239	162.88	0.00237	5topBP.G1.ND.NS-G1.D.S.down.txt	Lc18299.1
