GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000076	DNA replication checkpoint	6	2	0.43	0.06323	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc24951.1
GO:0000076	DNA replication checkpoint	6	2	0.43	0.06323	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc32169.1
GO:0000105	histidine biosynthetic process	17	4	1.22	0.02928	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc37757.1
GO:0000105	histidine biosynthetic process	17	4	1.22	0.02928	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc05489.1
GO:0000105	histidine biosynthetic process	17	4	1.22	0.02928	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc33047.1
GO:0000105	histidine biosynthetic process	17	4	1.22	0.02928	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc07922.1
GO:0000162	tryptophan biosynthetic process	31	8	2.22	0.00120	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc17472.1
GO:0000162	tryptophan biosynthetic process	31	8	2.22	0.00120	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc36633.1
GO:0000162	tryptophan biosynthetic process	31	8	2.22	0.00120	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc21925.1
GO:0000162	tryptophan biosynthetic process	31	8	2.22	0.00120	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc15135.1
GO:0000162	tryptophan biosynthetic process	31	8	2.22	0.00120	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc16618.1
GO:0000162	tryptophan biosynthetic process	31	8	2.22	0.00120	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc15493.1
GO:0000162	tryptophan biosynthetic process	31	8	2.22	0.00120	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc05489.1
GO:0000162	tryptophan biosynthetic process	31	8	2.22	0.00120	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc23176.1
GO:0000373	Group II intron splicing	24	7	1.72	0.00111	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc36285.1
GO:0000373	Group II intron splicing	24	7	1.72	0.00111	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc24767.1
GO:0000373	Group II intron splicing	24	7	1.72	0.00111	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc06241.1
GO:0000373	Group II intron splicing	24	7	1.72	0.00111	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc36958.1
GO:0000373	Group II intron splicing	24	7	1.72	0.00111	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc10073.1
GO:0000373	Group II intron splicing	24	7	1.72	0.00111	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc24394.1
GO:0000373	Group II intron splicing	24	7	1.72	0.00111	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc33848.1
GO:0000380	alternative mRNA splicing, via spliceoso...	21	4	1.5	0.05876	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc19111.1
GO:0000380	alternative mRNA splicing, via spliceoso...	21	4	1.5	0.05876	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc16301.1
GO:0000380	alternative mRNA splicing, via spliceoso...	21	4	1.5	0.05876	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc16840.1
GO:0000380	alternative mRNA splicing, via spliceoso...	21	4	1.5	0.05876	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc12770.1
GO:0000466	maturation of 5.8S rRNA from tricistroni...	12	5	0.86	0.00096	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc04548.1
GO:0000466	maturation of 5.8S rRNA from tricistroni...	12	5	0.86	0.00096	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc14108.1
GO:0000466	maturation of 5.8S rRNA from tricistroni...	12	5	0.86	0.00096	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc09565.1
GO:0000466	maturation of 5.8S rRNA from tricistroni...	12	5	0.86	0.00096	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc08885.1
GO:0000466	maturation of 5.8S rRNA from tricistroni...	12	5	0.86	0.00096	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc34632.1
GO:0000959	mitochondrial RNA metabolic process	80	19	5.72	0.02475	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc30796.1
GO:0000959	mitochondrial RNA metabolic process	80	19	5.72	0.02475	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc14175.1
GO:0000959	mitochondrial RNA metabolic process	80	19	5.72	0.02475	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc10730.1
GO:0000959	mitochondrial RNA metabolic process	80	19	5.72	0.02475	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc34854.1
GO:0000959	mitochondrial RNA metabolic process	80	19	5.72	0.02475	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc36943.1
GO:0000959	mitochondrial RNA metabolic process	80	19	5.72	0.02475	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc30305.1
GO:0000959	mitochondrial RNA metabolic process	80	19	5.72	0.02475	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc25694.1
GO:0000959	mitochondrial RNA metabolic process	80	19	5.72	0.02475	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc26292.1
GO:0000959	mitochondrial RNA metabolic process	80	19	5.72	0.02475	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc14260.1
GO:0000959	mitochondrial RNA metabolic process	80	19	5.72	0.02475	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc33404.1
GO:0000959	mitochondrial RNA metabolic process	80	19	5.72	0.02475	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc01390.1
GO:0000959	mitochondrial RNA metabolic process	80	19	5.72	0.02475	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc21371.1
GO:0000959	mitochondrial RNA metabolic process	80	19	5.72	0.02475	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc11196.1
GO:0000959	mitochondrial RNA metabolic process	80	19	5.72	0.02475	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc14925.1
GO:0000959	mitochondrial RNA metabolic process	80	19	5.72	0.02475	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc03739.1
GO:0000959	mitochondrial RNA metabolic process	80	19	5.72	0.02475	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc21341.1
GO:0000959	mitochondrial RNA metabolic process	80	19	5.72	0.02475	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc05978.1
GO:0000959	mitochondrial RNA metabolic process	80	19	5.72	0.02475	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc02206.1
GO:0000959	mitochondrial RNA metabolic process	80	19	5.72	0.02475	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc22468.1
GO:0005992	trehalose biosynthetic process	24	5	1.72	0.02523	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc32098.1
GO:0005992	trehalose biosynthetic process	24	5	1.72	0.02523	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc18336.1
GO:0005992	trehalose biosynthetic process	24	5	1.72	0.02523	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc01827.1
GO:0005992	trehalose biosynthetic process	24	5	1.72	0.02523	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc09347.1
GO:0005992	trehalose biosynthetic process	24	5	1.72	0.02523	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc35282.1
GO:0006348	chromatin silencing at telomere	6	2	0.43	0.06323	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc27207.1
GO:0006348	chromatin silencing at telomere	6	2	0.43	0.06323	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc21065.1
GO:0006353	DNA-templated transcription, termination	18	5	1.29	0.00726	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc03441.1
GO:0006353	DNA-templated transcription, termination	18	5	1.29	0.00726	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc23584.1
GO:0006353	DNA-templated transcription, termination	18	5	1.29	0.00726	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc16140.1
GO:0006353	DNA-templated transcription, termination	18	5	1.29	0.00726	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc12143.1
GO:0006353	DNA-templated transcription, termination	18	5	1.29	0.00726	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc01189.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc00361.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc01031.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc38086.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc00782.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc16398.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc28130.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc37193.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc20626.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc36958.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc11564.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc01189.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc37002.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc13530.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc21341.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc12770.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc13090.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc08202.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc04691.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc27684.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc05917.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc16840.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc28350.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc37340.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc15932.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc30429.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc27915.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc07966.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc21371.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc20007.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc08418.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc20534.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc30796.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc09429.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc21740.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc08037.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc08885.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc30384.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc19471.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc24302.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc27879.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc11196.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc24300.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc09565.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc16195.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc16920.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc24394.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc03739.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc05570.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc07477.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc03441.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc15400.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc36285.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc20087.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc26644.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc17253.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc37491.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc09609.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc20178.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc19111.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc19258.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc06463.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc04548.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc36064.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc36193.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc10764.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc36943.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc24111.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc20540.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc31712.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc02319.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc02378.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc32583.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc09955.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc30315.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc06281.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc03324.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc15200.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc22302.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc23584.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc34854.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc16301.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc31678.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc20915.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc21229.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc26166.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc14108.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc02586.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc04278.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc30305.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc10498.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc15146.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc23450.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc34632.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc30802.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc05978.1
GO:0006396	RNA processing	940	130	67.24	0.05033	5topBP.G1.ND.NS-G1.D.S.up.txt	Lc01703.1
