GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000162	tryptophan biosynthetic process	31	8	2.15	0.00097	5topBP.G1.ND.S-G1.D.S.up.txt	Lc36633.1
GO:0000162	tryptophan biosynthetic process	31	8	2.15	0.00097	5topBP.G1.ND.S-G1.D.S.up.txt	Lc23176.1
GO:0000162	tryptophan biosynthetic process	31	8	2.15	0.00097	5topBP.G1.ND.S-G1.D.S.up.txt	Lc15135.1
GO:0000162	tryptophan biosynthetic process	31	8	2.15	0.00097	5topBP.G1.ND.S-G1.D.S.up.txt	Lc15493.1
GO:0000162	tryptophan biosynthetic process	31	8	2.15	0.00097	5topBP.G1.ND.S-G1.D.S.up.txt	Lc16618.1
GO:0000162	tryptophan biosynthetic process	31	8	2.15	0.00097	5topBP.G1.ND.S-G1.D.S.up.txt	Lc05489.1
GO:0000162	tryptophan biosynthetic process	31	8	2.15	0.00097	5topBP.G1.ND.S-G1.D.S.up.txt	Lc21925.1
GO:0000162	tryptophan biosynthetic process	31	8	2.15	0.00097	5topBP.G1.ND.S-G1.D.S.up.txt	Lc17472.1
GO:0000373	Group II intron splicing	24	6	1.66	0.00498	5topBP.G1.ND.S-G1.D.S.up.txt	Lc06241.1
GO:0000373	Group II intron splicing	24	6	1.66	0.00498	5topBP.G1.ND.S-G1.D.S.up.txt	Lc36285.1
GO:0000373	Group II intron splicing	24	6	1.66	0.00498	5topBP.G1.ND.S-G1.D.S.up.txt	Lc24767.1
GO:0000373	Group II intron splicing	24	6	1.66	0.00498	5topBP.G1.ND.S-G1.D.S.up.txt	Lc10073.1
GO:0000373	Group II intron splicing	24	6	1.66	0.00498	5topBP.G1.ND.S-G1.D.S.up.txt	Lc36958.1
GO:0000373	Group II intron splicing	24	6	1.66	0.00498	5topBP.G1.ND.S-G1.D.S.up.txt	Lc24394.1
GO:0000380	alternative mRNA splicing, via spliceoso...	21	4	1.45	0.05325	5topBP.G1.ND.S-G1.D.S.up.txt	Lc16301.1
GO:0000380	alternative mRNA splicing, via spliceoso...	21	4	1.45	0.05325	5topBP.G1.ND.S-G1.D.S.up.txt	Lc16840.1
GO:0000380	alternative mRNA splicing, via spliceoso...	21	4	1.45	0.05325	5topBP.G1.ND.S-G1.D.S.up.txt	Lc19111.1
GO:0000380	alternative mRNA splicing, via spliceoso...	21	4	1.45	0.05325	5topBP.G1.ND.S-G1.D.S.up.txt	Lc12770.1
GO:0000959	mitochondrial RNA metabolic process	80	20	5.54	0.06940	5topBP.G1.ND.S-G1.D.S.up.txt	Lc14260.1
GO:0000959	mitochondrial RNA metabolic process	80	20	5.54	0.06940	5topBP.G1.ND.S-G1.D.S.up.txt	Lc30305.1
GO:0000959	mitochondrial RNA metabolic process	80	20	5.54	0.06940	5topBP.G1.ND.S-G1.D.S.up.txt	Lc21371.1
GO:0000959	mitochondrial RNA metabolic process	80	20	5.54	0.06940	5topBP.G1.ND.S-G1.D.S.up.txt	Lc25694.1
GO:0000959	mitochondrial RNA metabolic process	80	20	5.54	0.06940	5topBP.G1.ND.S-G1.D.S.up.txt	Lc25771.1
GO:0000959	mitochondrial RNA metabolic process	80	20	5.54	0.06940	5topBP.G1.ND.S-G1.D.S.up.txt	Lc26292.1
GO:0000959	mitochondrial RNA metabolic process	80	20	5.54	0.06940	5topBP.G1.ND.S-G1.D.S.up.txt	Lc01390.1
GO:0000959	mitochondrial RNA metabolic process	80	20	5.54	0.06940	5topBP.G1.ND.S-G1.D.S.up.txt	Lc02206.1
GO:0000959	mitochondrial RNA metabolic process	80	20	5.54	0.06940	5topBP.G1.ND.S-G1.D.S.up.txt	Lc03739.1
GO:0000959	mitochondrial RNA metabolic process	80	20	5.54	0.06940	5topBP.G1.ND.S-G1.D.S.up.txt	Lc05978.1
GO:0000959	mitochondrial RNA metabolic process	80	20	5.54	0.06940	5topBP.G1.ND.S-G1.D.S.up.txt	Lc10730.1
GO:0000959	mitochondrial RNA metabolic process	80	20	5.54	0.06940	5topBP.G1.ND.S-G1.D.S.up.txt	Lc11196.1
GO:0000959	mitochondrial RNA metabolic process	80	20	5.54	0.06940	5topBP.G1.ND.S-G1.D.S.up.txt	Lc14175.1
GO:0000959	mitochondrial RNA metabolic process	80	20	5.54	0.06940	5topBP.G1.ND.S-G1.D.S.up.txt	Lc14925.1
GO:0000959	mitochondrial RNA metabolic process	80	20	5.54	0.06940	5topBP.G1.ND.S-G1.D.S.up.txt	Lc21341.1
GO:0000959	mitochondrial RNA metabolic process	80	20	5.54	0.06940	5topBP.G1.ND.S-G1.D.S.up.txt	Lc33404.1
GO:0000959	mitochondrial RNA metabolic process	80	20	5.54	0.06940	5topBP.G1.ND.S-G1.D.S.up.txt	Lc34854.1
GO:0000959	mitochondrial RNA metabolic process	80	20	5.54	0.06940	5topBP.G1.ND.S-G1.D.S.up.txt	Lc22468.1
GO:0000959	mitochondrial RNA metabolic process	80	20	5.54	0.06940	5topBP.G1.ND.S-G1.D.S.up.txt	Lc31953.1
GO:0000959	mitochondrial RNA metabolic process	80	20	5.54	0.06940	5topBP.G1.ND.S-G1.D.S.up.txt	Lc36943.1
GO:0001944	vasculature development	39	6	2.7	0.05004	5topBP.G1.ND.S-G1.D.S.up.txt	Lc31906.1
GO:0001944	vasculature development	39	6	2.7	0.05004	5topBP.G1.ND.S-G1.D.S.up.txt	Lc28749.1
GO:0001944	vasculature development	39	6	2.7	0.05004	5topBP.G1.ND.S-G1.D.S.up.txt	Lc00069.1
GO:0001944	vasculature development	39	6	2.7	0.05004	5topBP.G1.ND.S-G1.D.S.up.txt	Lc18752.1
GO:0001944	vasculature development	39	6	2.7	0.05004	5topBP.G1.ND.S-G1.D.S.up.txt	Lc00052.1
GO:0001944	vasculature development	39	6	2.7	0.05004	5topBP.G1.ND.S-G1.D.S.up.txt	Lc00237.1
GO:0003002	regionalization	241	27	16.69	0.02005	5topBP.G1.ND.S-G1.D.S.up.txt	Lc31733.1
GO:0003002	regionalization	241	27	16.69	0.02005	5topBP.G1.ND.S-G1.D.S.up.txt	Lc15166.1
GO:0003002	regionalization	241	27	16.69	0.02005	5topBP.G1.ND.S-G1.D.S.up.txt	Lc31177.1
GO:0003002	regionalization	241	27	16.69	0.02005	5topBP.G1.ND.S-G1.D.S.up.txt	Lc37126.1
GO:0003002	regionalization	241	27	16.69	0.02005	5topBP.G1.ND.S-G1.D.S.up.txt	Lc30983.1
GO:0003002	regionalization	241	27	16.69	0.02005	5topBP.G1.ND.S-G1.D.S.up.txt	Lc30122.1
GO:0003002	regionalization	241	27	16.69	0.02005	5topBP.G1.ND.S-G1.D.S.up.txt	Lc16236.1
GO:0003002	regionalization	241	27	16.69	0.02005	5topBP.G1.ND.S-G1.D.S.up.txt	Lc13253.1
GO:0003002	regionalization	241	27	16.69	0.02005	5topBP.G1.ND.S-G1.D.S.up.txt	Lc11779.1
GO:0003002	regionalization	241	27	16.69	0.02005	5topBP.G1.ND.S-G1.D.S.up.txt	Lc04453.1
GO:0003002	regionalization	241	27	16.69	0.02005	5topBP.G1.ND.S-G1.D.S.up.txt	Lc06463.1
GO:0003002	regionalization	241	27	16.69	0.02005	5topBP.G1.ND.S-G1.D.S.up.txt	Lc15836.1
GO:0003002	regionalization	241	27	16.69	0.02005	5topBP.G1.ND.S-G1.D.S.up.txt	Lc15034.1
GO:0003002	regionalization	241	27	16.69	0.02005	5topBP.G1.ND.S-G1.D.S.up.txt	Lc27529.1
GO:0003002	regionalization	241	27	16.69	0.02005	5topBP.G1.ND.S-G1.D.S.up.txt	Lc22006.1
GO:0003002	regionalization	241	27	16.69	0.02005	5topBP.G1.ND.S-G1.D.S.up.txt	Lc18225.1
GO:0003002	regionalization	241	27	16.69	0.02005	5topBP.G1.ND.S-G1.D.S.up.txt	Lc11082.1
GO:0003002	regionalization	241	27	16.69	0.02005	5topBP.G1.ND.S-G1.D.S.up.txt	Lc00361.1
GO:0003002	regionalization	241	27	16.69	0.02005	5topBP.G1.ND.S-G1.D.S.up.txt	Lc12385.1
GO:0003002	regionalization	241	27	16.69	0.02005	5topBP.G1.ND.S-G1.D.S.up.txt	Lc04346.1
GO:0003002	regionalization	241	27	16.69	0.02005	5topBP.G1.ND.S-G1.D.S.up.txt	Lc22823.1
GO:0003002	regionalization	241	27	16.69	0.02005	5topBP.G1.ND.S-G1.D.S.up.txt	Lc26555.1
GO:0003002	regionalization	241	27	16.69	0.02005	5topBP.G1.ND.S-G1.D.S.up.txt	Lc19471.1
GO:0003002	regionalization	241	27	16.69	0.02005	5topBP.G1.ND.S-G1.D.S.up.txt	Lc29829.1
GO:0003002	regionalization	241	27	16.69	0.02005	5topBP.G1.ND.S-G1.D.S.up.txt	Lc18070.1
GO:0003002	regionalization	241	27	16.69	0.02005	5topBP.G1.ND.S-G1.D.S.up.txt	Lc11996.1
GO:0003002	regionalization	241	27	16.69	0.02005	5topBP.G1.ND.S-G1.D.S.up.txt	Lc24728.1
GO:0005992	trehalose biosynthetic process	24	5	1.66	0.02225	5topBP.G1.ND.S-G1.D.S.up.txt	Lc01827.1
GO:0005992	trehalose biosynthetic process	24	5	1.66	0.02225	5topBP.G1.ND.S-G1.D.S.up.txt	Lc18336.1
GO:0005992	trehalose biosynthetic process	24	5	1.66	0.02225	5topBP.G1.ND.S-G1.D.S.up.txt	Lc32098.1
GO:0005992	trehalose biosynthetic process	24	5	1.66	0.02225	5topBP.G1.ND.S-G1.D.S.up.txt	Lc35282.1
GO:0005992	trehalose biosynthetic process	24	5	1.66	0.02225	5topBP.G1.ND.S-G1.D.S.up.txt	Lc09347.1
GO:0006260	DNA replication	202	28	13.99	0.00045	5topBP.G1.ND.S-G1.D.S.up.txt	Lc24455.1
GO:0006260	DNA replication	202	28	13.99	0.00045	5topBP.G1.ND.S-G1.D.S.up.txt	Lc29771.1
GO:0006260	DNA replication	202	28	13.99	0.00045	5topBP.G1.ND.S-G1.D.S.up.txt	Lc34196.1
GO:0006260	DNA replication	202	28	13.99	0.00045	5topBP.G1.ND.S-G1.D.S.up.txt	Lc23404.1
GO:0006260	DNA replication	202	28	13.99	0.00045	5topBP.G1.ND.S-G1.D.S.up.txt	Lc24456.1
GO:0006260	DNA replication	202	28	13.99	0.00045	5topBP.G1.ND.S-G1.D.S.up.txt	Lc29828.1
GO:0006260	DNA replication	202	28	13.99	0.00045	5topBP.G1.ND.S-G1.D.S.up.txt	Lc30113.1
GO:0006260	DNA replication	202	28	13.99	0.00045	5topBP.G1.ND.S-G1.D.S.up.txt	Lc06840.1
GO:0006260	DNA replication	202	28	13.99	0.00045	5topBP.G1.ND.S-G1.D.S.up.txt	Lc19213.1
GO:0006260	DNA replication	202	28	13.99	0.00045	5topBP.G1.ND.S-G1.D.S.up.txt	Lc21844.1
GO:0006260	DNA replication	202	28	13.99	0.00045	5topBP.G1.ND.S-G1.D.S.up.txt	Lc28758.1
GO:0006260	DNA replication	202	28	13.99	0.00045	5topBP.G1.ND.S-G1.D.S.up.txt	Lc35264.1
GO:0006260	DNA replication	202	28	13.99	0.00045	5topBP.G1.ND.S-G1.D.S.up.txt	Lc04161.1
GO:0006260	DNA replication	202	28	13.99	0.00045	5topBP.G1.ND.S-G1.D.S.up.txt	Lc20171.1
GO:0006260	DNA replication	202	28	13.99	0.00045	5topBP.G1.ND.S-G1.D.S.up.txt	Lc14011.1
GO:0006260	DNA replication	202	28	13.99	0.00045	5topBP.G1.ND.S-G1.D.S.up.txt	Lc03273.1
GO:0006260	DNA replication	202	28	13.99	0.00045	5topBP.G1.ND.S-G1.D.S.up.txt	Lc07418.1
GO:0006260	DNA replication	202	28	13.99	0.00045	5topBP.G1.ND.S-G1.D.S.up.txt	Lc15452.1
GO:0006260	DNA replication	202	28	13.99	0.00045	5topBP.G1.ND.S-G1.D.S.up.txt	Lc11939.1
GO:0006260	DNA replication	202	28	13.99	0.00045	5topBP.G1.ND.S-G1.D.S.up.txt	Lc13657.1
GO:0006260	DNA replication	202	28	13.99	0.00045	5topBP.G1.ND.S-G1.D.S.up.txt	Lc06171.1
GO:0006260	DNA replication	202	28	13.99	0.00045	5topBP.G1.ND.S-G1.D.S.up.txt	Lc36938.1
GO:0006260	DNA replication	202	28	13.99	0.00045	5topBP.G1.ND.S-G1.D.S.up.txt	Lc12417.1
GO:0006260	DNA replication	202	28	13.99	0.00045	5topBP.G1.ND.S-G1.D.S.up.txt	Lc15316.1
GO:0006260	DNA replication	202	28	13.99	0.00045	5topBP.G1.ND.S-G1.D.S.up.txt	Lc12154.1
GO:0006260	DNA replication	202	28	13.99	0.00045	5topBP.G1.ND.S-G1.D.S.up.txt	Lc12496.1
GO:0006260	DNA replication	202	28	13.99	0.00045	5topBP.G1.ND.S-G1.D.S.up.txt	Lc12671.1
GO:0006260	DNA replication	202	28	13.99	0.00045	5topBP.G1.ND.S-G1.D.S.up.txt	Lc08919.1
GO:0006353	DNA-templated transcription, termination	18	4	1.25	0.03207	5topBP.G1.ND.S-G1.D.S.up.txt	Lc12143.1
GO:0006353	DNA-templated transcription, termination	18	4	1.25	0.03207	5topBP.G1.ND.S-G1.D.S.up.txt	Lc01189.1
GO:0006353	DNA-templated transcription, termination	18	4	1.25	0.03207	5topBP.G1.ND.S-G1.D.S.up.txt	Lc03441.1
GO:0006353	DNA-templated transcription, termination	18	4	1.25	0.03207	5topBP.G1.ND.S-G1.D.S.up.txt	Lc23584.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc08037.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc26251.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc25771.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc06463.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc01703.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc07966.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc01792.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc24805.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc01189.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc05969.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc03441.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc26644.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc06241.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc08202.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc26166.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc00361.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc00782.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc01031.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc36193.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc05978.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc05991.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc02378.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc02586.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc03259.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc03324.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc38086.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc03739.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc04278.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc04548.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc04691.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc05570.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc05917.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc36285.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc36943.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc19169.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc19258.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc06281.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc30315.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc30384.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc30429.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc30662.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc08418.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc08885.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc09429.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc09525.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc18685.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc19111.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc21740.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc22006.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc22302.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc23450.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc23584.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc24111.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc24300.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc24302.1
GO:0006396	RNA processing	940	132	65.09	0.06195	5topBP.G1.ND.S-G1.D.S.up.txt	Lc24394.1
