GO.ID	Term	Annotated	Significant	Expected	p.value
GO:0055072	iron ion homeostasis	73	5	0.23	5.7e-05
GO:1904668	positive regulation of ubiquitin protein...	8	2	0.03	0.00027
GO:0019388	galactose catabolic process	12	2	0.04	0.00063
GO:0009590	detection of gravity	13	2	0.04	0.00074
GO:0071484	cellular response to light intensity	17	2	0.05	0.00129
GO:0010193	response to ozone	75	3	0.24	0.00172
GO:0034644	cellular response to UV	22	2	0.07	0.00217
GO:0005978	glycogen biosynthetic process	22	2	0.07	0.00217
GO:1900150	regulation of defense response to fungus	26	2	0.08	0.00302
GO:0072593	reactive oxygen species metabolic proces...	317	5	1	0.00328
GO:0032508	DNA duplex unwinding	29	2	0.09	0.00375
GO:0009694	jasmonic acid metabolic process	106	3	0.33	0.00458
GO:0055114	oxidation-reduction process	2387	17	7.5	0.00517
GO:0019252	starch biosynthetic process	45	2	0.14	0.00885
GO:0045490	pectin catabolic process	135	3	0.42	0.00892
GO:0035194	posttranscriptional gene silencing by RN...	136	3	0.43	0.00910
GO:0009102	biotin biosynthetic process	5	1	0.02	0.01562
GO:0006006	glucose metabolic process	61	2	0.19	0.01585
GO:0009631	cold acclimation	62	2	0.19	0.01634
GO:0010501	RNA secondary structure unwinding	64	2	0.2	0.01735
GO:0006167	AMP biosynthetic process	6	1	0.02	0.01871
GO:0010106	cellular response to iron ion starvation	6	1	0.02	0.01871
GO:0006556	S-adenosylmethionine biosynthetic proces...	6	1	0.02	0.01871
GO:0071035	nuclear polyadenylation-dependent rRNA c...	6	1	0.02	0.01871
GO:0010046	response to mycotoxin	6	1	0.02	0.01871
GO:0048480	stigma development	6	1	0.02	0.01871
GO:0009611	response to wounding	490	5	1.54	0.01925
GO:0010587	miRNA catabolic process	7	1	0.02	0.02179
GO:0034471	ncRNA 5'-end processing	7	1	0.02	0.02179
GO:0060149	negative regulation of posttranscription...	8	1	0.03	0.02487
GO:0032261	purine nucleotide salvage	8	1	0.03	0.02487
GO:1902626	assembly of large subunit precursor of p...	9	1	0.03	0.02793
GO:1901678	iron coordination entity transport	9	1	0.03	0.02793
GO:0015691	cadmium ion transport	10	1	0.03	0.03099
GO:0042256	mature ribosome assembly	12	1	0.04	0.03707
GO:0006878	cellular copper ion homeostasis	12	1	0.04	0.03707
GO:0042545	cell wall modification	237	3	0.74	0.03886
GO:0010114	response to red light	99	2	0.31	0.03891
GO:0010037	response to carbon dioxide	13	1	0.04	0.04010
GO:0009819	drought recovery	13	1	0.04	0.04010
GO:0031348	negative regulation of defense response	104	2	0.33	0.04254
GO:0010117	photoprotection	14	1	0.04	0.04312
