GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000054	ribosomal subunit export from nucleus	22	1	0.07	0.06693	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc31952.1
GO:0000165	MAPK cascade	20	1	0.06	0.06103	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc11088.1
GO:0000460	maturation of 5.8S rRNA	19	1	0.06	0.05807	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc31952.1
GO:0000470	maturation of LSU-rRNA	17	1	0.05	0.05212	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc31952.1
GO:0002213	defense response to insect	37	1	0.12	0.11000	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc36030.1
GO:0005978	glycogen biosynthetic process	22	2	0.07	0.00217	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc21909.1
GO:0005978	glycogen biosynthetic process	22	2	0.07	0.00217	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc28228.1
GO:0005986	sucrose biosynthetic process	27	1	0.08	0.08151	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc29766.1
GO:0006006	glucose metabolic process	61	2	0.19	0.01585	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc28228.1
GO:0006006	glucose metabolic process	61	2	0.19	0.01585	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc21909.1
GO:0006032	chitin catabolic process	43	1	0.14	0.12668	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc09786.1
GO:0006167	AMP biosynthetic process	6	1	0.02	0.01871	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc20378.1
GO:0006270	DNA replication initiation	34	1	0.11	0.10155	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc08919.1
GO:0006556	S-adenosylmethionine biosynthetic proces...	6	1	0.02	0.01871	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc36199.1
GO:0006614	SRP-dependent cotranslational protein ta...	19	1	0.06	0.05807	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc17410.1
GO:0006662	glycerol ether metabolic process	48	1	0.15	0.14033	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc33092.1
GO:0006730	one-carbon metabolic process	52	1	0.16	0.15111	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc36199.1
GO:0006754	ATP biosynthetic process	165	2	0.52	0.09520	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc19871.1
GO:0006754	ATP biosynthetic process	165	2	0.52	0.09520	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc06090.1
GO:0006826	iron ion transport	33	1	0.1	0.09871	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc30107.1
GO:0006828	manganese ion transport	25	1	0.08	0.07570	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc30574.1
GO:0006875	cellular metal ion homeostasis	151	4	0.47	0.05052	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc07954.1
GO:0006875	cellular metal ion homeostasis	151	4	0.47	0.05052	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc30107.1
GO:0006875	cellular metal ion homeostasis	151	4	0.47	0.05052	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc31360.1
GO:0006875	cellular metal ion homeostasis	151	4	0.47	0.05052	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc30574.1
GO:0006878	cellular copper ion homeostasis	12	1	0.04	0.03707	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc31360.1
GO:0007346	regulation of mitotic cell cycle	127	2	0.4	0.06069	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc11644.1
GO:0007346	regulation of mitotic cell cycle	127	2	0.4	0.06069	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc11088.1
GO:0009102	biotin biosynthetic process	5	1	0.02	0.01562	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc37506.1
GO:0009113	purine nucleobase biosynthetic process	23	1	0.07	0.06986	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc20378.1
GO:0009411	response to UV	240	4	0.75	0.14484	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc31183.1
GO:0009411	response to UV	240	4	0.75	0.14484	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc31395.1
GO:0009411	response to UV	240	4	0.75	0.14484	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc27435.1
GO:0009411	response to UV	240	4	0.75	0.14484	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc03922.1
GO:0009590	detection of gravity	13	2	0.04	0.00074	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc21909.1
GO:0009590	detection of gravity	13	2	0.04	0.00074	5topBP.G1.ND.S-G1.ND.NS.both.txt	Lc28228.1
