GO.ID	Term	Annotated	Significant	Expected	p.value
GO:0019388	galactose catabolic process	12	2	0.02	0.00023
GO:0055072	iron ion homeostasis	73	4	0.14	0.00027
GO:0009590	detection of gravity	13	2	0.02	0.00027
GO:0005978	glycogen biosynthetic process	22	2	0.04	0.00079
GO:0009694	jasmonic acid metabolic process	106	3	0.2	0.00108
GO:0032508	DNA duplex unwinding	29	2	0.05	0.00138
GO:0009611	response to wounding	490	5	0.93	0.00231
GO:0055114	oxidation-reduction process	2387	13	4.52	0.00298
GO:0019252	starch biosynthetic process	45	2	0.09	0.00330
GO:0006006	glucose metabolic process	61	2	0.12	0.00599
GO:0009631	cold acclimation	62	2	0.12	0.00618
GO:0010501	RNA secondary structure unwinding	64	2	0.12	0.00657
GO:0010193	response to ozone	75	2	0.14	0.00893
GO:0009102	biotin biosynthetic process	5	1	0.01	0.00943
GO:0010046	response to mycotoxin	6	1	0.01	0.01130
GO:0006167	AMP biosynthetic process	6	1	0.01	0.01130
GO:0010106	cellular response to iron ion starvation	6	1	0.01	0.01130
GO:0048480	stigma development	6	1	0.01	0.01130
GO:0071035	nuclear polyadenylation-dependent rRNA c...	6	1	0.01	0.01130
GO:0010587	miRNA catabolic process	7	1	0.01	0.01318
GO:0034471	ncRNA 5'-end processing	7	1	0.01	0.01318
GO:0032261	purine nucleotide salvage	8	1	0.02	0.01504
GO:1904668	positive regulation of ubiquitin protein...	8	1	0.02	0.01504
GO:0060149	negative regulation of posttranscription...	8	1	0.02	0.01504
GO:0010114	response to red light	99	2	0.19	0.01517
GO:1901678	iron coordination entity transport	9	1	0.02	0.01691
GO:0015691	cadmium ion transport	10	1	0.02	0.01877
GO:0071492	cellular response to UV-A	10	1	0.02	0.01877
GO:0071486	cellular response to high light intensit...	12	1	0.02	0.02248
GO:0006875	cellular metal ion homeostasis	151	3	0.29	0.02372
GO:0009819	drought recovery	13	1	0.02	0.02433
GO:2000377	regulation of reactive oxygen species me...	128	2	0.24	0.02454
GO:0010190	cytochrome b6f complex assembly	14	1	0.03	0.02618
GO:0010117	photoprotection	14	1	0.03	0.02618
GO:0048443	stamen development	141	2	0.27	0.02934
GO:0046129	purine ribonucleoside biosynthetic proce...	18	1	0.03	0.03354
GO:0009867	jasmonic acid mediated signaling pathway	159	2	0.3	0.03655
GO:0043174	nucleoside salvage	21	1	0.04	0.03902
GO:0010233	phloem transport	22	1	0.04	0.04084
GO:0009113	purine nucleobase biosynthetic process	23	1	0.04	0.04265
GO:0052033	pathogen-associated molecular pattern de...	23	1	0.04	0.04265
GO:0016024	CDP-diacylglycerol biosynthetic process	23	1	0.04	0.04265
GO:0006828	manganese ion transport	25	1	0.05	0.04628
GO:0015692	lead ion transport	25	1	0.05	0.04628
GO:0080036	regulation of cytokinin-activated signal...	28	1	0.05	0.05169
GO:0006826	iron ion transport	33	1	0.06	0.06064
GO:0071490	cellular response to far red light	35	1	0.07	0.06420
GO:0080167	response to karrikin	223	2	0.42	0.06677
GO:0002213	defense response to insect	37	1	0.07	0.06774
GO:0009411	response to UV	240	3	0.45	0.06820
GO:0045926	negative regulation of growth	38	1	0.07	0.06951
