GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000054	ribosomal subunit export from nucleus	22	1	0.03	0.02715	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc31952.1
GO:0000165	MAPK cascade	20	1	0.02	0.02471	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc11088.1
GO:0000460	maturation of 5.8S rRNA	19	1	0.02	0.02349	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc31952.1
GO:0000470	maturation of LSU-rRNA	17	1	0.02	0.02104	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc31952.1
GO:0001666	response to hypoxia	115	1	0.14	0.13422	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc29766.1
GO:0005986	sucrose biosynthetic process	27	1	0.03	0.03322	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc29766.1
GO:0006270	DNA replication initiation	34	1	0.04	0.04166	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc08919.1
GO:0006355	regulation of transcription, DNA-templat...	3229	3	4.04	0.96644	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc30297.1
GO:0006355	regulation of transcription, DNA-templat...	3229	3	4.04	0.96644	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc28979.1
GO:0006355	regulation of transcription, DNA-templat...	3229	3	4.04	0.96644	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc17476.1
GO:0006357	regulation of transcription by RNA polym...	463	2	0.58	0.11370	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc30297.1
GO:0006357	regulation of transcription by RNA polym...	463	2	0.58	0.11370	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc28979.1
GO:0006412	translation	1114	3	1.39	0.35610	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc38300.1
GO:0006412	translation	1114	3	1.39	0.35610	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc18557.1
GO:0006412	translation	1114	3	1.39	0.35610	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc31952.1
GO:0006413	translational initiation	137	1	0.17	0.15782	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc31952.1
GO:0006468	protein phosphorylation	1409	4	1.76	0.35755	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc31366.1
GO:0006468	protein phosphorylation	1409	4	1.76	0.35755	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc33880.1
GO:0006468	protein phosphorylation	1409	4	1.76	0.35755	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc11088.1
GO:0006468	protein phosphorylation	1409	4	1.76	0.35755	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc15083.1
GO:0006508	proteolysis	1246	3	1.56	0.27369	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc29143.1
GO:0006508	proteolysis	1246	3	1.56	0.27369	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc13915.1
GO:0006508	proteolysis	1246	3	1.56	0.27369	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc09015.1
GO:0006556	S-adenosylmethionine biosynthetic proces...	6	1	0.01	0.00748	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc36199.1
GO:0006614	SRP-dependent cotranslational protein ta...	19	1	0.02	0.02349	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc17410.1
GO:0006730	one-carbon metabolic process	52	1	0.06	0.06302	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc36199.1
GO:0006801	superoxide metabolic process	29	2	0.04	0.00060	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc31360.1
GO:0006801	superoxide metabolic process	29	2	0.04	0.00060	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc27435.1
GO:0006812	cation transport	664	2	0.83	0.44415	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc31360.1
GO:0006812	cation transport	664	2	0.83	0.44415	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc19871.1
GO:0006878	cellular copper ion homeostasis	12	1	0.01	0.01490	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc31360.1
GO:0006950	response to stress	5502	11	6.88	0.91419	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc37282.1
GO:0006950	response to stress	5502	11	6.88	0.91419	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc11088.1
GO:0006950	response to stress	5502	11	6.88	0.91419	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc31366.1
GO:0006950	response to stress	5502	11	6.88	0.91419	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc32191.1
GO:0006950	response to stress	5502	11	6.88	0.91419	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc29143.1
GO:0006950	response to stress	5502	11	6.88	0.91419	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc33880.1
GO:0006950	response to stress	5502	11	6.88	0.91419	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc13915.1
GO:0006950	response to stress	5502	11	6.88	0.91419	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc29766.1
GO:0006950	response to stress	5502	11	6.88	0.91419	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc28979.1
GO:0006950	response to stress	5502	11	6.88	0.91419	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc33881.1
GO:0006950	response to stress	5502	11	6.88	0.91419	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc27435.1
GO:0006952	defense response	2388	9	2.98	0.09576	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc31366.1
GO:0006952	defense response	2388	9	2.98	0.09576	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc33880.1
GO:0006952	defense response	2388	9	2.98	0.09576	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc33881.1
GO:0006952	defense response	2388	9	2.98	0.09576	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc28979.1
GO:0006952	defense response	2388	9	2.98	0.09576	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc27435.1
GO:0006952	defense response	2388	9	2.98	0.09576	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc13915.1
GO:0006952	defense response	2388	9	2.98	0.09576	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc32191.1
GO:0006952	defense response	2388	9	2.98	0.09576	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc29143.1
GO:0006952	defense response	2388	9	2.98	0.09576	5topBP.G1.ND.S-G1.ND.NS.up.txt	Lc11088.1
