GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000162	tryptophan biosynthetic process	31	12	5.1	0.00250	5topBP.G2.D.S-G2.D.NS.both.txt	Lc13040.1
GO:0000162	tryptophan biosynthetic process	31	12	5.1	0.00250	5topBP.G2.D.S-G2.D.NS.both.txt	Lc22275.1
GO:0000162	tryptophan biosynthetic process	31	12	5.1	0.00250	5topBP.G2.D.S-G2.D.NS.both.txt	Lc17472.1
GO:0000162	tryptophan biosynthetic process	31	12	5.1	0.00250	5topBP.G2.D.S-G2.D.NS.both.txt	Lc15135.1
GO:0000162	tryptophan biosynthetic process	31	12	5.1	0.00250	5topBP.G2.D.S-G2.D.NS.both.txt	Lc20135.1
GO:0000162	tryptophan biosynthetic process	31	12	5.1	0.00250	5topBP.G2.D.S-G2.D.NS.both.txt	Lc23226.1
GO:0000162	tryptophan biosynthetic process	31	12	5.1	0.00250	5topBP.G2.D.S-G2.D.NS.both.txt	Lc15493.1
GO:0000162	tryptophan biosynthetic process	31	12	5.1	0.00250	5topBP.G2.D.S-G2.D.NS.both.txt	Lc34706.1
GO:0000162	tryptophan biosynthetic process	31	12	5.1	0.00250	5topBP.G2.D.S-G2.D.NS.both.txt	Lc14374.1
GO:0000162	tryptophan biosynthetic process	31	12	5.1	0.00250	5topBP.G2.D.S-G2.D.NS.both.txt	Lc23176.1
GO:0000162	tryptophan biosynthetic process	31	12	5.1	0.00250	5topBP.G2.D.S-G2.D.NS.both.txt	Lc36633.1
GO:0000162	tryptophan biosynthetic process	31	12	5.1	0.00250	5topBP.G2.D.S-G2.D.NS.both.txt	Lc16618.1
GO:0001101	response to acid chemical	2048	477	336.87	0.00011	5topBP.G2.D.S-G2.D.NS.both.txt	Lc17602.1
GO:0001101	response to acid chemical	2048	477	336.87	0.00011	5topBP.G2.D.S-G2.D.NS.both.txt	Lc25639.1
GO:0001101	response to acid chemical	2048	477	336.87	0.00011	5topBP.G2.D.S-G2.D.NS.both.txt	Lc37668.1
GO:0001101	response to acid chemical	2048	477	336.87	0.00011	5topBP.G2.D.S-G2.D.NS.both.txt	Lc17459.1
GO:0001101	response to acid chemical	2048	477	336.87	0.00011	5topBP.G2.D.S-G2.D.NS.both.txt	Lc17343.1
GO:0001101	response to acid chemical	2048	477	336.87	0.00011	5topBP.G2.D.S-G2.D.NS.both.txt	Lc37535.1
GO:0001101	response to acid chemical	2048	477	336.87	0.00011	5topBP.G2.D.S-G2.D.NS.both.txt	Lc25369.1
