GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000160	phosphorelay signal transduction system	362	46	26.18	0.00022	5topBP.G2.D.S-G2.D.NS.down.txt	Lc36761.1
GO:0000160	phosphorelay signal transduction system	362	46	26.18	0.00022	5topBP.G2.D.S-G2.D.NS.down.txt	Lc08962.1
GO:0000160	phosphorelay signal transduction system	362	46	26.18	0.00022	5topBP.G2.D.S-G2.D.NS.down.txt	Lc25594.1
GO:0000160	phosphorelay signal transduction system	362	46	26.18	0.00022	5topBP.G2.D.S-G2.D.NS.down.txt	Lc31644.1
GO:0000160	phosphorelay signal transduction system	362	46	26.18	0.00022	5topBP.G2.D.S-G2.D.NS.down.txt	Lc13179.1
GO:0000160	phosphorelay signal transduction system	362	46	26.18	0.00022	5topBP.G2.D.S-G2.D.NS.down.txt	Lc01838.1
GO:0000160	phosphorelay signal transduction system	362	46	26.18	0.00022	5topBP.G2.D.S-G2.D.NS.down.txt	Lc22548.1
GO:0000160	phosphorelay signal transduction system	362	46	26.18	0.00022	5topBP.G2.D.S-G2.D.NS.down.txt	Lc21941.1
GO:0000160	phosphorelay signal transduction system	362	46	26.18	0.00022	5topBP.G2.D.S-G2.D.NS.down.txt	Lc03081.1
GO:0000160	phosphorelay signal transduction system	362	46	26.18	0.00022	5topBP.G2.D.S-G2.D.NS.down.txt	Lc11038.1
GO:0000160	phosphorelay signal transduction system	362	46	26.18	0.00022	5topBP.G2.D.S-G2.D.NS.down.txt	Lc12966.1
GO:0000160	phosphorelay signal transduction system	362	46	26.18	0.00022	5topBP.G2.D.S-G2.D.NS.down.txt	Lc21816.1
GO:0000160	phosphorelay signal transduction system	362	46	26.18	0.00022	5topBP.G2.D.S-G2.D.NS.down.txt	Lc30419.1
GO:0000160	phosphorelay signal transduction system	362	46	26.18	0.00022	5topBP.G2.D.S-G2.D.NS.down.txt	Lc02525.1
GO:0000160	phosphorelay signal transduction system	362	46	26.18	0.00022	5topBP.G2.D.S-G2.D.NS.down.txt	Lc00625.1
GO:0000160	phosphorelay signal transduction system	362	46	26.18	0.00022	5topBP.G2.D.S-G2.D.NS.down.txt	Lc05956.1
GO:0000160	phosphorelay signal transduction system	362	46	26.18	0.00022	5topBP.G2.D.S-G2.D.NS.down.txt	Lc04536.1
GO:0000160	phosphorelay signal transduction system	362	46	26.18	0.00022	5topBP.G2.D.S-G2.D.NS.down.txt	Lc12107.1
GO:0000160	phosphorelay signal transduction system	362	46	26.18	0.00022	5topBP.G2.D.S-G2.D.NS.down.txt	Lc29022.1
GO:0000160	phosphorelay signal transduction system	362	46	26.18	0.00022	5topBP.G2.D.S-G2.D.NS.down.txt	Lc33281.1
GO:0000160	phosphorelay signal transduction system	362	46	26.18	0.00022	5topBP.G2.D.S-G2.D.NS.down.txt	Lc33103.1
GO:0000160	phosphorelay signal transduction system	362	46	26.18	0.00022	5topBP.G2.D.S-G2.D.NS.down.txt	Lc34589.1
GO:0000160	phosphorelay signal transduction system	362	46	26.18	0.00022	5topBP.G2.D.S-G2.D.NS.down.txt	Lc24226.1
GO:0000160	phosphorelay signal transduction system	362	46	26.18	0.00022	5topBP.G2.D.S-G2.D.NS.down.txt	Lc20664.1
GO:0000160	phosphorelay signal transduction system	362	46	26.18	0.00022	5topBP.G2.D.S-G2.D.NS.down.txt	Lc04202.1
GO:0000160	phosphorelay signal transduction system	362	46	26.18	0.00022	5topBP.G2.D.S-G2.D.NS.down.txt	Lc28015.1
GO:0000160	phosphorelay signal transduction system	362	46	26.18	0.00022	5topBP.G2.D.S-G2.D.NS.down.txt	Lc09413.1
GO:0000160	phosphorelay signal transduction system	362	46	26.18	0.00022	5topBP.G2.D.S-G2.D.NS.down.txt	Lc24215.1
GO:0000160	phosphorelay signal transduction system	362	46	26.18	0.00022	5topBP.G2.D.S-G2.D.NS.down.txt	Lc19787.1
