GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000162	tryptophan biosynthetic process	31	9	2.86	0.00146	5topBP.G2.D.S-G2.D.NS.up.txt	Lc17472.1
GO:0000162	tryptophan biosynthetic process	31	9	2.86	0.00146	5topBP.G2.D.S-G2.D.NS.up.txt	Lc36633.1
GO:0000162	tryptophan biosynthetic process	31	9	2.86	0.00146	5topBP.G2.D.S-G2.D.NS.up.txt	Lc34706.1
GO:0000162	tryptophan biosynthetic process	31	9	2.86	0.00146	5topBP.G2.D.S-G2.D.NS.up.txt	Lc22275.1
GO:0000162	tryptophan biosynthetic process	31	9	2.86	0.00146	5topBP.G2.D.S-G2.D.NS.up.txt	Lc14374.1
GO:0000162	tryptophan biosynthetic process	31	9	2.86	0.00146	5topBP.G2.D.S-G2.D.NS.up.txt	Lc16618.1
GO:0000162	tryptophan biosynthetic process	31	9	2.86	0.00146	5topBP.G2.D.S-G2.D.NS.up.txt	Lc15135.1
GO:0000162	tryptophan biosynthetic process	31	9	2.86	0.00146	5topBP.G2.D.S-G2.D.NS.up.txt	Lc15493.1
GO:0000162	tryptophan biosynthetic process	31	9	2.86	0.00146	5topBP.G2.D.S-G2.D.NS.up.txt	Lc23226.1
GO:0001763	morphogenesis of a branching structure	33	8	3.04	0.00878	5topBP.G2.D.S-G2.D.NS.up.txt	Lc17719.1
GO:0001763	morphogenesis of a branching structure	33	8	3.04	0.00878	5topBP.G2.D.S-G2.D.NS.up.txt	Lc18340.1
GO:0001763	morphogenesis of a branching structure	33	8	3.04	0.00878	5topBP.G2.D.S-G2.D.NS.up.txt	Lc03432.1
GO:0001763	morphogenesis of a branching structure	33	8	3.04	0.00878	5topBP.G2.D.S-G2.D.NS.up.txt	Lc27342.1
GO:0001763	morphogenesis of a branching structure	33	8	3.04	0.00878	5topBP.G2.D.S-G2.D.NS.up.txt	Lc25872.1
GO:0001763	morphogenesis of a branching structure	33	8	3.04	0.00878	5topBP.G2.D.S-G2.D.NS.up.txt	Lc38225.1
