GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000155	phosphorelay sensor kinase activity	42	14	8.8	0.04245	5topMF.G1.D.S-G1.D.NS.both.txt	Lc04158.1
GO:0000155	phosphorelay sensor kinase activity	42	14	8.8	0.04245	5topMF.G1.D.S-G1.D.NS.both.txt	Lc01838.1
GO:0000155	phosphorelay sensor kinase activity	42	14	8.8	0.04245	5topMF.G1.D.S-G1.D.NS.both.txt	Lc01507.1
GO:0000155	phosphorelay sensor kinase activity	42	14	8.8	0.04245	5topMF.G1.D.S-G1.D.NS.both.txt	Lc33118.1
GO:0000155	phosphorelay sensor kinase activity	42	14	8.8	0.04245	5topMF.G1.D.S-G1.D.NS.both.txt	Lc17206.1
GO:0000155	phosphorelay sensor kinase activity	42	14	8.8	0.04245	5topMF.G1.D.S-G1.D.NS.both.txt	Lc32784.1
GO:0000155	phosphorelay sensor kinase activity	42	14	8.8	0.04245	5topMF.G1.D.S-G1.D.NS.both.txt	Lc27156.1
GO:0000155	phosphorelay sensor kinase activity	42	14	8.8	0.04245	5topMF.G1.D.S-G1.D.NS.both.txt	Lc29260.1
GO:0000155	phosphorelay sensor kinase activity	42	14	8.8	0.04245	5topMF.G1.D.S-G1.D.NS.both.txt	Lc21109.1
GO:0000155	phosphorelay sensor kinase activity	42	14	8.8	0.04245	5topMF.G1.D.S-G1.D.NS.both.txt	Lc11775.1
GO:0000155	phosphorelay sensor kinase activity	42	14	8.8	0.04245	5topMF.G1.D.S-G1.D.NS.both.txt	Lc09971.1
GO:0000155	phosphorelay sensor kinase activity	42	14	8.8	0.04245	5topMF.G1.D.S-G1.D.NS.both.txt	Lc25324.1
GO:0000155	phosphorelay sensor kinase activity	42	14	8.8	0.04245	5topMF.G1.D.S-G1.D.NS.both.txt	Lc21475.1
GO:0000155	phosphorelay sensor kinase activity	42	14	8.8	0.04245	5topMF.G1.D.S-G1.D.NS.both.txt	Lc18752.1
GO:0000293	ferric-chelate reductase activity	8	5	1.68	0.01275	5topMF.G1.D.S-G1.D.NS.both.txt	Lc26499.1
GO:0000293	ferric-chelate reductase activity	8	5	1.68	0.01275	5topMF.G1.D.S-G1.D.NS.both.txt	Lc29911.1
GO:0000293	ferric-chelate reductase activity	8	5	1.68	0.01275	5topMF.G1.D.S-G1.D.NS.both.txt	Lc01156.1
GO:0000293	ferric-chelate reductase activity	8	5	1.68	0.01275	5topMF.G1.D.S-G1.D.NS.both.txt	Lc15693.1
GO:0000293	ferric-chelate reductase activity	8	5	1.68	0.01275	5topMF.G1.D.S-G1.D.NS.both.txt	Lc09184.1
GO:0000404	heteroduplex DNA loop binding	5	3	1.05	0.06546	5topMF.G1.D.S-G1.D.NS.both.txt	Lc10401.1
GO:0000404	heteroduplex DNA loop binding	5	3	1.05	0.06546	5topMF.G1.D.S-G1.D.NS.both.txt	Lc30782.1
GO:0000404	heteroduplex DNA loop binding	5	3	1.05	0.06546	5topMF.G1.D.S-G1.D.NS.both.txt	Lc04778.1
GO:0000822	inositol hexakisphosphate binding	6	6	1.26	8.4e-05	5topMF.G1.D.S-G1.D.NS.both.txt	Lc04343.1
GO:0000822	inositol hexakisphosphate binding	6	6	1.26	8.4e-05	5topMF.G1.D.S-G1.D.NS.both.txt	Lc25594.1
GO:0000822	inositol hexakisphosphate binding	6	6	1.26	8.4e-05	5topMF.G1.D.S-G1.D.NS.both.txt	Lc04536.1
GO:0000822	inositol hexakisphosphate binding	6	6	1.26	8.4e-05	5topMF.G1.D.S-G1.D.NS.both.txt	Lc19113.1
