GO.ID	Term	Annotated	Significant	Expected	p.value
GO:0004672	protein kinase activity	1452	248	158.99	7.1e-14
GO:0003777	microtubule motor activity	124	42	13.58	8.5e-12
GO:0046527	glucosyltransferase activity	323	69	35.37	3.8e-08
GO:0008194	UDP-glycosyltransferase activity	426	81	46.64	5.2e-07
GO:0008374	O-acyltransferase activity	169	40	18.5	6.8e-06
GO:0016682	oxidoreductase activity, acting on diphe...	56	18	6.13	1.7e-05
GO:0008017	microtubule binding	169	37	18.5	2.9e-05
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05
GO:0015171	amino acid transmembrane transporter act...	219	43	23.98	0.00015
GO:1901682	sulfur compound transmembrane transporte...	49	15	5.37	0.00016
GO:0052793	pectin acetylesterase activity	7	5	0.77	0.00027
GO:0032559	adenyl ribonucleotide binding	3667	461	401.52	0.00050
GO:0030246	carbohydrate binding	403	66	44.13	0.00055
GO:0004185	serine-type carboxypeptidase activity	75	18	8.21	0.00101
GO:0008144	drug binding	4085	499	447.29	0.00165
GO:0016722	oxidoreductase activity, oxidizing metal...	99	24	10.84	0.00173
GO:0003913	DNA photolyase activity	6	4	0.66	0.00179
GO:0038023	signaling receptor activity	296	53	32.41	0.00218
GO:0005217	intracellular ligand-gated ion channel a...	28	9	3.07	0.00221
GO:0097027	ubiquitin-protein transferase activator ...	7	4	0.77	0.00382
GO:0045548	phenylalanine ammonia-lyase activity	7	4	0.77	0.00382
GO:0008195	phosphatidate phosphatase activity	11	5	1.2	0.00411
GO:0016538	cyclin-dependent protein serine/threonin...	61	14	6.68	0.00540
GO:0090353	polygalacturonase inhibitor activity	8	4	0.88	0.00698
GO:0001671	ATPase activator activity	8	4	0.88	0.00698
GO:0000293	ferric-chelate reductase activity	8	4	0.88	0.00698
GO:0010997	anaphase-promoting complex binding	8	4	0.88	0.00698
GO:0004805	trehalose-phosphatase activity	13	5	1.42	0.00948
GO:0000404	heteroduplex DNA loop binding	5	3	0.55	0.01106
GO:0019156	isoamylase activity	5	3	0.55	0.01106
GO:0102361	esculetin 4-O-beta-glucosyltransferase a...	5	3	0.55	0.01106
GO:0102359	daphnetin 4-O-beta-glucosyltransferase a...	5	3	0.55	0.01106
GO:0004383	guanylate cyclase activity	5	3	0.55	0.01106
GO:0042895	antibiotic transmembrane transporter act...	14	5	1.53	0.01344
GO:0005089	Rho guanyl-nucleotide exchange factor ac...	14	5	1.53	0.01344
GO:0019900	kinase binding	124	22	13.58	0.01536
GO:0015293	symporter activity	410	57	44.89	0.01577
GO:0033612	receptor serine/threonine kinase binding	37	9	4.05	0.01618
GO:0017096	acetylserotonin O-methyltransferase acti...	20	6	2.19	0.01714
GO:0016711	flavonoid 3'-monooxygenase activity	10	4	1.09	0.01750
GO:0046715	active borate transmembrane transporter ...	10	4	1.09	0.01750
GO:0043178	alcohol binding	10	4	1.09	0.01750
GO:0052852	very-long-chain-(S)-2-hydroxy-acid oxida...	10	4	1.09	0.01750
GO:0052853	long-chain-(S)-2-hydroxy-long-chain-acid...	10	4	1.09	0.01750
GO:0052854	medium-chain-(S)-2-hydroxy-acid oxidase ...	10	4	1.09	0.01750
GO:0102336	3-oxo-arachidoyl-CoA synthase activity	32	8	3.5	0.01942
GO:0102337	3-oxo-cerotoyl-CoA synthase activity	32	8	3.5	0.01942
GO:0102338	3-oxo-lignoceronyl-CoA synthase activity	32	8	3.5	0.01942
GO:0004014	adenosylmethionine decarboxylase activit...	6	3	0.66	0.02032
GO:0052658	inositol-1,4,5-trisphosphate 5-phosphata...	6	3	0.66	0.02032
GO:0052659	inositol-1,3,4,5-tetrakisphosphate 5-pho...	6	3	0.66	0.02032
