GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000293	ferric-chelate reductase activity	8	4	0.88	0.00698	5topMF.G1.D.S-G1.D.NS.up.txt	Lc15693.1
GO:0000293	ferric-chelate reductase activity	8	4	0.88	0.00698	5topMF.G1.D.S-G1.D.NS.up.txt	Lc09184.1
GO:0000293	ferric-chelate reductase activity	8	4	0.88	0.00698	5topMF.G1.D.S-G1.D.NS.up.txt	Lc26499.1
GO:0000293	ferric-chelate reductase activity	8	4	0.88	0.00698	5topMF.G1.D.S-G1.D.NS.up.txt	Lc01156.1
GO:0000404	heteroduplex DNA loop binding	5	3	0.55	0.01106	5topMF.G1.D.S-G1.D.NS.up.txt	Lc04778.1
GO:0000404	heteroduplex DNA loop binding	5	3	0.55	0.01106	5topMF.G1.D.S-G1.D.NS.up.txt	Lc10401.1
GO:0000404	heteroduplex DNA loop binding	5	3	0.55	0.01106	5topMF.G1.D.S-G1.D.NS.up.txt	Lc30782.1
GO:0001671	ATPase activator activity	8	4	0.88	0.00698	5topMF.G1.D.S-G1.D.NS.up.txt	Lc00243.1
GO:0001671	ATPase activator activity	8	4	0.88	0.00698	5topMF.G1.D.S-G1.D.NS.up.txt	Lc27760.1
GO:0001671	ATPase activator activity	8	4	0.88	0.00698	5topMF.G1.D.S-G1.D.NS.up.txt	Lc17107.1
GO:0001671	ATPase activator activity	8	4	0.88	0.00698	5topMF.G1.D.S-G1.D.NS.up.txt	Lc07804.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc20078.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc04866.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc34067.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc20234.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc04813.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc14877.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc20028.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc18664.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc04903.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc04870.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc37983.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc19229.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc03729.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc20585.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc19660.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc14839.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc34066.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc04317.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc34419.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc18340.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc03317.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc18810.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc38277.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc34435.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc04974.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc04191.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc38017.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc12629.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc29658.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc05035.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc34643.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc18537.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc13516.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc19605.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc14821.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc38225.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc04040.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc28753.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc12029.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc03204.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc33993.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc12024.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc13311.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc13622.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc20748.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc13410.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc28425.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc14673.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc02876.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc29818.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc08016.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc33095.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc24739.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc03728.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc33922.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc08469.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc23401.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc28584.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc28744.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc15788.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc14227.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc35086.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc12754.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc14353.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc29226.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc16121.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc12731.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc38182.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc05326.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc17404.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc38945.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc28334.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc07345.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc13895.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc34762.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc18158.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc11814.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc31158.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc32962.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc03093.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc33896.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc33820.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc13230.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc28262.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc01873.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc36299.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc08508.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc28786.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc29664.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc33282.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc18270.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc24341.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc08631.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc29992.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc05196.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc25567.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc28109.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc08484.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc38873.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc37622.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc23553.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc12834.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc28869.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc14174.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc21632.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc37807.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc37849.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc12509.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc38418.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc06566.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc17571.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc28114.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc07257.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc15867.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc14367.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc11127.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc05981.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc07779.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc27762.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc02550.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc03110.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc33551.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc23279.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc08349.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc25872.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc25949.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc25986.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc14042.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc13199.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc18320.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc23920.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc08579.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc23885.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc24429.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc25437.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc35112.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc25748.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc06670.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc26978.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc07192.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc23481.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc23513.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc14056.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc26617.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc26876.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc26888.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc26897.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc06406.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc06419.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc17175.1
GO:0003700	DNA-binding transcription factor activit...	2186	295	239.36	6.4e-05	5topMF.G1.D.S-G1.D.NS.up.txt	Lc35146.1
