GO.ID	Term	Annotated	Significant	Expected	p.value
GO:0004842	ubiquitin-protein transferase activity	493	93	45.58	2.3e-11
GO:0140110	transcription regulator activity	2279	299	210.68	2.2e-09
GO:0043565	sequence-specific DNA binding	1192	164	110.2	7.6e-08
GO:0016165	linoleate 13S-lipoxygenase activity	12	8	1.11	1.9e-06
GO:0004722	protein serine/threonine phosphatase act...	238	43	22	1.5e-05
GO:0047274	galactinol-sucrose galactosyltransferase...	6	5	0.55	3.7e-05
GO:0004805	trehalose-phosphatase activity	13	7	1.2	5.9e-05
GO:0046872	metal ion binding	4863	537	449.57	5.9e-05
GO:0044390	ubiquitin-like protein conjugating enzym...	14	7	1.29	0.00011
GO:0046423	allene-oxide cyclase activity	7	5	0.65	0.00012
GO:0051538	3 iron, 4 sulfur cluster binding	11	6	1.02	0.00019
GO:0016854	racemase and epimerase activity	78	18	7.21	0.00022
GO:0047216	inositol 3-alpha-galactosyltransferase a...	5	4	0.46	0.00034
GO:0042562	hormone binding	28	9	2.59	0.00066
GO:0009978	allene oxide synthase activity	6	4	0.55	0.00094
GO:0047987	hydroperoxide dehydratase activity	6	4	0.55	0.00094
GO:0050736	O-malonyltransferase activity	6	4	0.55	0.00094
GO:0004712	protein serine/threonine/tyrosine kinase...	81	17	7.49	0.00103
GO:0003714	transcription corepressor activity	32	9	2.96	0.00191
GO:0008199	ferric iron binding	11	5	1.02	0.00193
GO:0004322	ferroxidase activity	11	5	1.02	0.00193
GO:0004130	cytochrome-c peroxidase activity	7	4	0.65	0.00203
GO:0045549	9-cis-epoxycarotenoid dioxygenase activi...	7	4	0.65	0.00203
GO:0004575	sucrose alpha-glucosidase activity	17	6	1.57	0.00313
GO:0035091	phosphatidylinositol binding	135	22	12.48	0.00372
GO:0016688	L-ascorbate peroxidase activity	8	4	0.74	0.00376
GO:0044212	transcription regulatory region DNA bind...	611	75	56.48	0.00412
GO:0019900	kinase binding	124	21	11.46	0.00474
GO:0003995	acyl-CoA dehydrogenase activity	14	5	1.29	0.00660
GO:0001078	proximal promoter DNA-binding transcript...	5	3	0.46	0.00684
GO:0043130	ubiquitin binding	32	8	2.96	0.00736
GO:0016629	12-oxophytodienoate reductase activity	20	6	1.85	0.00771
GO:0003746	translation elongation factor activity	99	17	9.15	0.00905
GO:0004165	dodecenoyl-CoA delta-isomerase activity	10	4	0.92	0.00970
GO:0004557	alpha-galactosidase activity	10	4	0.92	0.00970
GO:0050897	cobalt ion binding	62	12	5.73	0.01043
GO:0004709	MAP kinase kinase kinase activity	22	6	2.03	0.01265
GO:0038199	ethylene receptor activity	6	3	0.55	0.01274
GO:1901474	azole transmembrane transporter activity	6	3	0.55	0.01274
GO:0010277	chlorophyllide a oxygenase [overall] act...	11	4	1.02	0.01414
GO:0003993	acid phosphatase activity	66	12	6.1	0.01690
GO:0016778	diphosphotransferase activity	12	4	1.11	0.01968
GO:0004144	diacylglycerol O-acyltransferase activit...	12	4	1.11	0.01968
GO:0008270	zinc ion binding	1310	143	121.1	0.02006
GO:0042282	hydroxymethylglutaryl-CoA reductase acti...	7	3	0.65	0.02078
GO:0004420	hydroxymethylglutaryl-CoA reductase (NAD...	7	3	0.65	0.02078
GO:0000064	L-ornithine transmembrane transporter ac...	7	3	0.65	0.02078
GO:0016040	glutamate synthase (NADH) activity	7	3	0.65	0.02078
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kin...	7	3	0.65	0.02078
GO:0045548	phenylalanine ammonia-lyase activity	7	3	0.65	0.02078
GO:0004337	geranyltranstransferase activity	7	3	0.65	0.02078
