GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000293	ferric-chelate reductase activity	8	3	0.63	0.02053	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc01156.1
GO:0000293	ferric-chelate reductase activity	8	3	0.63	0.02053	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc26499.1
GO:0000293	ferric-chelate reductase activity	8	3	0.63	0.02053	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc09184.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc28109.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc12598.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc28055.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc28089.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc04870.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc32725.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc04813.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc28262.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc27810.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc35940.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc05196.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc33164.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc32281.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc13670.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc35343.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc36659.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc32690.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc36299.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc23086.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc22898.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc13052.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc33103.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc12107.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc13891.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc12509.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc13638.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc32421.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc27657.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc25748.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc05856.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc12731.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc01889.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc19311.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc13230.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc32828.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc12376.1
GO:0003700	DNA-binding transcription factor activit...	2186	212	173.15	0.00124	5topMF.G1.ND.NS-G1.D.S.down.txt	Lc23401.1
