GO.ID	Term	Annotated	Significant	Expected	p.value
GO:0080043	quercetin 3-O-glucosyltransferase activi...	153	41	16.32	1.8e-08
GO:0080044	quercetin 7-O-glucosyltransferase activi...	153	41	16.32	1.8e-08
GO:0043531	ADP binding	330	64	35.19	1.6e-06
GO:0015103	inorganic anion transmembrane transporte...	197	42	21.01	8.6e-06
GO:0015238	drug transmembrane transporter activity	244	48	26.02	2.1e-05
GO:1901682	sulfur compound transmembrane transporte...	49	16	5.23	2.9e-05
GO:0090353	polygalacturonase inhibitor activity	8	6	0.85	3.4e-05
GO:0008422	beta-glucosidase activity	120	28	12.8	5.1e-05
GO:0005506	iron ion binding	419	71	44.68	5.7e-05
GO:0051536	iron-sulfur cluster binding	249	46	26.55	0.00015
GO:0045431	flavonol synthase activity	13	7	1.39	0.00015
GO:0015562	efflux transmembrane transporter activit...	81	20	8.64	0.00025
GO:0102483	scopolin beta-glucosidase activity	58	16	6.18	0.00027
GO:0004364	glutathione transferase activity	72	18	7.68	0.00044
GO:0102425	myricetin 3-O-glucosyltransferase activi...	39	12	4.16	0.00052
GO:0102360	daphnetin 3-O-glucosyltransferase activi...	39	12	4.16	0.00052
GO:0080031	methyl salicylate esterase activity	5	4	0.53	0.00059
GO:0102361	esculetin 4-O-beta-glucosyltransferase a...	5	4	0.53	0.00059
GO:0102359	daphnetin 4-O-beta-glucosyltransferase a...	5	4	0.53	0.00059
GO:0047218	hydroxycinnamate 4-beta-glucosyltransfer...	5	4	0.53	0.00059
GO:0047893	flavonol 3-O-glucosyltransferase activit...	40	12	4.27	0.00068
GO:0080030	methyl indole-3-acetate esterase activit...	9	5	0.96	0.00120
GO:0080032	methyl jasmonate esterase activity	9	5	0.96	0.00120
GO:0035673	oligopeptide transmembrane transporter a...	37	11	3.95	0.00122
GO:0020037	heme binding	481	73	51.29	0.00128
GO:0019825	oxygen binding	312	51	33.27	0.00134
GO:0022804	active transmembrane transporter activit...	1227	174	130.84	0.00138
GO:0047202	sinapoylglucose-choline O-sinapoyltransf...	6	4	0.64	0.00162
GO:0009978	allene oxide synthase activity	6	4	0.64	0.00162
GO:0050284	sinapate 1-glucosyltransferase activity	6	4	0.64	0.00162
GO:0047987	hydroperoxide dehydratase activity	6	4	0.64	0.00162
GO:0004866	endopeptidase inhibitor activity	63	15	6.72	0.00215
GO:0016684	oxidoreductase activity, acting on perox...	197	34	21.01	0.00327
GO:0015204	urea transmembrane transporter activity	12	5	1.28	0.00571
GO:0015301	anion:anion antiporter activity	33	9	3.52	0.00629
GO:0010428	methyl-CpNpG binding	8	4	0.85	0.00634
GO:0010429	methyl-CpNpN binding	8	4	0.85	0.00634
GO:0070401	NADP+ binding	8	4	0.85	0.00634
GO:0005047	signal recognition particle binding	17	6	1.81	0.00640
GO:0015172	acidic amino acid transmembrane transpor...	39	10	4.16	0.00653
GO:0050302	indole-3-acetaldehyde oxidase activity	35	9	3.73	0.00948
GO:0003985	acetyl-CoA C-acetyltransferase activity	5	3	0.53	0.01026
GO:0047216	inositol 3-alpha-galactosyltransferase a...	5	3	0.53	0.01026
GO:0010385	double-stranded methylated DNA binding	9	4	0.96	0.01046
GO:0045544	gibberellin 20-oxidase activity	9	4	0.96	0.01046
GO:0008142	oxysterol binding	24	7	2.56	0.01049
GO:1990136	linoleate 9S-lipoxygenase activity	24	7	2.56	0.01049
GO:0015431	glutathione S-conjugate-exporting ATPase...	14	5	1.49	0.01205
GO:0102229	amylopectin maltohydrolase activity	14	5	1.49	0.01205
