GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000155	phosphorelay sensor kinase activity	42	6	2.04	0.0152	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc05546.1
GO:0000155	phosphorelay sensor kinase activity	42	6	2.04	0.0152	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc09971.1
GO:0000155	phosphorelay sensor kinase activity	42	6	2.04	0.0152	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc21109.1
GO:0000155	phosphorelay sensor kinase activity	42	6	2.04	0.0152	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc22121.1
GO:0000155	phosphorelay sensor kinase activity	42	6	2.04	0.0152	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc27156.1
GO:0000155	phosphorelay sensor kinase activity	42	6	2.04	0.0152	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc21475.1
GO:0000822	inositol hexakisphosphate binding	6	2	0.29	0.0310	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc04343.1
GO:0000822	inositol hexakisphosphate binding	6	2	0.29	0.0310	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc01684.1
GO:0003688	DNA replication origin binding	19	3	0.92	0.0620	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc25335.1
GO:0003688	DNA replication origin binding	19	3	0.92	0.0620	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc08919.1
GO:0003688	DNA replication origin binding	19	3	0.92	0.0620	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc03730.1
GO:0003725	double-stranded RNA binding	27	4	1.31	0.0399	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc07593.1
GO:0003725	double-stranded RNA binding	27	4	1.31	0.0399	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc05991.1
GO:0003725	double-stranded RNA binding	27	4	1.31	0.0399	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc12936.1
GO:0003725	double-stranded RNA binding	27	4	1.31	0.0399	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc38224.1
GO:0003910	DNA ligase (ATP) activity	11	3	0.53	0.0141	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc05022.1
GO:0003910	DNA ligase (ATP) activity	11	3	0.53	0.0141	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc32504.1
GO:0003910	DNA ligase (ATP) activity	11	3	0.53	0.0141	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc05526.1
GO:0004128	cytochrome-b5 reductase activity, acting...	8	2	0.39	0.0543	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc36043.1
GO:0004128	cytochrome-b5 reductase activity, acting...	8	2	0.39	0.0543	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc13058.1
GO:0004176	ATP-dependent peptidase activity	39	4	1.89	0.1194	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc16561.1
GO:0004176	ATP-dependent peptidase activity	39	4	1.89	0.1194	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc19676.1
GO:0004176	ATP-dependent peptidase activity	39	4	1.89	0.1194	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc35179.1
GO:0004176	ATP-dependent peptidase activity	39	4	1.89	0.1194	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc01164.1
GO:0004301	epoxide hydrolase activity	26	4	1.26	0.0353	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc28433.1
GO:0004301	epoxide hydrolase activity	26	4	1.26	0.0353	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc05957.1
GO:0004301	epoxide hydrolase activity	26	4	1.26	0.0353	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc38165.1
GO:0004301	epoxide hydrolase activity	26	4	1.26	0.0353	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc27579.1
GO:0004364	glutathione transferase activity	72	6	3.5	0.1367	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc05073.1
GO:0004364	glutathione transferase activity	72	6	3.5	0.1367	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc13644.1
GO:0004364	glutathione transferase activity	72	6	3.5	0.1367	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc28195.1
GO:0004364	glutathione transferase activity	72	6	3.5	0.1367	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc29144.1
GO:0004364	glutathione transferase activity	72	6	3.5	0.1367	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc19500.1
GO:0004364	glutathione transferase activity	72	6	3.5	0.1367	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc28194.1
GO:0004430	1-phosphatidylinositol 4-kinase activity	12	2	0.58	0.1127	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc13155.1
GO:0004430	1-phosphatidylinositol 4-kinase activity	12	2	0.58	0.1127	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc24203.1
GO:0004435	phosphatidylinositol phospholipase C act...	9	3	0.44	0.0077	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc13649.1
GO:0004435	phosphatidylinositol phospholipase C act...	9	3	0.44	0.0077	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc20250.1
GO:0004435	phosphatidylinositol phospholipase C act...	9	3	0.44	0.0077	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc13652.1
GO:0004828	serine-tRNA ligase activity	7	2	0.34	0.0421	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc01609.1
GO:0004828	serine-tRNA ligase activity	7	2	0.34	0.0421	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc27391.1
GO:0004834	tryptophan synthase activity	6	2	0.29	0.0310	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc23176.1
GO:0004834	tryptophan synthase activity	6	2	0.29	0.0310	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc34958.1
GO:0004867	serine-type endopeptidase inhibitor acti...	15	4	0.73	0.0049	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc38417.1
GO:0004867	serine-type endopeptidase inhibitor acti...	15	4	0.73	0.0049	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc13756.1
GO:0004867	serine-type endopeptidase inhibitor acti...	15	4	0.73	0.0049	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc11303.1
GO:0004867	serine-type endopeptidase inhibitor acti...	15	4	0.73	0.0049	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc11304.1
GO:0004869	cysteine-type endopeptidase inhibitor ac...	32	4	1.55	0.0677	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc23739.1
GO:0004869	cysteine-type endopeptidase inhibitor ac...	32	4	1.55	0.0677	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc17899.1
GO:0004869	cysteine-type endopeptidase inhibitor ac...	32	4	1.55	0.0677	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc11303.1
GO:0004869	cysteine-type endopeptidase inhibitor ac...	32	4	1.55	0.0677	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc11304.1
GO:0005034	osmosensor activity	16	3	0.78	0.0399	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc21475.1
GO:0005034	osmosensor activity	16	3	0.78	0.0399	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc09971.1
GO:0005034	osmosensor activity	16	3	0.78	0.0399	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc22121.1
GO:0005047	signal recognition particle binding	17	6	0.83	0.0001	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc03697.1
GO:0005047	signal recognition particle binding	17	6	0.83	0.0001	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc23970.1
GO:0005047	signal recognition particle binding	17	6	0.83	0.0001	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc08429.1
GO:0005047	signal recognition particle binding	17	6	0.83	0.0001	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc17410.1
GO:0005047	signal recognition particle binding	17	6	0.83	0.0001	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc35302.1
GO:0005047	signal recognition particle binding	17	6	0.83	0.0001	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc18761.1
GO:0005247	voltage-gated chloride channel activity	19	4	0.92	0.0120	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc26167.1
GO:0005247	voltage-gated chloride channel activity	19	4	0.92	0.0120	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc13194.1
GO:0005247	voltage-gated chloride channel activity	19	4	0.92	0.0120	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc05437.1
GO:0005247	voltage-gated chloride channel activity	19	4	0.92	0.0120	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc29332.1
GO:0005344	oxygen carrier activity	12	2	0.58	0.1127	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc24200.1
GO:0005344	oxygen carrier activity	12	2	0.58	0.1127	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc12166.1
GO:0005354	galactose transmembrane transporter acti...	19	3	0.92	0.0620	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc36088.1
GO:0005354	galactose transmembrane transporter acti...	19	3	0.92	0.0620	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc10454.1
GO:0005354	galactose transmembrane transporter acti...	19	3	0.92	0.0620	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc16933.1
GO:0005452	inorganic anion exchanger activity	14	3	0.68	0.0278	5topMF.G2.D.NS-G1.D.NS.down.txt	Lc14300.1
