GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000150	recombinase activity	18	3	1.05	0.08311	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc33885.1
GO:0000150	recombinase activity	18	3	1.05	0.08311	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc08052.1
GO:0000150	recombinase activity	18	3	1.05	0.08311	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc09094.1
GO:0000217	DNA secondary structure binding	28	4	1.63	0.07644	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc03698.1
GO:0000217	DNA secondary structure binding	28	4	1.63	0.07644	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc33885.1
GO:0000217	DNA secondary structure binding	28	4	1.63	0.07644	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc09094.1
GO:0000217	DNA secondary structure binding	28	4	1.63	0.07644	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc08052.1
GO:0000993	RNA polymerase II complex binding	9	2	0.52	0.09244	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc17614.1
GO:0000993	RNA polymerase II complex binding	9	2	0.52	0.09244	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc22563.1
GO:0003777	microtubule motor activity	124	13	7.2	0.13593	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc38911.1
GO:0003777	microtubule motor activity	124	13	7.2	0.13593	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc28964.1
GO:0003777	microtubule motor activity	124	13	7.2	0.13593	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc30327.1
GO:0003777	microtubule motor activity	124	13	7.2	0.13593	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc34418.1
GO:0003777	microtubule motor activity	124	13	7.2	0.13593	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc07319.1
GO:0003777	microtubule motor activity	124	13	7.2	0.13593	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc07405.1
GO:0003777	microtubule motor activity	124	13	7.2	0.13593	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc07763.1
GO:0003777	microtubule motor activity	124	13	7.2	0.13593	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc11493.1
GO:0003777	microtubule motor activity	124	13	7.2	0.13593	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc15295.1
GO:0003777	microtubule motor activity	124	13	7.2	0.13593	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc19805.1
GO:0003777	microtubule motor activity	124	13	7.2	0.13593	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc24432.1
GO:0003777	microtubule motor activity	124	13	7.2	0.13593	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc24974.1
GO:0003777	microtubule motor activity	124	13	7.2	0.13593	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc28645.1
GO:0003885	D-arabinono-1,4-lactone oxidase activity	5	2	0.29	0.02996	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc02789.1
GO:0003885	D-arabinono-1,4-lactone oxidase activity	5	2	0.29	0.02996	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc38972.1
GO:0003887	DNA-directed DNA polymerase activity	25	4	1.45	0.05407	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc19300.1
GO:0003887	DNA-directed DNA polymerase activity	25	4	1.45	0.05407	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc15122.1
GO:0003887	DNA-directed DNA polymerase activity	25	4	1.45	0.05407	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc25328.1
GO:0003887	DNA-directed DNA polymerase activity	25	4	1.45	0.05407	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc25758.1
GO:0003985	acetyl-CoA C-acetyltransferase activity	5	2	0.29	0.02996	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc01486.1
GO:0003985	acetyl-CoA C-acetyltransferase activity	5	2	0.29	0.02996	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc19159.1
GO:0003993	acid phosphatase activity	66	8	3.83	0.03672	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc29030.1
GO:0003993	acid phosphatase activity	66	8	3.83	0.03672	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc19401.1
GO:0003993	acid phosphatase activity	66	8	3.83	0.03672	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc18679.1
GO:0003993	acid phosphatase activity	66	8	3.83	0.03672	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc07030.1
GO:0003993	acid phosphatase activity	66	8	3.83	0.03672	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc13933.1
GO:0003993	acid phosphatase activity	66	8	3.83	0.03672	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc33844.1
GO:0003993	acid phosphatase activity	66	8	3.83	0.03672	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc17732.1
GO:0003993	acid phosphatase activity	66	8	3.83	0.03672	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc01278.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	6	2.09	0.01652	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc29715.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	6	2.09	0.01652	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc36307.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	6	2.09	0.01652	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc35324.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	6	2.09	0.01652	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc17417.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	6	2.09	0.01652	5topMF.G2.D.NS-G1.D.NS.up.txt	Lc26497.1
