GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kin...	7	5	1.66	0.01009	5topMF.G2.D.S-G1.D.S.both.txt	Lc32099.1
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kin...	7	5	1.66	0.01009	5topMF.G2.D.S-G1.D.S.both.txt	Lc28986.1
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kin...	7	5	1.66	0.01009	5topMF.G2.D.S-G1.D.S.both.txt	Lc13394.1
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kin...	7	5	1.66	0.01009	5topMF.G2.D.S-G1.D.S.both.txt	Lc13395.1
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kin...	7	5	1.66	0.01009	5topMF.G2.D.S-G1.D.S.both.txt	Lc15298.1
GO:0001047	core promoter binding	44	16	10.42	0.04014	5topMF.G2.D.S-G1.D.S.both.txt	Lc34028.1
GO:0001047	core promoter binding	44	16	10.42	0.04014	5topMF.G2.D.S-G1.D.S.both.txt	Lc00127.1
GO:0001047	core promoter binding	44	16	10.42	0.04014	5topMF.G2.D.S-G1.D.S.both.txt	Lc14793.1
GO:0001047	core promoter binding	44	16	10.42	0.04014	5topMF.G2.D.S-G1.D.S.both.txt	Lc12591.1
GO:0001047	core promoter binding	44	16	10.42	0.04014	5topMF.G2.D.S-G1.D.S.both.txt	Lc16543.1
GO:0001047	core promoter binding	44	16	10.42	0.04014	5topMF.G2.D.S-G1.D.S.both.txt	Lc15790.1
GO:0001047	core promoter binding	44	16	10.42	0.04014	5topMF.G2.D.S-G1.D.S.both.txt	Lc26445.1
GO:0001047	core promoter binding	44	16	10.42	0.04014	5topMF.G2.D.S-G1.D.S.both.txt	Lc29709.1
GO:0001047	core promoter binding	44	16	10.42	0.04014	5topMF.G2.D.S-G1.D.S.both.txt	Lc37659.1
GO:0001047	core promoter binding	44	16	10.42	0.04014	5topMF.G2.D.S-G1.D.S.both.txt	Lc35969.1
GO:0001047	core promoter binding	44	16	10.42	0.04014	5topMF.G2.D.S-G1.D.S.both.txt	Lc03426.1
GO:0001047	core promoter binding	44	16	10.42	0.04014	5topMF.G2.D.S-G1.D.S.both.txt	Lc01436.1
GO:0001047	core promoter binding	44	16	10.42	0.04014	5topMF.G2.D.S-G1.D.S.both.txt	Lc30866.1
GO:0001047	core promoter binding	44	16	10.42	0.04014	5topMF.G2.D.S-G1.D.S.both.txt	Lc09341.1
GO:0001047	core promoter binding	44	16	10.42	0.04014	5topMF.G2.D.S-G1.D.S.both.txt	Lc09879.1
GO:0001047	core promoter binding	44	16	10.42	0.04014	5topMF.G2.D.S-G1.D.S.both.txt	Lc02862.1
GO:0003756	protein disulfide isomerase activity	37	13	8.76	0.07808	5topMF.G2.D.S-G1.D.S.both.txt	Lc35864.1
GO:0003756	protein disulfide isomerase activity	37	13	8.76	0.07808	5topMF.G2.D.S-G1.D.S.both.txt	Lc11586.1
GO:0003756	protein disulfide isomerase activity	37	13	8.76	0.07808	5topMF.G2.D.S-G1.D.S.both.txt	Lc22305.1
GO:0003756	protein disulfide isomerase activity	37	13	8.76	0.07808	5topMF.G2.D.S-G1.D.S.both.txt	Lc27863.1
GO:0003756	protein disulfide isomerase activity	37	13	8.76	0.07808	5topMF.G2.D.S-G1.D.S.both.txt	Lc05353.1
GO:0003756	protein disulfide isomerase activity	37	13	8.76	0.07808	5topMF.G2.D.S-G1.D.S.both.txt	Lc05578.1
GO:0003756	protein disulfide isomerase activity	37	13	8.76	0.07808	5topMF.G2.D.S-G1.D.S.both.txt	Lc37756.1
GO:0003756	protein disulfide isomerase activity	37	13	8.76	0.07808	5topMF.G2.D.S-G1.D.S.both.txt	Lc21855.1
GO:0003756	protein disulfide isomerase activity	37	13	8.76	0.07808	5topMF.G2.D.S-G1.D.S.both.txt	Lc10196.1
GO:0003756	protein disulfide isomerase activity	37	13	8.76	0.07808	5topMF.G2.D.S-G1.D.S.both.txt	Lc07143.1
GO:0003756	protein disulfide isomerase activity	37	13	8.76	0.07808	5topMF.G2.D.S-G1.D.S.both.txt	Lc09330.1
GO:0003756	protein disulfide isomerase activity	37	13	8.76	0.07808	5topMF.G2.D.S-G1.D.S.both.txt	Lc13964.1
GO:0003756	protein disulfide isomerase activity	37	13	8.76	0.07808	5topMF.G2.D.S-G1.D.S.both.txt	Lc15733.1
GO:0003777	microtubule motor activity	124	42	29.37	0.04206	5topMF.G2.D.S-G1.D.S.both.txt	Lc26506.1
GO:0003777	microtubule motor activity	124	42	29.37	0.04206	5topMF.G2.D.S-G1.D.S.both.txt	Lc12331.1
GO:0003777	microtubule motor activity	124	42	29.37	0.04206	5topMF.G2.D.S-G1.D.S.both.txt	Lc02275.1
GO:0003777	microtubule motor activity	124	42	29.37	0.04206	5topMF.G2.D.S-G1.D.S.both.txt	Lc25323.1
GO:0003777	microtubule motor activity	124	42	29.37	0.04206	5topMF.G2.D.S-G1.D.S.both.txt	Lc02004.1
GO:0003777	microtubule motor activity	124	42	29.37	0.04206	5topMF.G2.D.S-G1.D.S.both.txt	Lc09728.1
GO:0003777	microtubule motor activity	124	42	29.37	0.04206	5topMF.G2.D.S-G1.D.S.both.txt	Lc01961.1
GO:0003777	microtubule motor activity	124	42	29.37	0.04206	5topMF.G2.D.S-G1.D.S.both.txt	Lc21127.1
GO:0003777	microtubule motor activity	124	42	29.37	0.04206	5topMF.G2.D.S-G1.D.S.both.txt	Lc21398.1
GO:0003777	microtubule motor activity	124	42	29.37	0.04206	5topMF.G2.D.S-G1.D.S.both.txt	Lc21565.1
GO:0003777	microtubule motor activity	124	42	29.37	0.04206	5topMF.G2.D.S-G1.D.S.both.txt	Lc30327.1
