GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000155	phosphorelay sensor kinase activity	42	9	4.54	0.03269	5topMF.G2.D.S-G1.D.S.down.txt	Lc22121.1
GO:0000155	phosphorelay sensor kinase activity	42	9	4.54	0.03269	5topMF.G2.D.S-G1.D.S.down.txt	Lc32784.1
GO:0000155	phosphorelay sensor kinase activity	42	9	4.54	0.03269	5topMF.G2.D.S-G1.D.S.down.txt	Lc21475.1
GO:0000155	phosphorelay sensor kinase activity	42	9	4.54	0.03269	5topMF.G2.D.S-G1.D.S.down.txt	Lc01507.1
GO:0000155	phosphorelay sensor kinase activity	42	9	4.54	0.03269	5topMF.G2.D.S-G1.D.S.down.txt	Lc05546.1
GO:0000155	phosphorelay sensor kinase activity	42	9	4.54	0.03269	5topMF.G2.D.S-G1.D.S.down.txt	Lc18647.1
GO:0000155	phosphorelay sensor kinase activity	42	9	4.54	0.03269	5topMF.G2.D.S-G1.D.S.down.txt	Lc09971.1
GO:0000155	phosphorelay sensor kinase activity	42	9	4.54	0.03269	5topMF.G2.D.S-G1.D.S.down.txt	Lc29260.1
GO:0000155	phosphorelay sensor kinase activity	42	9	4.54	0.03269	5topMF.G2.D.S-G1.D.S.down.txt	Lc18648.1
GO:0001671	ATPase activator activity	8	4	0.86	0.00664	5topMF.G2.D.S-G1.D.S.down.txt	Lc07804.1
GO:0001671	ATPase activator activity	8	4	0.86	0.00664	5topMF.G2.D.S-G1.D.S.down.txt	Lc17107.1
GO:0001671	ATPase activator activity	8	4	0.86	0.00664	5topMF.G2.D.S-G1.D.S.down.txt	Lc27760.1
GO:0001671	ATPase activator activity	8	4	0.86	0.00664	5topMF.G2.D.S-G1.D.S.down.txt	Lc01672.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc21127.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc17900.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc07808.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc16707.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc21565.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc06788.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc21398.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc08415.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc25323.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc15749.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc07763.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc09496.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc00817.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc12331.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc14665.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc01961.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc27884.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc31320.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc24495.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc07322.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc03415.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc31554.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc28086.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc04829.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc02275.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc31667.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc06606.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc37464.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc34303.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc32109.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc02004.1
GO:0003777	microtubule motor activity	124	32	13.39	2.0e-06	5topMF.G2.D.S-G1.D.S.down.txt	Lc16903.1
GO:0003913	DNA photolyase activity	6	5	0.65	8.0e-05	5topMF.G2.D.S-G1.D.S.down.txt	Lc30636.1
GO:0003913	DNA photolyase activity	6	5	0.65	8.0e-05	5topMF.G2.D.S-G1.D.S.down.txt	Lc20356.1
GO:0003913	DNA photolyase activity	6	5	0.65	8.0e-05	5topMF.G2.D.S-G1.D.S.down.txt	Lc15609.1
GO:0003913	DNA photolyase activity	6	5	0.65	8.0e-05	5topMF.G2.D.S-G1.D.S.down.txt	Lc17916.1
GO:0003913	DNA photolyase activity	6	5	0.65	8.0e-05	5topMF.G2.D.S-G1.D.S.down.txt	Lc12433.1
GO:0004014	adenosylmethionine decarboxylase activit...	6	4	0.65	0.00170	5topMF.G2.D.S-G1.D.S.down.txt	Lc27232.1
