GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kin...	7	4	0.9	0.00696	5topMF.G2.D.S-G1.D.S.up.txt	Lc15298.1
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kin...	7	4	0.9	0.00696	5topMF.G2.D.S-G1.D.S.up.txt	Lc13394.1
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kin...	7	4	0.9	0.00696	5topMF.G2.D.S-G1.D.S.up.txt	Lc32099.1
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kin...	7	4	0.9	0.00696	5topMF.G2.D.S-G1.D.S.up.txt	Lc13395.1
GO:0000993	RNA polymerase II complex binding	9	3	1.16	0.09876	5topMF.G2.D.S-G1.D.S.up.txt	Lc33734.1
GO:0000993	RNA polymerase II complex binding	9	3	1.16	0.09876	5topMF.G2.D.S-G1.D.S.up.txt	Lc17614.1
GO:0000993	RNA polymerase II complex binding	9	3	1.16	0.09876	5topMF.G2.D.S-G1.D.S.up.txt	Lc26369.1
GO:0001047	core promoter binding	44	13	5.67	0.00281	5topMF.G2.D.S-G1.D.S.up.txt	Lc12591.1
GO:0001047	core promoter binding	44	13	5.67	0.00281	5topMF.G2.D.S-G1.D.S.up.txt	Lc01436.1
GO:0001047	core promoter binding	44	13	5.67	0.00281	5topMF.G2.D.S-G1.D.S.up.txt	Lc35969.1
GO:0001047	core promoter binding	44	13	5.67	0.00281	5topMF.G2.D.S-G1.D.S.up.txt	Lc30866.1
GO:0001047	core promoter binding	44	13	5.67	0.00281	5topMF.G2.D.S-G1.D.S.up.txt	Lc15790.1
GO:0001047	core promoter binding	44	13	5.67	0.00281	5topMF.G2.D.S-G1.D.S.up.txt	Lc34028.1
GO:0001047	core promoter binding	44	13	5.67	0.00281	5topMF.G2.D.S-G1.D.S.up.txt	Lc37659.1
GO:0001047	core promoter binding	44	13	5.67	0.00281	5topMF.G2.D.S-G1.D.S.up.txt	Lc03426.1
GO:0001047	core promoter binding	44	13	5.67	0.00281	5topMF.G2.D.S-G1.D.S.up.txt	Lc26445.1
GO:0001047	core promoter binding	44	13	5.67	0.00281	5topMF.G2.D.S-G1.D.S.up.txt	Lc14793.1
GO:0001047	core promoter binding	44	13	5.67	0.00281	5topMF.G2.D.S-G1.D.S.up.txt	Lc00127.1
GO:0001047	core promoter binding	44	13	5.67	0.00281	5topMF.G2.D.S-G1.D.S.up.txt	Lc02862.1
GO:0001047	core promoter binding	44	13	5.67	0.00281	5topMF.G2.D.S-G1.D.S.up.txt	Lc29709.1
GO:0001054	RNA polymerase I activity	26	7	3.35	0.04189	5topMF.G2.D.S-G1.D.S.up.txt	Lc16341.1
GO:0001054	RNA polymerase I activity	26	7	3.35	0.04189	5topMF.G2.D.S-G1.D.S.up.txt	Lc27250.1
GO:0001054	RNA polymerase I activity	26	7	3.35	0.04189	5topMF.G2.D.S-G1.D.S.up.txt	Lc19737.1
GO:0001054	RNA polymerase I activity	26	7	3.35	0.04189	5topMF.G2.D.S-G1.D.S.up.txt	Lc38392.1
GO:0001054	RNA polymerase I activity	26	7	3.35	0.04189	5topMF.G2.D.S-G1.D.S.up.txt	Lc37212.1
GO:0001054	RNA polymerase I activity	26	7	3.35	0.04189	5topMF.G2.D.S-G1.D.S.up.txt	Lc10124.1
GO:0001054	RNA polymerase I activity	26	7	3.35	0.04189	5topMF.G2.D.S-G1.D.S.up.txt	Lc12500.1
GO:0003825	alpha,alpha-trehalose-phosphate synthase...	8	3	1.03	0.07259	5topMF.G2.D.S-G1.D.S.up.txt	Lc09347.1
GO:0003825	alpha,alpha-trehalose-phosphate synthase...	8	3	1.03	0.07259	5topMF.G2.D.S-G1.D.S.up.txt	Lc01827.1
GO:0003825	alpha,alpha-trehalose-phosphate synthase...	8	3	1.03	0.07259	5topMF.G2.D.S-G1.D.S.up.txt	Lc18336.1
GO:0003887	DNA-directed DNA polymerase activity	25	6	3.22	0.09322	5topMF.G2.D.S-G1.D.S.up.txt	Lc18730.1
GO:0003887	DNA-directed DNA polymerase activity	25	6	3.22	0.09322	5topMF.G2.D.S-G1.D.S.up.txt	Lc15122.1
GO:0003887	DNA-directed DNA polymerase activity	25	6	3.22	0.09322	5topMF.G2.D.S-G1.D.S.up.txt	Lc35035.1
GO:0003887	DNA-directed DNA polymerase activity	25	6	3.22	0.09322	5topMF.G2.D.S-G1.D.S.up.txt	Lc19213.1
GO:0003887	DNA-directed DNA polymerase activity	25	6	3.22	0.09322	5topMF.G2.D.S-G1.D.S.up.txt	Lc25328.1
GO:0003887	DNA-directed DNA polymerase activity	25	6	3.22	0.09322	5topMF.G2.D.S-G1.D.S.up.txt	Lc25758.1
GO:0003988	acetyl-CoA C-acyltransferase activity	8	4	1.03	0.01251	5topMF.G2.D.S-G1.D.S.up.txt	Lc01773.1
GO:0003988	acetyl-CoA C-acyltransferase activity	8	4	1.03	0.01251	5topMF.G2.D.S-G1.D.S.up.txt	Lc01486.1
GO:0003988	acetyl-CoA C-acyltransferase activity	8	4	1.03	0.01251	5topMF.G2.D.S-G1.D.S.up.txt	Lc12449.1
GO:0003988	acetyl-CoA C-acyltransferase activity	8	4	1.03	0.01251	5topMF.G2.D.S-G1.D.S.up.txt	Lc19159.1
GO:0003995	acyl-CoA dehydrogenase activity	14	5	1.8	0.02594	5topMF.G2.D.S-G1.D.S.up.txt	Lc20525.1
GO:0003995	acyl-CoA dehydrogenase activity	14	5	1.8	0.02594	5topMF.G2.D.S-G1.D.S.up.txt	Lc31014.1
GO:0003995	acyl-CoA dehydrogenase activity	14	5	1.8	0.02594	5topMF.G2.D.S-G1.D.S.up.txt	Lc09205.1
GO:0003995	acyl-CoA dehydrogenase activity	14	5	1.8	0.02594	5topMF.G2.D.S-G1.D.S.up.txt	Lc29256.1
GO:0003995	acyl-CoA dehydrogenase activity	14	5	1.8	0.02594	5topMF.G2.D.S-G1.D.S.up.txt	Lc15028.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	10	4.64	0.01322	5topMF.G2.D.S-G1.D.S.up.txt	Lc14717.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	10	4.64	0.01322	5topMF.G2.D.S-G1.D.S.up.txt	Lc17417.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	10	4.64	0.01322	5topMF.G2.D.S-G1.D.S.up.txt	Lc36307.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	10	4.64	0.01322	5topMF.G2.D.S-G1.D.S.up.txt	Lc10942.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	10	4.64	0.01322	5topMF.G2.D.S-G1.D.S.up.txt	Lc12615.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	10	4.64	0.01322	5topMF.G2.D.S-G1.D.S.up.txt	Lc19060.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	10	4.64	0.01322	5topMF.G2.D.S-G1.D.S.up.txt	Lc01951.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	10	4.64	0.01322	5topMF.G2.D.S-G1.D.S.up.txt	Lc35324.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	10	4.64	0.01322	5topMF.G2.D.S-G1.D.S.up.txt	Lc18616.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	10	4.64	0.01322	5topMF.G2.D.S-G1.D.S.up.txt	Lc23767.1
GO:0004040	amidase activity	23	6	2.96	0.06623	5topMF.G2.D.S-G1.D.S.up.txt	Lc32431.1
GO:0004040	amidase activity	23	6	2.96	0.06623	5topMF.G2.D.S-G1.D.S.up.txt	Lc15177.1
GO:0004040	amidase activity	23	6	2.96	0.06623	5topMF.G2.D.S-G1.D.S.up.txt	Lc00715.1
GO:0004040	amidase activity	23	6	2.96	0.06623	5topMF.G2.D.S-G1.D.S.up.txt	Lc16754.1
GO:0004040	amidase activity	23	6	2.96	0.06623	5topMF.G2.D.S-G1.D.S.up.txt	Lc17901.1
GO:0004040	amidase activity	23	6	2.96	0.06623	5topMF.G2.D.S-G1.D.S.up.txt	Lc15347.1
GO:0004180	carboxypeptidase activity	84	18	10.82	0.01958	5topMF.G2.D.S-G1.D.S.up.txt	Lc15998.1
GO:0004180	carboxypeptidase activity	84	18	10.82	0.01958	5topMF.G2.D.S-G1.D.S.up.txt	Lc25796.1
GO:0004180	carboxypeptidase activity	84	18	10.82	0.01958	5topMF.G2.D.S-G1.D.S.up.txt	Lc36817.1
GO:0004180	carboxypeptidase activity	84	18	10.82	0.01958	5topMF.G2.D.S-G1.D.S.up.txt	Lc15414.1
GO:0004180	carboxypeptidase activity	84	18	10.82	0.01958	5topMF.G2.D.S-G1.D.S.up.txt	Lc16277.1
GO:0004180	carboxypeptidase activity	84	18	10.82	0.01958	5topMF.G2.D.S-G1.D.S.up.txt	Lc19800.1
GO:0004180	carboxypeptidase activity	84	18	10.82	0.01958	5topMF.G2.D.S-G1.D.S.up.txt	Lc34372.1
GO:0004180	carboxypeptidase activity	84	18	10.82	0.01958	5topMF.G2.D.S-G1.D.S.up.txt	Lc36758.1
GO:0004180	carboxypeptidase activity	84	18	10.82	0.01958	5topMF.G2.D.S-G1.D.S.up.txt	Lc23767.1
GO:0004180	carboxypeptidase activity	84	18	10.82	0.01958	5topMF.G2.D.S-G1.D.S.up.txt	Lc18520.1
GO:0004180	carboxypeptidase activity	84	18	10.82	0.01958	5topMF.G2.D.S-G1.D.S.up.txt	Lc26457.1
GO:0004180	carboxypeptidase activity	84	18	10.82	0.01958	5topMF.G2.D.S-G1.D.S.up.txt	Lc27814.1
GO:0004180	carboxypeptidase activity	84	18	10.82	0.01958	5topMF.G2.D.S-G1.D.S.up.txt	Lc26555.1
GO:0004180	carboxypeptidase activity	84	18	10.82	0.01958	5topMF.G2.D.S-G1.D.S.up.txt	Lc12162.1
GO:0004180	carboxypeptidase activity	84	18	10.82	0.01958	5topMF.G2.D.S-G1.D.S.up.txt	Lc03331.1
GO:0004180	carboxypeptidase activity	84	18	10.82	0.01958	5topMF.G2.D.S-G1.D.S.up.txt	Lc12615.1
GO:0004180	carboxypeptidase activity	84	18	10.82	0.01958	5topMF.G2.D.S-G1.D.S.up.txt	Lc09844.1
GO:0004180	carboxypeptidase activity	84	18	10.82	0.01958	5topMF.G2.D.S-G1.D.S.up.txt	Lc18187.1
