GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000293	ferric-chelate reductase activity	8	4	0.62	0.00190	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc01156.1
GO:0000293	ferric-chelate reductase activity	8	4	0.62	0.00190	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc09184.1
GO:0000293	ferric-chelate reductase activity	8	4	0.62	0.00190	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc26499.1
GO:0000293	ferric-chelate reductase activity	8	4	0.62	0.00190	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc29911.1
GO:0003837	beta-ureidopropionase activity	9	3	0.69	0.02684	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc16863.1
GO:0003837	beta-ureidopropionase activity	9	3	0.69	0.02684	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc34718.1
GO:0003837	beta-ureidopropionase activity	9	3	0.69	0.02684	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc28479.1
GO:0003988	acetyl-CoA C-acyltransferase activity	8	3	0.62	0.01896	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc19159.1
GO:0003988	acetyl-CoA C-acyltransferase activity	8	3	0.62	0.01896	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc29537.1
GO:0003988	acetyl-CoA C-acyltransferase activity	8	3	0.62	0.01896	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc16245.1
GO:0003989	acetyl-CoA carboxylase activity	12	3	0.92	0.05915	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc08548.1
GO:0003989	acetyl-CoA carboxylase activity	12	3	0.92	0.05915	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc38229.1
GO:0003989	acetyl-CoA carboxylase activity	12	3	0.92	0.05915	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc37620.1
GO:0004014	adenosylmethionine decarboxylase activit...	6	2	0.46	0.07203	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc27232.1
GO:0004014	adenosylmethionine decarboxylase activit...	6	2	0.46	0.07203	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc22626.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	7	2.77	0.01823	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc29715.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	7	2.77	0.01823	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc23767.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	7	2.77	0.01823	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc19060.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	7	2.77	0.01823	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc36307.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	7	2.77	0.01823	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc35324.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	7	2.77	0.01823	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc18616.1
GO:0004022	alcohol dehydrogenase (NAD) activity	36	7	2.77	0.01823	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc17417.1
GO:0004040	amidase activity	23	4	1.77	0.09576	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc32431.1
GO:0004040	amidase activity	23	4	1.77	0.09576	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc00715.1
GO:0004040	amidase activity	23	4	1.77	0.09576	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc15177.1
GO:0004040	amidase activity	23	4	1.77	0.09576	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc01075.1
GO:0004144	diacylglycerol O-acyltransferase activit...	12	3	0.92	0.05915	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc28393.1
GO:0004144	diacylglycerol O-acyltransferase activit...	12	3	0.92	0.05915	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc27125.1
GO:0004144	diacylglycerol O-acyltransferase activit...	12	3	0.92	0.05915	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc06416.1
GO:0004301	epoxide hydrolase activity	26	6	2	0.01241	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc05957.1
GO:0004301	epoxide hydrolase activity	26	6	2	0.01241	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc27582.1
GO:0004301	epoxide hydrolase activity	26	6	2	0.01241	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc27575.1
GO:0004301	epoxide hydrolase activity	26	6	2	0.01241	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc27579.1
GO:0004301	epoxide hydrolase activity	26	6	2	0.01241	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc28433.1
GO:0004301	epoxide hydrolase activity	26	6	2	0.01241	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc27576.1
GO:0004322	ferroxidase activity	11	3	0.85	0.04698	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc15695.1
GO:0004322	ferroxidase activity	11	3	0.85	0.04698	5topMF.G2.ND.NS-G1.ND.NS.both.txt	Lc24475.1
