GO.ID	Term	Annotated	Significant	Expected	p.value
GO:0035251	UDP-glucosyltransferase activity	269	36	14.48	4.7e-07
GO:0102425	myricetin 3-O-glucosyltransferase activi...	39	10	2.1	3.0e-05
GO:0102360	daphnetin 3-O-glucosyltransferase activi...	39	10	2.1	3.0e-05
GO:0047216	inositol 3-alpha-galactosyltransferase a...	5	4	0.27	4.0e-05
GO:0004686	elongation factor-2 kinase activity	6	4	0.32	0.00011
GO:0004582	dolichyl-phosphate beta-D-mannosyltransf...	9	4	0.48	0.00085
GO:0015181	arginine transmembrane transporter activ...	15	5	0.81	0.00086
GO:0015189	L-lysine transmembrane transporter activ...	15	5	0.81	0.00086
GO:0015291	secondary active transmembrane transport...	720	58	38.76	0.00123
GO:0046715	active borate transmembrane transporter ...	10	4	0.54	0.00135
GO:0047274	galactinol-sucrose galactosyltransferase...	6	3	0.32	0.00275
GO:0016705	oxidoreductase activity, acting on paire...	533	47	28.69	0.00276
GO:0015168	glycerol transmembrane transporter activ...	12	4	0.65	0.00292
GO:0016872	intramolecular lyase activity	20	5	1.08	0.00353
GO:0043531	ADP binding	330	30	17.76	0.00371
GO:0045548	phenylalanine ammonia-lyase activity	7	3	0.38	0.00463
GO:0000064	L-ornithine transmembrane transporter ac...	7	3	0.38	0.00463
GO:0000293	ferric-chelate reductase activity	8	3	0.43	0.00711
GO:0008574	ATP-dependent microtubule motor activity...	8	3	0.43	0.00711
GO:0010333	terpene synthase activity	30	6	1.61	0.00808
GO:0030247	polysaccharide binding	89	11	4.79	0.00820
GO:0008144	drug binding	4085	255	219.89	0.01103
GO:0016641	oxidoreductase activity, acting on the C...	37	6	1.99	0.01334
GO:0030151	molybdenum ion binding	10	3	0.54	0.01404
GO:0010179	IAA-Ala conjugate hydrolase activity	28	5	1.51	0.01567
GO:0015172	acidic amino acid transmembrane transpor...	39	6	2.1	0.01710
GO:0004322	ferroxidase activity	11	3	0.59	0.01855
GO:0008199	ferric iron binding	11	3	0.59	0.01855
GO:0008265	Mo-molybdopterin cofactor sulfurase acti...	11	3	0.59	0.01855
GO:0016301	kinase activity	1979	132	106.53	0.01986
GO:0015204	urea transmembrane transporter activity	12	3	0.65	0.02376
GO:0016695	oxidoreductase activity, acting on hydro...	5	2	0.27	0.02597
GO:0034007	S-linalool synthase activity	5	2	0.27	0.02597
GO:0102361	esculetin 4-O-beta-glucosyltransferase a...	5	2	0.27	0.02597
GO:0102359	daphnetin 4-O-beta-glucosyltransferase a...	5	2	0.27	0.02597
GO:0004970	ionotropic glutamate receptor activity	22	4	1.18	0.02813
