GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000155	phosphorelay sensor kinase activity	42	14	8.1	0.02217	5topMF.G2.ND.NS-G2.D.NS.both.txt	Lc01838.1
GO:0000155	phosphorelay sensor kinase activity	42	14	8.1	0.02217	5topMF.G2.ND.NS-G2.D.NS.both.txt	Lc32784.1
GO:0000155	phosphorelay sensor kinase activity	42	14	8.1	0.02217	5topMF.G2.ND.NS-G2.D.NS.both.txt	Lc18752.1
GO:0000155	phosphorelay sensor kinase activity	42	14	8.1	0.02217	5topMF.G2.ND.NS-G2.D.NS.both.txt	Lc22121.1
GO:0000155	phosphorelay sensor kinase activity	42	14	8.1	0.02217	5topMF.G2.ND.NS-G2.D.NS.both.txt	Lc18647.1
GO:0000155	phosphorelay sensor kinase activity	42	14	8.1	0.02217	5topMF.G2.ND.NS-G2.D.NS.both.txt	Lc25324.1
GO:0000155	phosphorelay sensor kinase activity	42	14	8.1	0.02217	5topMF.G2.ND.NS-G2.D.NS.both.txt	Lc27156.1
GO:0000155	phosphorelay sensor kinase activity	42	14	8.1	0.02217	5topMF.G2.ND.NS-G2.D.NS.both.txt	Lc21475.1
GO:0000155	phosphorelay sensor kinase activity	42	14	8.1	0.02217	5topMF.G2.ND.NS-G2.D.NS.both.txt	Lc09971.1
GO:0000155	phosphorelay sensor kinase activity	42	14	8.1	0.02217	5topMF.G2.ND.NS-G2.D.NS.both.txt	Lc01507.1
GO:0000155	phosphorelay sensor kinase activity	42	14	8.1	0.02217	5topMF.G2.ND.NS-G2.D.NS.both.txt	Lc33118.1
GO:0000155	phosphorelay sensor kinase activity	42	14	8.1	0.02217	5topMF.G2.ND.NS-G2.D.NS.both.txt	Lc18648.1
GO:0000155	phosphorelay sensor kinase activity	42	14	8.1	0.02217	5topMF.G2.ND.NS-G2.D.NS.both.txt	Lc11775.1
GO:0000155	phosphorelay sensor kinase activity	42	14	8.1	0.02217	5topMF.G2.ND.NS-G2.D.NS.both.txt	Lc05546.1
GO:0000993	RNA polymerase II complex binding	9	4	1.74	0.07648	5topMF.G2.ND.NS-G2.D.NS.both.txt	Lc22563.1
GO:0000993	RNA polymerase II complex binding	9	4	1.74	0.07648	5topMF.G2.ND.NS-G2.D.NS.both.txt	Lc26369.1
GO:0000993	RNA polymerase II complex binding	9	4	1.74	0.07648	5topMF.G2.ND.NS-G2.D.NS.both.txt	Lc32287.1
GO:0000993	RNA polymerase II complex binding	9	4	1.74	0.07648	5topMF.G2.ND.NS-G2.D.NS.both.txt	Lc22560.1
GO:0001077	proximal promoter DNA-binding transcript...	5	3	0.96	0.05257	5topMF.G2.ND.NS-G2.D.NS.both.txt	Lc16253.1
GO:0001077	proximal promoter DNA-binding transcript...	5	3	0.96	0.05257	5topMF.G2.ND.NS-G2.D.NS.both.txt	Lc34635.1
GO:0001077	proximal promoter DNA-binding transcript...	5	3	0.96	0.05257	5topMF.G2.ND.NS-G2.D.NS.both.txt	Lc08165.1
GO:0003677	DNA binding	3131	731	603.88	4.1e-09	5topMF.G2.ND.NS-G2.D.NS.both.txt	Lc33211.1
GO:0003677	DNA binding	3131	731	603.88	4.1e-09	5topMF.G2.ND.NS-G2.D.NS.both.txt	Lc33281.1
