GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000155	phosphorelay sensor kinase activity	42	7	3.59	0.06341	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc25324.1
GO:0000155	phosphorelay sensor kinase activity	42	7	3.59	0.06341	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc01838.1
GO:0000155	phosphorelay sensor kinase activity	42	7	3.59	0.06341	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc11775.1
GO:0000155	phosphorelay sensor kinase activity	42	7	3.59	0.06341	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc18647.1
GO:0000155	phosphorelay sensor kinase activity	42	7	3.59	0.06341	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc27156.1
GO:0000155	phosphorelay sensor kinase activity	42	7	3.59	0.06341	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc18752.1
GO:0000155	phosphorelay sensor kinase activity	42	7	3.59	0.06341	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc18648.1
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kin...	7	2	0.6	0.11489	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc03094.1
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kin...	7	2	0.6	0.11489	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc32099.1
GO:0000822	inositol hexakisphosphate binding	6	3	0.51	0.01023	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc04536.1
GO:0000822	inositol hexakisphosphate binding	6	3	0.51	0.01023	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc25594.1
GO:0000822	inositol hexakisphosphate binding	6	3	0.51	0.01023	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc19113.1
GO:0001077	proximal promoter DNA-binding transcript...	5	3	0.43	0.00546	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc08165.1
GO:0001077	proximal promoter DNA-binding transcript...	5	3	0.43	0.00546	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc16253.1
GO:0001077	proximal promoter DNA-binding transcript...	5	3	0.43	0.00546	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc34635.1
GO:0003691	double-stranded telomeric DNA binding	13	3	1.11	0.09334	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc12660.1
GO:0003691	double-stranded telomeric DNA binding	13	3	1.11	0.09334	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc34811.1
GO:0003691	double-stranded telomeric DNA binding	13	3	1.11	0.09334	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc21297.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc35319.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc16740.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc12966.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc32415.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc00415.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc16444.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc35082.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc16365.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc37327.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc18962.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc15632.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc12835.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc11038.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc16543.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc12848.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc13381.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc16253.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc09473.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc33281.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc08070.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc28015.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc26950.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc26787.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc09441.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc34615.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc00175.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc35343.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc16440.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc16438.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc18794.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc28638.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc34635.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc28862.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc34830.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc10680.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc22548.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc15739.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc36025.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc10138.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc18470.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc18838.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc00328.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc38008.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc24427.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc30866.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc00620.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc28089.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc34189.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc17439.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc12220.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc25960.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc07393.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc08027.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc07941.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc13542.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc13670.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc27702.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc33164.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc33107.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc09413.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc14993.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc16074.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc26307.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc15912.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc15480.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc15512.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc21906.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc10244.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc34708.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc34737.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc22210.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc28803.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc28819.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc22609.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc13359.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc17459.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc17236.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc12024.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc36581.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc17643.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc36644.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc36805.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc23867.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc12376.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc24444.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc30879.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc19046.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc28183.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc09544.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc31716.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc31738.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc31915.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc26445.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc13540.1
GO:0003700	DNA-binding transcription factor activit...	2186	251	186.81	1.5e-06	5topMF.G2.ND.NS-G2.D.NS.down.txt	Lc07599.1
