GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000155	phosphorelay sensor kinase activity	42	7	4.51	0.15900	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc33118.1
GO:0000155	phosphorelay sensor kinase activity	42	7	4.51	0.15900	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc09971.1
GO:0000155	phosphorelay sensor kinase activity	42	7	4.51	0.15900	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc21475.1
GO:0000155	phosphorelay sensor kinase activity	42	7	4.51	0.15900	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc22121.1
GO:0000155	phosphorelay sensor kinase activity	42	7	4.51	0.15900	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc32784.1
GO:0000155	phosphorelay sensor kinase activity	42	7	4.51	0.15900	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc05546.1
GO:0000155	phosphorelay sensor kinase activity	42	7	4.51	0.15900	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc01507.1
GO:0000293	ferric-chelate reductase activity	8	3	0.86	0.04581	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc26499.1
GO:0000293	ferric-chelate reductase activity	8	3	0.86	0.04581	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc09184.1
GO:0000293	ferric-chelate reductase activity	8	3	0.86	0.04581	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc01156.1
GO:0000404	heteroduplex DNA loop binding	5	2	0.54	0.09251	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc30782.1
GO:0000404	heteroduplex DNA loop binding	5	2	0.54	0.09251	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc10401.1
GO:0000993	RNA polymerase II complex binding	9	3	0.97	0.06336	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc32287.1
GO:0000993	RNA polymerase II complex binding	9	3	0.97	0.06336	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc22563.1
GO:0000993	RNA polymerase II complex binding	9	3	0.97	0.06336	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc26369.1
GO:0001653	peptide receptor activity	13	3	1.4	0.15672	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc20454.1
GO:0001653	peptide receptor activity	13	3	1.4	0.15672	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc20453.1
GO:0001653	peptide receptor activity	13	3	1.4	0.15672	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc37858.1
GO:0003677	DNA binding	3131	428	336.31	3.9e-07	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc01314.1
GO:0003677	DNA binding	3131	428	336.31	3.9e-07	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc33964.1
GO:0003677	DNA binding	3131	428	336.31	3.9e-07	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc01474.1
GO:0003677	DNA binding	3131	428	336.31	3.9e-07	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc12834.1
GO:0003677	DNA binding	3131	428	336.31	3.9e-07	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc10713.1
GO:0003677	DNA binding	3131	428	336.31	3.9e-07	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc33922.1
GO:0003677	DNA binding	3131	428	336.31	3.9e-07	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc18662.1
GO:0003677	DNA binding	3131	428	336.31	3.9e-07	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc30779.1
GO:0003677	DNA binding	3131	428	336.31	3.9e-07	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc19665.1
GO:0003677	DNA binding	3131	428	336.31	3.9e-07	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc12629.1
GO:0003677	DNA binding	3131	428	336.31	3.9e-07	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc19660.1
GO:0003677	DNA binding	3131	428	336.31	3.9e-07	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc01361.1
GO:0003677	DNA binding	3131	428	336.31	3.9e-07	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc19591.1
GO:0003677	DNA binding	3131	428	336.31	3.9e-07	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc01723.1
GO:0003677	DNA binding	3131	428	336.31	3.9e-07	5topMF.G2.ND.NS-G2.D.NS.up.txt	Lc12754.1
