GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000210	NAD+ diphosphatase activity	15	5	1.93	0.03477	5topMF.G2.ND.NS-G2.D.S.both.txt	Lc14813.1
GO:0000210	NAD+ diphosphatase activity	15	5	1.93	0.03477	5topMF.G2.ND.NS-G2.D.S.both.txt	Lc09739.1
GO:0000210	NAD+ diphosphatase activity	15	5	1.93	0.03477	5topMF.G2.ND.NS-G2.D.S.both.txt	Lc16926.1
GO:0000210	NAD+ diphosphatase activity	15	5	1.93	0.03477	5topMF.G2.ND.NS-G2.D.S.both.txt	Lc20472.1
GO:0000210	NAD+ diphosphatase activity	15	5	1.93	0.03477	5topMF.G2.ND.NS-G2.D.S.both.txt	Lc28740.1
GO:0000293	ferric-chelate reductase activity	8	3	1.03	0.07244	5topMF.G2.ND.NS-G2.D.S.both.txt	Lc29911.1
GO:0000293	ferric-chelate reductase activity	8	3	1.03	0.07244	5topMF.G2.ND.NS-G2.D.S.both.txt	Lc09184.1
GO:0000293	ferric-chelate reductase activity	8	3	1.03	0.07244	5topMF.G2.ND.NS-G2.D.S.both.txt	Lc26499.1
GO:0003677	DNA binding	3131	432	403.06	0.09495	5topMF.G2.ND.NS-G2.D.S.both.txt	Lc01541.1
GO:0003677	DNA binding	3131	432	403.06	0.09495	5topMF.G2.ND.NS-G2.D.S.both.txt	Lc01836.1
GO:0003677	DNA binding	3131	432	403.06	0.09495	5topMF.G2.ND.NS-G2.D.S.both.txt	Lc14385.1
GO:0003677	DNA binding	3131	432	403.06	0.09495	5topMF.G2.ND.NS-G2.D.S.both.txt	Lc14410.1
GO:0003677	DNA binding	3131	432	403.06	0.09495	5topMF.G2.ND.NS-G2.D.S.both.txt	Lc14673.1
GO:0003677	DNA binding	3131	432	403.06	0.09495	5topMF.G2.ND.NS-G2.D.S.both.txt	Lc14793.1
GO:0003677	DNA binding	3131	432	403.06	0.09495	5topMF.G2.ND.NS-G2.D.S.both.txt	Lc00039.1
GO:0003677	DNA binding	3131	432	403.06	0.09495	5topMF.G2.ND.NS-G2.D.S.both.txt	Lc00085.1
GO:0003677	DNA binding	3131	432	403.06	0.09495	5topMF.G2.ND.NS-G2.D.S.both.txt	Lc01803.1
GO:0003677	DNA binding	3131	432	403.06	0.09495	5topMF.G2.ND.NS-G2.D.S.both.txt	Lc01809.1
GO:0003677	DNA binding	3131	432	403.06	0.09495	5topMF.G2.ND.NS-G2.D.S.both.txt	Lc00121.1
GO:0003677	DNA binding	3131	432	403.06	0.09495	5topMF.G2.ND.NS-G2.D.S.both.txt	Lc00153.1
GO:0003677	DNA binding	3131	432	403.06	0.09495	5topMF.G2.ND.NS-G2.D.S.both.txt	Lc00222.1
GO:0003677	DNA binding	3131	432	403.06	0.09495	5topMF.G2.ND.NS-G2.D.S.both.txt	Lc00411.1
GO:0003677	DNA binding	3131	432	403.06	0.09495	5topMF.G2.ND.NS-G2.D.S.both.txt	Lc00620.1
GO:0003677	DNA binding	3131	432	403.06	0.09495	5topMF.G2.ND.NS-G2.D.S.both.txt	Lc00625.1
GO:0003677	DNA binding	3131	432	403.06	0.09495	5topMF.G2.ND.NS-G2.D.S.both.txt	Lc00647.1
GO:0003677	DNA binding	3131	432	403.06	0.09495	5topMF.G2.ND.NS-G2.D.S.both.txt	Lc01080.1
GO:0003677	DNA binding	3131	432	403.06	0.09495	5topMF.G2.ND.NS-G2.D.S.both.txt	Lc01088.1
GO:0003677	DNA binding	3131	432	403.06	0.09495	5topMF.G2.ND.NS-G2.D.S.both.txt	Lc01314.1
