GO.ID	Term	Annotated	Significant	Expected	p.value
GO:0046982	protein heterodimerization activity	234	59	14.18	2.5e-21
GO:0003777	microtubule motor activity	124	26	7.52	2.2e-08
GO:0003677	DNA binding	3131	256	189.76	4.2e-06
GO:0031492	nucleosomal DNA binding	27	9	1.64	1.9e-05
GO:0016168	chlorophyll binding	74	15	4.48	3.1e-05
GO:0008017	microtubule binding	169	25	10.24	3.2e-05
GO:0015229	L-ascorbic acid transmembrane transporte...	6	4	0.36	0.00018
GO:0003682	chromatin binding	255	36	15.45	0.00064
GO:0016538	cyclin-dependent protein serine/threonin...	61	11	3.7	0.00099
GO:0042389	omega-3 fatty acid desaturase activity	5	3	0.3	0.00203
GO:0102483	scopolin beta-glucosidase activity	58	10	3.52	0.00235
GO:0008422	beta-glucosidase activity	120	16	7.27	0.00244
GO:0008271	secondary active sulfate transmembrane t...	32	7	1.94	0.00261
GO:0016984	ribulose-bisphosphate carboxylase activi...	11	4	0.67	0.00314
GO:0004014	adenosylmethionine decarboxylase activit...	6	3	0.36	0.00387
GO:0015142	tricarboxylic acid transmembrane transpo...	12	4	0.73	0.00449
GO:0031409	pigment binding	28	6	1.7	0.00584
GO:0097027	ubiquitin-protein transferase activator ...	7	3	0.42	0.00647
GO:0008253	5'-nucleotidase activity	7	3	0.42	0.00647
GO:0004693	cyclin-dependent protein serine/threonin...	67	10	4.06	0.00684
GO:0001671	ATPase activator activity	8	3	0.48	0.00988
GO:0010997	anaphase-promoting complex binding	8	3	0.48	0.00988
GO:0000293	ferric-chelate reductase activity	8	3	0.48	0.00988
GO:0090353	polygalacturonase inhibitor activity	8	3	0.48	0.00988
GO:0080043	quercetin 3-O-glucosyltransferase activi...	153	17	9.27	0.01154
GO:0080044	quercetin 7-O-glucosyltransferase activi...	153	17	9.27	0.01154
GO:0005034	osmosensor activity	16	4	0.97	0.01360
GO:0004315	3-oxoacyl-[acyl-carrier-protein] synthas...	9	3	0.55	0.01416
GO:0051920	peroxiredoxin activity	9	3	0.55	0.01416
GO:0080046	quercetin 4'-O-glucosyltransferase activ...	17	4	1.03	0.01694
GO:0048038	quinone binding	77	10	4.67	0.01760
GO:0008169	C-methyltransferase activity	10	3	0.61	0.01933
GO:0003688	DNA replication origin binding	19	4	1.15	0.02507
GO:0005315	inorganic phosphate transmembrane transp...	38	6	2.3	0.02560
GO:0045543	gibberellin 2-beta-dioxygenase activity	12	3	0.73	0.03237
GO:0000404	heteroduplex DNA loop binding	5	2	0.3	0.03247
GO:0016661	oxidoreductase activity, acting on other...	5	2	0.3	0.03247
GO:0080031	methyl salicylate esterase activity	5	2	0.3	0.03247
GO:0051087	chaperone binding	41	6	2.48	0.03579
GO:0045431	flavonol synthase activity	13	3	0.79	0.04023
GO:0009927	histidine phosphotransfer kinase activit...	13	3	0.79	0.04023
GO:0030332	cyclin binding	13	3	0.79	0.04023
GO:0015140	malate transmembrane transporter activit...	22	4	1.33	0.04099
GO:0003714	transcription corepressor activity	32	5	1.94	0.04182
GO:0003735	structural constituent of ribosome	672	52	40.73	0.04268
GO:0004527	exonuclease activity	98	11	5.94	0.04528
GO:0045486	naringenin 3-dioxygenase activity	6	2	0.36	0.04676
GO:0047202	sinapoylglucose-choline O-sinapoyltransf...	6	2	0.36	0.04676
GO:0003913	DNA photolyase activity	6	2	0.36	0.04676
GO:0033926	glycopeptide alpha-N-acetylgalactosamini...	6	2	0.36	0.04676
GO:0030795	jasmonate O-methyltransferase activity	6	2	0.36	0.04676
GO:0102078	methyl jasmonate methylesterase activity	6	2	0.36	0.04676
GO:0001085	RNA polymerase II transcription factor b...	33	5	2	0.04692
GO:0005089	Rho guanyl-nucleotide exchange factor ac...	14	3	0.85	0.04895
GO:0019843	rRNA binding	236	21	14.3	0.05074
