GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000155	phosphorelay sensor kinase activity	42	5	2.55	0.10849	5topMF.G2.ND.NS-G2.D.S.up.txt	Lc22121.1
GO:0000155	phosphorelay sensor kinase activity	42	5	2.55	0.10849	5topMF.G2.ND.NS-G2.D.S.up.txt	Lc01507.1
GO:0000155	phosphorelay sensor kinase activity	42	5	2.55	0.10849	5topMF.G2.ND.NS-G2.D.S.up.txt	Lc32784.1
GO:0000155	phosphorelay sensor kinase activity	42	5	2.55	0.10849	5topMF.G2.ND.NS-G2.D.S.up.txt	Lc09971.1
GO:0000155	phosphorelay sensor kinase activity	42	5	2.55	0.10849	5topMF.G2.ND.NS-G2.D.S.up.txt	Lc05546.1
GO:0000293	ferric-chelate reductase activity	8	3	0.48	0.00988	5topMF.G2.ND.NS-G2.D.S.up.txt	Lc26499.1
GO:0000293	ferric-chelate reductase activity	8	3	0.48	0.00988	5topMF.G2.ND.NS-G2.D.S.up.txt	Lc29911.1
GO:0000293	ferric-chelate reductase activity	8	3	0.48	0.00988	5topMF.G2.ND.NS-G2.D.S.up.txt	Lc09184.1
GO:0000404	heteroduplex DNA loop binding	5	2	0.3	0.03247	5topMF.G2.ND.NS-G2.D.S.up.txt	Lc10401.1
GO:0000404	heteroduplex DNA loop binding	5	2	0.3	0.03247	5topMF.G2.ND.NS-G2.D.S.up.txt	Lc30782.1
GO:0001085	RNA polymerase II transcription factor b...	33	5	2	0.04692	5topMF.G2.ND.NS-G2.D.S.up.txt	Lc24429.1
GO:0001085	RNA polymerase II transcription factor b...	33	5	2	0.04692	5topMF.G2.ND.NS-G2.D.S.up.txt	Lc10920.1
GO:0001085	RNA polymerase II transcription factor b...	33	5	2	0.04692	5topMF.G2.ND.NS-G2.D.S.up.txt	Lc35112.1
GO:0001085	RNA polymerase II transcription factor b...	33	5	2	0.04692	5topMF.G2.ND.NS-G2.D.S.up.txt	Lc22672.1
GO:0001085	RNA polymerase II transcription factor b...	33	5	2	0.04692	5topMF.G2.ND.NS-G2.D.S.up.txt	Lc35361.1
