GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000064	L-ornithine transmembrane transporter ac...	7	5	1.6	0.00867	5topMF.G2.ND.S-G1.ND.S.both.txt	Lc34138.1
GO:0000064	L-ornithine transmembrane transporter ac...	7	5	1.6	0.00867	5topMF.G2.ND.S-G1.ND.S.both.txt	Lc35172.1
GO:0000064	L-ornithine transmembrane transporter ac...	7	5	1.6	0.00867	5topMF.G2.ND.S-G1.ND.S.both.txt	Lc36189.1
GO:0000064	L-ornithine transmembrane transporter ac...	7	5	1.6	0.00867	5topMF.G2.ND.S-G1.ND.S.both.txt	Lc18858.1
GO:0000064	L-ornithine transmembrane transporter ac...	7	5	1.6	0.00867	5topMF.G2.ND.S-G1.ND.S.both.txt	Lc16112.1
GO:0001078	proximal promoter DNA-binding transcript...	5	3	1.15	0.08265	5topMF.G2.ND.S-G1.ND.S.both.txt	Lc07564.1
GO:0001078	proximal promoter DNA-binding transcript...	5	3	1.15	0.08265	5topMF.G2.ND.S-G1.ND.S.both.txt	Lc22575.1
GO:0001078	proximal promoter DNA-binding transcript...	5	3	1.15	0.08265	5topMF.G2.ND.S-G1.ND.S.both.txt	Lc36891.1
GO:0001653	peptide receptor activity	13	8	2.98	0.00314	5topMF.G2.ND.S-G1.ND.S.both.txt	Lc31142.1
GO:0001653	peptide receptor activity	13	8	2.98	0.00314	5topMF.G2.ND.S-G1.ND.S.both.txt	Lc06939.1
GO:0001653	peptide receptor activity	13	8	2.98	0.00314	5topMF.G2.ND.S-G1.ND.S.both.txt	Lc20454.1
GO:0001653	peptide receptor activity	13	8	2.98	0.00314	5topMF.G2.ND.S-G1.ND.S.both.txt	Lc15410.1
GO:0001653	peptide receptor activity	13	8	2.98	0.00314	5topMF.G2.ND.S-G1.ND.S.both.txt	Lc28424.1
GO:0001653	peptide receptor activity	13	8	2.98	0.00314	5topMF.G2.ND.S-G1.ND.S.both.txt	Lc20453.1
GO:0001653	peptide receptor activity	13	8	2.98	0.00314	5topMF.G2.ND.S-G1.ND.S.both.txt	Lc03494.1
