GO.ID	Term	Annotated	Significant	Expected	p.value
GO:0005198	structural molecule activity	849	188	93.35	2.0e-21
GO:0003723	RNA binding	1989	351	218.7	2.7e-19
GO:0004519	endonuclease activity	397	81	43.65	1.4e-08
GO:0008173	RNA methyltransferase activity	45	18	4.95	4.8e-07
GO:0015450	P-P-bond-hydrolysis-driven protein trans...	56	20	6.16	9.7e-07
GO:0005525	GTP binding	303	58	33.32	1.9e-05
GO:0003924	GTPase activity	237	48	26.06	2.1e-05
GO:0051082	unfolded protein binding	112	28	12.31	2.3e-05
GO:0044183	protein binding involved in protein fold...	27	10	2.97	0.00037
GO:0008170	N-methyltransferase activity	84	23	9.24	0.00064
GO:0008270	zinc ion binding	1310	180	144.04	0.00091
GO:0042054	histone methyltransferase activity	64	16	7.04	0.00124
GO:0009982	pseudouridine synthase activity	22	8	2.42	0.00163
GO:0004834	tryptophan synthase activity	6	4	0.66	0.00182
GO:0003688	DNA replication origin binding	19	7	2.09	0.00293
GO:0017110	nucleoside-diphosphatase activity	7	4	0.77	0.00388
GO:0003887	DNA-directed DNA polymerase activity	25	8	2.75	0.00409
GO:0003910	DNA ligase (ATP) activity	11	5	1.21	0.00418
GO:0001054	RNA polymerase I activity	26	8	2.86	0.00535
GO:0008026	ATP-dependent helicase activity	163	29	17.92	0.00618
GO:0016741	transferase activity, transferring one-c...	386	79	42.44	0.00644
GO:0017172	cysteine dioxygenase activity	8	4	0.88	0.00709
GO:0004462	lactoylglutathione lyase activity	22	7	2.42	0.00739
GO:0005047	signal recognition particle binding	17	6	1.87	0.00744
GO:0003697	single-stranded DNA binding	83	17	9.13	0.00817
GO:0003746	translation elongation factor activity	99	19	10.89	0.01091
GO:0003860	3-hydroxyisobutyryl-CoA hydrolase activi...	5	3	0.55	0.01119
GO:0080031	methyl salicylate esterase activity	5	3	0.55	0.01119
GO:0016279	protein-lysine N-methyltransferase activ...	48	11	5.28	0.01343
GO:0008408	3'-5' exonuclease activity	55	12	6.05	0.01485
GO:0005242	inward rectifier potassium channel activ...	15	5	1.65	0.01869
GO:0038199	ethylene receptor activity	6	3	0.66	0.02056
GO:0003917	DNA topoisomerase type I activity	6	3	0.66	0.02056
GO:0080116	glucuronoxylan glucuronosyltransferase a...	6	3	0.66	0.02056
GO:1901474	azole transmembrane transporter activity	6	3	0.66	0.02056
GO:0003724	RNA helicase activity	86	16	9.46	0.02427
GO:0080054	low-affinity nitrate transmembrane trans...	16	5	1.76	0.02477
GO:0080072	spermidine:sinapoyl CoA N-acyltransferas...	11	4	1.21	0.02551
GO:0080073	spermidine:coumaroyl CoA N-acyltransfera...	11	4	1.21	0.02551
GO:0080074	spermidine:caffeoyl CoA N-acyltransferas...	11	4	1.21	0.02551
GO:0080075	spermidine:feruloyl CoA N-acyltransferas...	11	4	1.21	0.02551
GO:0060590	ATPase regulator activity	11	4	1.21	0.02551
GO:0008519	ammonium transmembrane transporter activ...	17	5	1.87	0.03199
GO:0008964	phosphoenolpyruvate carboxylase activity	7	3	0.77	0.03306
GO:0016040	glutamate synthase (NADH) activity	7	3	0.77	0.03306
GO:0051740	ethylene binding	7	3	0.77	0.03306
GO:0015101	organic cation transmembrane transporter...	23	6	2.53	0.03423
