GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0001054	RNA polymerase I activity	26	8	2.86	0.00535	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc10124.1
GO:0001054	RNA polymerase I activity	26	8	2.86	0.00535	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc09891.1
GO:0001054	RNA polymerase I activity	26	8	2.86	0.00535	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc27250.1
GO:0001054	RNA polymerase I activity	26	8	2.86	0.00535	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc12500.1
GO:0001054	RNA polymerase I activity	26	8	2.86	0.00535	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc26528.1
GO:0001054	RNA polymerase I activity	26	8	2.86	0.00535	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc16341.1
GO:0001054	RNA polymerase I activity	26	8	2.86	0.00535	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc06278.1
GO:0001054	RNA polymerase I activity	26	8	2.86	0.00535	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc19737.1
GO:0001056	RNA polymerase III activity	26	6	2.86	0.05886	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc10124.1
GO:0001056	RNA polymerase III activity	26	6	2.86	0.05886	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc06278.1
GO:0001056	RNA polymerase III activity	26	6	2.86	0.05886	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc27250.1
GO:0001056	RNA polymerase III activity	26	6	2.86	0.05886	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc12500.1
GO:0001056	RNA polymerase III activity	26	6	2.86	0.05886	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc09891.1
GO:0001056	RNA polymerase III activity	26	6	2.86	0.05886	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc26528.1
GO:0003688	DNA replication origin binding	19	7	2.09	0.00293	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc12496.1
GO:0003688	DNA replication origin binding	19	7	2.09	0.00293	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc14017.1
GO:0003688	DNA replication origin binding	19	7	2.09	0.00293	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc19602.1
GO:0003688	DNA replication origin binding	19	7	2.09	0.00293	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc03730.1
GO:0003688	DNA replication origin binding	19	7	2.09	0.00293	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc03273.1
GO:0003688	DNA replication origin binding	19	7	2.09	0.00293	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc08919.1
GO:0003688	DNA replication origin binding	19	7	2.09	0.00293	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc25335.1
GO:0003697	single-stranded DNA binding	83	17	9.13	0.00817	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc11378.1
GO:0003697	single-stranded DNA binding	83	17	9.13	0.00817	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc14634.1
GO:0003697	single-stranded DNA binding	83	17	9.13	0.00817	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc18709.1
GO:0003697	single-stranded DNA binding	83	17	9.13	0.00817	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc37108.1
GO:0003697	single-stranded DNA binding	83	17	9.13	0.00817	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc16301.1
GO:0003697	single-stranded DNA binding	83	17	9.13	0.00817	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc11196.1
GO:0003697	single-stranded DNA binding	83	17	9.13	0.00817	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc03758.1
GO:0003697	single-stranded DNA binding	83	17	9.13	0.00817	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc12770.1
GO:0003697	single-stranded DNA binding	83	17	9.13	0.00817	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc14017.1
GO:0003697	single-stranded DNA binding	83	17	9.13	0.00817	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc37086.1
GO:0003697	single-stranded DNA binding	83	17	9.13	0.00817	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc19111.1
GO:0003697	single-stranded DNA binding	83	17	9.13	0.00817	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc02093.1
GO:0003697	single-stranded DNA binding	83	17	9.13	0.00817	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc25101.1
GO:0003697	single-stranded DNA binding	83	17	9.13	0.00817	5topMF.G2.ND.S-G1.ND.S.down.txt	Lc12143.1
