GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000064	L-ornithine transmembrane transporter ac...	7	3	0.83	0.04080	5topMF.G2.ND.S-G1.ND.S.up.txt	Lc36189.1
GO:0000064	L-ornithine transmembrane transporter ac...	7	3	0.83	0.04080	5topMF.G2.ND.S-G1.ND.S.up.txt	Lc35172.1
GO:0000064	L-ornithine transmembrane transporter ac...	7	3	0.83	0.04080	5topMF.G2.ND.S-G1.ND.S.up.txt	Lc34138.1
GO:0000210	NAD+ diphosphatase activity	15	5	1.79	0.02569	5topMF.G2.ND.S-G1.ND.S.up.txt	Lc16926.1
GO:0000210	NAD+ diphosphatase activity	15	5	1.79	0.02569	5topMF.G2.ND.S-G1.ND.S.up.txt	Lc28197.1
GO:0000210	NAD+ diphosphatase activity	15	5	1.79	0.02569	5topMF.G2.ND.S-G1.ND.S.up.txt	Lc07995.1
GO:0000210	NAD+ diphosphatase activity	15	5	1.79	0.02569	5topMF.G2.ND.S-G1.ND.S.up.txt	Lc20472.1
GO:0000210	NAD+ diphosphatase activity	15	5	1.79	0.02569	5topMF.G2.ND.S-G1.ND.S.up.txt	Lc29539.1
GO:0000293	ferric-chelate reductase activity	8	4	0.95	0.00945	5topMF.G2.ND.S-G1.ND.S.up.txt	Lc15693.1
GO:0000293	ferric-chelate reductase activity	8	4	0.95	0.00945	5topMF.G2.ND.S-G1.ND.S.up.txt	Lc09184.1
GO:0000293	ferric-chelate reductase activity	8	4	0.95	0.00945	5topMF.G2.ND.S-G1.ND.S.up.txt	Lc26499.1
GO:0000293	ferric-chelate reductase activity	8	4	0.95	0.00945	5topMF.G2.ND.S-G1.ND.S.up.txt	Lc01156.1
GO:0001078	proximal promoter DNA-binding transcript...	5	3	0.6	0.01401	5topMF.G2.ND.S-G1.ND.S.up.txt	Lc22575.1
GO:0001078	proximal promoter DNA-binding transcript...	5	3	0.6	0.01401	5topMF.G2.ND.S-G1.ND.S.up.txt	Lc07564.1
GO:0001078	proximal promoter DNA-binding transcript...	5	3	0.6	0.01401	5topMF.G2.ND.S-G1.ND.S.up.txt	Lc36891.1
GO:0001653	peptide receptor activity	13	7	1.55	0.00030	5topMF.G2.ND.S-G1.ND.S.up.txt	Lc06939.1
GO:0001653	peptide receptor activity	13	7	1.55	0.00030	5topMF.G2.ND.S-G1.ND.S.up.txt	Lc05736.1
GO:0001653	peptide receptor activity	13	7	1.55	0.00030	5topMF.G2.ND.S-G1.ND.S.up.txt	Lc20454.1
GO:0001653	peptide receptor activity	13	7	1.55	0.00030	5topMF.G2.ND.S-G1.ND.S.up.txt	Lc03494.1
GO:0001653	peptide receptor activity	13	7	1.55	0.00030	5topMF.G2.ND.S-G1.ND.S.up.txt	Lc15410.1
GO:0001653	peptide receptor activity	13	7	1.55	0.00030	5topMF.G2.ND.S-G1.ND.S.up.txt	Lc28424.1
GO:0001653	peptide receptor activity	13	7	1.55	0.00030	5topMF.G2.ND.S-G1.ND.S.up.txt	Lc20453.1
GO:0003714	transcription corepressor activity	32	11	3.81	0.00079	5topMF.G2.ND.S-G1.ND.S.up.txt	Lc23038.1
GO:0003714	transcription corepressor activity	32	11	3.81	0.00079	5topMF.G2.ND.S-G1.ND.S.up.txt	Lc37668.1
GO:0003714	transcription corepressor activity	32	11	3.81	0.00079	5topMF.G2.ND.S-G1.ND.S.up.txt	Lc07697.1
GO:0003714	transcription corepressor activity	32	11	3.81	0.00079	5topMF.G2.ND.S-G1.ND.S.up.txt	Lc23037.1
GO:0003714	transcription corepressor activity	32	11	3.81	0.00079	5topMF.G2.ND.S-G1.ND.S.up.txt	Lc29263.1
GO:0003714	transcription corepressor activity	32	11	3.81	0.00079	5topMF.G2.ND.S-G1.ND.S.up.txt	Lc08512.1
GO:0003714	transcription corepressor activity	32	11	3.81	0.00079	5topMF.G2.ND.S-G1.ND.S.up.txt	Lc31797.1
GO:0003714	transcription corepressor activity	32	11	3.81	0.00079	5topMF.G2.ND.S-G1.ND.S.up.txt	Lc03918.1
