GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000064	L-ornithine transmembrane transporter ac...	7	4	0.99	0.00961	5topMF.G2.ND.S-G2.ND.NS.both.txt	Lc36189.1
GO:0000064	L-ornithine transmembrane transporter ac...	7	4	0.99	0.00961	5topMF.G2.ND.S-G2.ND.NS.both.txt	Lc18858.1
GO:0000064	L-ornithine transmembrane transporter ac...	7	4	0.99	0.00961	5topMF.G2.ND.S-G2.ND.NS.both.txt	Lc35172.1
GO:0000064	L-ornithine transmembrane transporter ac...	7	4	0.99	0.00961	5topMF.G2.ND.S-G2.ND.NS.both.txt	Lc28588.1
GO:0000155	phosphorelay sensor kinase activity	42	11	5.91	0.02757	5topMF.G2.ND.S-G2.ND.NS.both.txt	Lc09354.1
GO:0000155	phosphorelay sensor kinase activity	42	11	5.91	0.02757	5topMF.G2.ND.S-G2.ND.NS.both.txt	Lc29260.1
GO:0000155	phosphorelay sensor kinase activity	42	11	5.91	0.02757	5topMF.G2.ND.S-G2.ND.NS.both.txt	Lc32784.1
GO:0000155	phosphorelay sensor kinase activity	42	11	5.91	0.02757	5topMF.G2.ND.S-G2.ND.NS.both.txt	Lc18648.1
GO:0000155	phosphorelay sensor kinase activity	42	11	5.91	0.02757	5topMF.G2.ND.S-G2.ND.NS.both.txt	Lc18647.1
GO:0000155	phosphorelay sensor kinase activity	42	11	5.91	0.02757	5topMF.G2.ND.S-G2.ND.NS.both.txt	Lc27156.1
GO:0000155	phosphorelay sensor kinase activity	42	11	5.91	0.02757	5topMF.G2.ND.S-G2.ND.NS.both.txt	Lc01507.1
GO:0000155	phosphorelay sensor kinase activity	42	11	5.91	0.02757	5topMF.G2.ND.S-G2.ND.NS.both.txt	Lc22121.1
GO:0000155	phosphorelay sensor kinase activity	42	11	5.91	0.02757	5topMF.G2.ND.S-G2.ND.NS.both.txt	Lc09971.1
GO:0000155	phosphorelay sensor kinase activity	42	11	5.91	0.02757	5topMF.G2.ND.S-G2.ND.NS.both.txt	Lc01838.1
GO:0000155	phosphorelay sensor kinase activity	42	11	5.91	0.02757	5topMF.G2.ND.S-G2.ND.NS.both.txt	Lc05546.1
GO:0000175	3'-5'-exoribonuclease activity	30	8	4.22	0.05090	5topMF.G2.ND.S-G2.ND.NS.both.txt	Lc05978.1
GO:0000175	3'-5'-exoribonuclease activity	30	8	4.22	0.05090	5topMF.G2.ND.S-G2.ND.NS.both.txt	Lc15833.1
GO:0000175	3'-5'-exoribonuclease activity	30	8	4.22	0.05090	5topMF.G2.ND.S-G2.ND.NS.both.txt	Lc00087.1
GO:0000175	3'-5'-exoribonuclease activity	30	8	4.22	0.05090	5topMF.G2.ND.S-G2.ND.NS.both.txt	Lc21702.1
GO:0000175	3'-5'-exoribonuclease activity	30	8	4.22	0.05090	5topMF.G2.ND.S-G2.ND.NS.both.txt	Lc08885.1
GO:0000175	3'-5'-exoribonuclease activity	30	8	4.22	0.05090	5topMF.G2.ND.S-G2.ND.NS.both.txt	Lc15400.1
GO:0000175	3'-5'-exoribonuclease activity	30	8	4.22	0.05090	5topMF.G2.ND.S-G2.ND.NS.both.txt	Lc27684.1
