GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000064	L-ornithine transmembrane transporter ac...	7	2	0.57	0.10419	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc28588.1
GO:0000064	L-ornithine transmembrane transporter ac...	7	2	0.57	0.10419	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc18858.1
GO:0000156	phosphorelay response regulator activity	62	8	5.01	0.12474	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc20916.1
GO:0000156	phosphorelay response regulator activity	62	8	5.01	0.12474	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc29239.1
GO:0000156	phosphorelay response regulator activity	62	8	5.01	0.12474	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc15322.1
GO:0000156	phosphorelay response regulator activity	62	8	5.01	0.12474	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc12676.1
GO:0000156	phosphorelay response regulator activity	62	8	5.01	0.12474	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc14825.1
GO:0000156	phosphorelay response regulator activity	62	8	5.01	0.12474	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc11585.1
GO:0000156	phosphorelay response regulator activity	62	8	5.01	0.12474	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc00583.1
GO:0000156	phosphorelay response regulator activity	62	8	5.01	0.12474	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc38965.1
GO:0000404	heteroduplex DNA loop binding	5	2	0.4	0.05526	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc10401.1
GO:0000404	heteroduplex DNA loop binding	5	2	0.4	0.05526	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc30782.1
GO:0001054	RNA polymerase I activity	26	8	2.1	0.00074	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc19737.1
GO:0001054	RNA polymerase I activity	26	8	2.1	0.00074	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc12500.1
GO:0001054	RNA polymerase I activity	26	8	2.1	0.00074	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc16341.1
GO:0001054	RNA polymerase I activity	26	8	2.1	0.00074	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc27250.1
GO:0001054	RNA polymerase I activity	26	8	2.1	0.00074	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc09891.1
GO:0001054	RNA polymerase I activity	26	8	2.1	0.00074	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc06278.1
GO:0001054	RNA polymerase I activity	26	8	2.1	0.00074	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc10124.1
GO:0001054	RNA polymerase I activity	26	8	2.1	0.00074	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc26528.1
GO:0001055	RNA polymerase II activity	20	4	1.61	0.07246	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc26528.1
GO:0001055	RNA polymerase II activity	20	4	1.61	0.07246	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc09891.1
GO:0001055	RNA polymerase II activity	20	4	1.61	0.07246	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc06278.1
GO:0001055	RNA polymerase II activity	20	4	1.61	0.07246	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc10124.1
GO:0001056	RNA polymerase III activity	26	7	2.1	0.00370	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc12500.1
GO:0001056	RNA polymerase III activity	26	7	2.1	0.00370	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc10124.1
GO:0001056	RNA polymerase III activity	26	7	2.1	0.00370	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc06278.1
GO:0001056	RNA polymerase III activity	26	7	2.1	0.00370	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc26528.1
GO:0001056	RNA polymerase III activity	26	7	2.1	0.00370	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc09891.1
GO:0001056	RNA polymerase III activity	26	7	2.1	0.00370	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc28019.1
GO:0001056	RNA polymerase III activity	26	7	2.1	0.00370	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc27250.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc35940.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc35679.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc26775.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc35749.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc26644.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc03196.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc03324.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc03273.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc29076.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc17905.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc03104.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc17980.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc35185.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc29042.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc26230.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc35500.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc03052.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc05526.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc05546.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc35646.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc20940.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc10795.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc03394.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc17808.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc35309.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc35238.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc11521.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc36285.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc03050.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc26251.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc36535.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc09784.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc34694.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc09609.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc29210.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc29239.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc11372.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc11378.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc02919.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc02949.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc38395.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc38582.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc00209.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc26201.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc10498.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc10629.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc17713.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc26336.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc02093.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc10978.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc03401.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc36255.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc23760.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc08418.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc08496.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc36193.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc24626.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc36196.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc36558.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc36562.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc36746.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc35480.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc02823.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc10730.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc23972.1
GO:0003676	nucleic acid binding	5256	581	424.3	0.07062	5topMF.G2.ND.S-G2.ND.NS.down.txt	Lc03441.1
