GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000015	phosphopyruvate hydratase complex	6	1	0.6	0.4663	5topCC.G1.D.S-G1.D.NS.down.txt	Lc05945.1
GO:0000145	exocyst	44	6	4.37	0.2694	5topCC.G1.D.S-G1.D.NS.down.txt	Lc17990.1
GO:0000145	exocyst	44	6	4.37	0.2694	5topCC.G1.D.S-G1.D.NS.down.txt	Lc34321.1
GO:0000145	exocyst	44	6	4.37	0.2694	5topCC.G1.D.S-G1.D.NS.down.txt	Lc34593.1
GO:0000145	exocyst	44	6	4.37	0.2694	5topCC.G1.D.S-G1.D.NS.down.txt	Lc31369.1
GO:0000145	exocyst	44	6	4.37	0.2694	5topCC.G1.D.S-G1.D.NS.down.txt	Lc00597.1
GO:0000145	exocyst	44	6	4.37	0.2694	5topCC.G1.D.S-G1.D.NS.down.txt	Lc20093.1
GO:0000148	1,3-beta-D-glucan synthase complex	21	3	2.09	0.3478	5topCC.G1.D.S-G1.D.NS.down.txt	Lc06453.1
GO:0000148	1,3-beta-D-glucan synthase complex	21	3	2.09	0.3478	5topCC.G1.D.S-G1.D.NS.down.txt	Lc06433.1
GO:0000148	1,3-beta-D-glucan synthase complex	21	3	2.09	0.3478	5topCC.G1.D.S-G1.D.NS.down.txt	Lc29140.1
GO:0000177	cytoplasmic exosome (RNase complex)	7	1	0.7	0.5194	5topCC.G1.D.S-G1.D.NS.down.txt	Lc15400.1
GO:0000220	vacuolar proton-transporting V-type ATPa...	8	1	0.79	0.5671	5topCC.G1.D.S-G1.D.NS.down.txt	Lc38586.1
GO:0000326	protein storage vacuole	29	7	2.88	0.0209	5topCC.G1.D.S-G1.D.NS.down.txt	Lc25623.1
GO:0000326	protein storage vacuole	29	7	2.88	0.0209	5topCC.G1.D.S-G1.D.NS.down.txt	Lc09597.1
GO:0000326	protein storage vacuole	29	7	2.88	0.0209	5topCC.G1.D.S-G1.D.NS.down.txt	Lc25622.1
GO:0000326	protein storage vacuole	29	7	2.88	0.0209	5topCC.G1.D.S-G1.D.NS.down.txt	Lc21934.1
GO:0000326	protein storage vacuole	29	7	2.88	0.0209	5topCC.G1.D.S-G1.D.NS.down.txt	Lc02268.1
GO:0000326	protein storage vacuole	29	7	2.88	0.0209	5topCC.G1.D.S-G1.D.NS.down.txt	Lc02208.1
GO:0000326	protein storage vacuole	29	7	2.88	0.0209	5topCC.G1.D.S-G1.D.NS.down.txt	Lc11586.1
GO:0000783	nuclear telomere cap complex	15	3	1.49	0.1816	5topCC.G1.D.S-G1.D.NS.down.txt	Lc34811.1
GO:0000783	nuclear telomere cap complex	15	3	1.49	0.1816	5topCC.G1.D.S-G1.D.NS.down.txt	Lc12660.1
GO:0000783	nuclear telomere cap complex	15	3	1.49	0.1816	5topCC.G1.D.S-G1.D.NS.down.txt	Lc21297.1
GO:0000932	P-body	71	12	7.05	0.4810	5topCC.G1.D.S-G1.D.NS.down.txt	Lc15176.1
GO:0000932	P-body	71	12	7.05	0.4810	5topCC.G1.D.S-G1.D.NS.down.txt	Lc23421.1
GO:0000932	P-body	71	12	7.05	0.4810	5topCC.G1.D.S-G1.D.NS.down.txt	Lc19498.1
