GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc01053.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc19390.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc00428.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc15900.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc38898.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc19535.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc13708.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc16899.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc14372.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc38785.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc32537.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc15431.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc14950.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc15940.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc17024.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc16071.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc04042.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc19034.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc02849.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc21576.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc38542.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc01684.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc37764.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc36846.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc03130.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc05473.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc16120.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc16316.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc04343.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc19662.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc18247.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc18352.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc12986.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc30673.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc13707.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc21715.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc23143.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc32203.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc23500.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc20374.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc06222.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc10552.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc19291.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc05448.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc12406.1
GO:0000139	Golgi membrane	516	68	56.72	0.06571	5topCC.G1.D.S-G1.D.NS.up.txt	Lc30573.1
