GO.ID	Term	Annotated	Significant	Expected	p.value
GO:0031225	anchored component of membrane	319	111	58.62	1.9e-12
GO:0009505	plant-type cell wall	546	153	100.33	1.7e-08
GO:0071944	cell periphery	7143	1477	1312.51	2.3e-05
GO:0042555	MCM complex	8	7	1.47	4.7e-05
GO:0031224	intrinsic component of membrane	7102	1440	1304.97	0.00076
GO:0031901	early endosome membrane	22	10	4.04	0.00323
GO:0044454	nuclear chromosome part	197	49	36.2	0.01000
GO:0000326	protein storage vacuole	29	11	5.33	0.01057
GO:0000779	condensed chromosome, centromeric region	27	10	4.96	0.01740
GO:0000808	origin recognition complex	17	7	3.12	0.02449
GO:0005795	Golgi stack	93	25	17.09	0.02742
GO:0000347	THO complex	14	6	2.57	0.02995
GO:0005776	autophagosome	34	11	6.25	0.03611
GO:0000813	ESCRT I complex	5	3	0.92	0.04618
GO:0035102	PRC1 complex	5	3	0.92	0.04618
GO:1990391	DNA repair complex	12	5	2.2	0.05288
GO:0005911	cell-cell junction	1689	335	310.35	0.06027
GO:0005872	minus-end kinesin complex	9	4	1.65	0.06567
GO:0032585	multivesicular body membrane	9	4	1.65	0.06567
GO:0005874	microtubule	232	53	42.63	0.07212
GO:0030687	preribosome, large subunit precursor	13	5	2.39	0.07330
GO:0005789	endoplasmic reticulum membrane	582	121	106.94	0.07909
GO:0008278	cohesin complex	6	3	1.1	0.07992
GO:0031428	box C/D snoRNP complex	6	3	1.1	0.07992
GO:0033597	mitotic checkpoint complex	6	3	1.1	0.07992
GO:0048471	perinuclear region of cytoplasm	18	6	3.31	0.09634
GO:0009986	cell surface	40	11	7.35	0.10267
GO:0032432	actin filament bundle	7	3	1.29	0.12122
GO:0030173	integral component of Golgi membrane	7	3	1.29	0.12122
GO:0031261	DNA replication preinitiation complex	7	3	1.29	0.12122
GO:0005769	early endosome	48	17	8.82	0.12659
GO:0042807	central vacuole	11	4	2.02	0.12701
GO:0032040	small-subunit processome	28	8	5.14	0.12712
GO:0005811	lipid droplet	28	8	5.14	0.12712
GO:0031012	extracellular matrix	37	10	6.8	0.12744
GO:0000407	phagophore assembly site	33	9	6.06	0.13762
GO:0005886	plasma membrane	6041	1235	1110.02	0.14690
GO:0005634	nucleus	11883	2226	2183.47	0.15339
GO:0005871	kinesin complex	55	15	10.11	0.15793
GO:0005788	endoplasmic reticulum lumen	77	18	14.15	0.16120
GO:0016602	CCAAT-binding factor complex	12	4	2.2	0.16407
GO:0016328	lateral plasma membrane	8	3	1.47	0.16843
GO:0005576	extracellular region	3535	671	649.55	0.19107
GO:0031359	integral component of chloroplast outer ...	13	4	2.39	0.20441
GO:0000151	ubiquitin ligase complex	290	62	53.29	0.20829
GO:0030139	endocytic vesicle	27	7	4.96	0.21550
GO:0000815	ESCRT III complex	9	3	1.65	0.21981
