GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc03055.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc04705.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc11400.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc04042.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc11928.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc19987.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc06008.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc20592.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc04314.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc03986.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc09104.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc21283.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc19988.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc32713.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc05448.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc21962.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc06222.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc08112.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc08266.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc19662.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc07189.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc38898.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc31295.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc05286.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc21196.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc32537.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc13707.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc21715.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc34109.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc01684.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc18990.1
GO:0000139	Golgi membrane	516	102	94.81	0.37139	5topCC.G1.ND.NS-G1.D.NS.both.txt	Lc19305.1
