GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000145	exocyst	44	7	4.03	0.10339	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc34321.1
GO:0000145	exocyst	44	7	4.03	0.10339	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc31369.1
GO:0000145	exocyst	44	7	4.03	0.10339	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc34593.1
GO:0000145	exocyst	44	7	4.03	0.10339	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc30610.1
GO:0000145	exocyst	44	7	4.03	0.10339	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc20093.1
GO:0000145	exocyst	44	7	4.03	0.10339	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc17990.1
GO:0000145	exocyst	44	7	4.03	0.10339	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc00597.1
GO:0000326	protein storage vacuole	29	6	2.66	0.04450	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc09597.1
GO:0000326	protein storage vacuole	29	6	2.66	0.04450	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc25622.1
GO:0000326	protein storage vacuole	29	6	2.66	0.04450	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc21934.1
GO:0000326	protein storage vacuole	29	6	2.66	0.04450	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc02268.1
GO:0000326	protein storage vacuole	29	6	2.66	0.04450	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc25623.1
GO:0000326	protein storage vacuole	29	6	2.66	0.04450	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc02208.1
GO:0000407	phagophore assembly site	33	8	3.02	0.00845	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc31079.1
GO:0000407	phagophore assembly site	33	8	3.02	0.00845	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc04454.1
GO:0000407	phagophore assembly site	33	8	3.02	0.00845	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc26548.1
GO:0000407	phagophore assembly site	33	8	3.02	0.00845	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc28381.1
GO:0000407	phagophore assembly site	33	8	3.02	0.00845	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc17456.1
GO:0000407	phagophore assembly site	33	8	3.02	0.00845	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc05594.1
GO:0000407	phagophore assembly site	33	8	3.02	0.00845	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc28042.1
GO:0000407	phagophore assembly site	33	8	3.02	0.00845	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc00977.1
GO:0000783	nuclear telomere cap complex	15	2	1.37	0.40517	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc12660.1
GO:0000783	nuclear telomere cap complex	15	2	1.37	0.40517	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc21297.1
GO:0000813	ESCRT I complex	5	3	0.46	0.00666	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc14435.1
GO:0000813	ESCRT I complex	5	3	0.46	0.00666	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc17379.1
GO:0000813	ESCRT I complex	5	3	0.46	0.00666	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc25279.1
GO:0000815	ESCRT III complex	9	2	0.82	0.19640	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc37101.1
GO:0000815	ESCRT III complex	9	2	0.82	0.19640	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc19049.1
GO:0000932	P-body	71	10	6.5	0.52927	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc07942.1
GO:0000932	P-body	71	10	6.5	0.52927	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc01113.1
GO:0000932	P-body	71	10	6.5	0.52927	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc19498.1
GO:0000932	P-body	71	10	6.5	0.52927	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc15176.1
GO:0000932	P-body	71	10	6.5	0.52927	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc21369.1
GO:0000932	P-body	71	10	6.5	0.52927	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc21047.1
GO:0000932	P-body	71	10	6.5	0.52927	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc09912.1
GO:0000932	P-body	71	10	6.5	0.52927	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc13870.1
GO:0000932	P-body	71	10	6.5	0.52927	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc11935.1
GO:0000932	P-body	71	10	6.5	0.52927	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc09979.1
GO:0005615	extracellular space	125	12	11.45	0.56921	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc00597.1
GO:0005615	extracellular space	125	12	11.45	0.56921	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc30610.1
GO:0005615	extracellular space	125	12	11.45	0.56921	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc34321.1
GO:0005615	extracellular space	125	12	11.45	0.56921	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc27435.1
GO:0005615	extracellular space	125	12	11.45	0.56921	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc19708.1
GO:0005615	extracellular space	125	12	11.45	0.56921	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc13336.1
GO:0005615	extracellular space	125	12	11.45	0.56921	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc17193.1
GO:0005615	extracellular space	125	12	11.45	0.56921	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc18299.1
GO:0005615	extracellular space	125	12	11.45	0.56921	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc11656.1
GO:0005615	extracellular space	125	12	11.45	0.56921	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc16632.1
GO:0005615	extracellular space	125	12	11.45	0.56921	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc03229.1
GO:0005615	extracellular space	125	12	11.45	0.56921	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc16700.1
GO:0005622	intracellular	25291	2413	2315.77	0.01041	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc24145.1
GO:0005622	intracellular	25291	2413	2315.77	0.01041	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc19046.1
GO:0005622	intracellular	25291	2413	2315.77	0.01041	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc37246.1
GO:0005622	intracellular	25291	2413	2315.77	0.01041	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc18987.1
GO:0005622	intracellular	25291	2413	2315.77	0.01041	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc35804.1
GO:0005622	intracellular	25291	2413	2315.77	0.01041	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc23927.1
GO:0005622	intracellular	25291	2413	2315.77	0.01041	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc35991.1
GO:0005622	intracellular	25291	2413	2315.77	0.01041	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc18912.1
GO:0005622	intracellular	25291	2413	2315.77	0.01041	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc35808.1
GO:0005622	intracellular	25291	2413	2315.77	0.01041	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc36039.1
GO:0005622	intracellular	25291	2413	2315.77	0.01041	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc35834.1
GO:0005622	intracellular	25291	2413	2315.77	0.01041	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc19203.1
GO:0005622	intracellular	25291	2413	2315.77	0.01041	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc19205.1
GO:0005622	intracellular	25291	2413	2315.77	0.01041	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc36402.1
GO:0005622	intracellular	25291	2413	2315.77	0.01041	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc35821.1
GO:0005622	intracellular	25291	2413	2315.77	0.01041	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc35772.1
GO:0005622	intracellular	25291	2413	2315.77	0.01041	5topCC.G1.ND.NS-G1.D.NS.down.txt	Lc08708.1
