GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000139	Golgi membrane	516	1	1.56	0.79296	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc38785.1
GO:0000325	plant-type vacuole	392	1	1.18	0.69698	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc18596.1
GO:0000785	chromatin	264	2	0.8	1.00000	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc18773.1
GO:0000785	chromatin	264	2	0.8	1.00000	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc17713.1
GO:0000786	nucleosome	115	2	0.35	0.04751	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc17713.1
GO:0000786	nucleosome	115	2	0.35	0.04751	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc18773.1
GO:0005576	extracellular region	3535	13	10.68	0.59705	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc15669.1
GO:0005576	extracellular region	3535	13	10.68	0.59705	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc21909.1
GO:0005576	extracellular region	3535	13	10.68	0.59705	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc27435.1
GO:0005576	extracellular region	3535	13	10.68	0.59705	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc37284.1
GO:0005576	extracellular region	3535	13	10.68	0.59705	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc09786.1
GO:0005576	extracellular region	3535	13	10.68	0.59705	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc18596.1
GO:0005576	extracellular region	3535	13	10.68	0.59705	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc13915.1
GO:0005576	extracellular region	3535	13	10.68	0.59705	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc36030.1
GO:0005576	extracellular region	3535	13	10.68	0.59705	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc28228.1
GO:0005576	extracellular region	3535	13	10.68	0.59705	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc15668.1
GO:0005576	extracellular region	3535	13	10.68	0.59705	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc34796.1
GO:0005576	extracellular region	3535	13	10.68	0.59705	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc31183.1
GO:0005576	extracellular region	3535	13	10.68	0.59705	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc29813.1
GO:0005615	extracellular space	125	2	0.38	0.05511	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc27435.1
GO:0005615	extracellular space	125	2	0.38	0.05511	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc09786.1
GO:0005618	cell wall	1389	5	4.2	0.79243	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc13915.1
GO:0005618	cell wall	1389	5	4.2	0.79243	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc19871.1
GO:0005618	cell wall	1389	5	4.2	0.79243	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc15669.1
GO:0005618	cell wall	1389	5	4.2	0.79243	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc15668.1
GO:0005618	cell wall	1389	5	4.2	0.79243	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc37284.1
GO:0005622	intracellular	25291	80	76.43	0.47161	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc01058.1
GO:0005622	intracellular	25291	80	76.43	0.47161	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc30297.1
GO:0005622	intracellular	25291	80	76.43	0.47161	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc28433.1
GO:0005622	intracellular	25291	80	76.43	0.47161	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc31360.1
GO:0005622	intracellular	25291	80	76.43	0.47161	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc18440.1
GO:0005622	intracellular	25291	80	76.43	0.47161	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc09783.1
GO:0005622	intracellular	25291	80	76.43	0.47161	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc28979.1
GO:0005622	intracellular	25291	80	76.43	0.47161	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc31395.1
GO:0005622	intracellular	25291	80	76.43	0.47161	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc31999.1
GO:0005622	intracellular	25291	80	76.43	0.47161	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc05129.1
GO:0005622	intracellular	25291	80	76.43	0.47161	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc11088.1
GO:0005622	intracellular	25291	80	76.43	0.47161	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc15083.1
GO:0005622	intracellular	25291	80	76.43	0.47161	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc30445.1
GO:0005622	intracellular	25291	80	76.43	0.47161	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc28982.1
GO:0005622	intracellular	25291	80	76.43	0.47161	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc31923.1
GO:0005622	intracellular	25291	80	76.43	0.47161	5topCC.G1.ND.S-G1.ND.NS.both.txt	Lc28398.1
