GO.ID	Term	Annotated	Significant	Expected	p.value
GO:0033597	mitotic checkpoint complex	6	1	0.01	0.011
GO:0010319	stromule	92	2	0.17	0.012
GO:0000786	nucleosome	115	2	0.21	0.019
GO:0005666	RNA polymerase III complex	24	1	0.04	0.043
GO:0016459	myosin complex	34	1	0.06	0.060
GO:0009534	chloroplast thylakoid	823	4	1.5	0.063
GO:0016021	integral component of membrane	6855	17	12.47	0.101
GO:0009522	photosystem I	68	1	0.12	0.117
GO:0009523	photosystem II	91	1	0.17	0.153
GO:0005834	heterotrimeric G-protein complex	99	1	0.18	0.165
GO:0009570	chloroplast stroma	1253	4	2.28	0.193
GO:0005615	extracellular space	125	1	0.23	0.204
GO:0048046	apoplast	888	3	1.62	0.219
GO:0031977	thylakoid lumen	144	1	0.26	0.231
GO:0005759	mitochondrial matrix	166	1	0.3	0.262
GO:0005789	endoplasmic reticulum membrane	582	2	1.06	0.286
GO:0005737	cytoplasm	17484	36	31.81	0.344
GO:0005730	nucleolus	692	2	1.26	0.360
GO:0009506	plasmodesma	1686	4	3.07	0.368
GO:0005576	extracellular region	3535	9	6.43	0.393
GO:0031224	intrinsic component of membrane	7102	17	12.92	0.408
GO:0022625	cytosolic large ribosomal subunit	307	1	0.56	0.430
GO:0005886	plasma membrane	6041	12	10.99	0.496
GO:0044424	intracellular part	25254	48	45.95	0.511
GO:0000325	plant-type vacuole	392	1	0.71	0.513
GO:0005777	peroxisome	397	1	0.72	0.517
GO:0005829	cytosol	3633	7	6.61	0.525
GO:0055044	symplast	1686	4	3.07	0.533
GO:0005622	intracellular	25291	48	46.02	0.562
GO:0009532	plastid stroma	1286	4	2.34	0.578
GO:0000139	Golgi membrane	516	1	0.94	0.612
GO:0071944	cell periphery	7143	13	13	0.617
GO:0009505	plant-type cell wall	546	1	0.99	0.633
GO:0005774	vacuolar membrane	1266	2	2.3	0.677
GO:0009536	plastid	6095	12	11.09	0.701
GO:0044444	cytoplasmic part	14595	28	26.56	0.705
GO:0044437	vacuolar part	1272	2	2.31	0.716
GO:0016020	membrane	11769	25	21.41	0.724
GO:0031984	organelle subcompartment	2113	7	3.84	0.750
GO:0005911	cell-cell junction	1689	4	3.07	0.781
GO:0009507	chloroplast	6002	12	10.92	0.792
GO:0005634	nucleus	11883	20	21.62	0.841
GO:0005773	vacuole	2126	3	3.87	0.845
GO:0043229	intracellular organelle	22663	39	41.24	0.876
GO:0043226	organelle	22668	39	41.25	0.915
GO:0031090	organelle membrane	2911	3	5.3	0.923
GO:0005739	mitochondrion	3546	4	6.45	0.933
GO:0044464	cell part	28265	50	51.43	0.938
GO:0098588	bounding membrane of organelle	2152	3	3.92	0.939
GO:0043231	intracellular membrane-bounded organelle	22082	37	40.18	0.954
GO:0044422	organelle part	7774	16	14.15	0.955
GO:0043227	membrane-bounded organelle	22217	37	40.43	0.962
GO:0031981	nuclear lumen	1369	2	2.49	1.000
GO:0022626	cytosolic ribosome	627	1	1.14	1.000
GO:0055029	nuclear DNA-directed RNA polymerase comp...	96	1	0.17	1.000
GO:0005840	ribosome	836	1	1.52	1.000
GO:0030880	RNA polymerase complex	128	1	0.23	1.000
GO:0044391	ribosomal subunit	581	1	1.06	1.000
GO:0031974	membrane-enclosed lumen	1647	3	3	1.000
GO:0031975	envelope	1854	2	3.37	1.000
GO:0031976	plastid thylakoid	823	4	1.5	1.000
GO:0009535	chloroplast thylakoid membrane	663	2	1.21	1.000
GO:0005623	cell	28265	50	51.43	1.000
GO:0031234	extrinsic component of cytoplasmic side ...	101	1	0.18	1.000
GO:0005694	chromosome	553	2	1.01	1.000
GO:1990904	ribonucleoprotein complex	1155	1	2.1	1.000
GO:0044815	DNA packaging complex	123	2	0.22	1.000
GO:0044421	extracellular region part	162	1	0.29	1.000
GO:0061695	transferase complex, transferring phosph...	180	1	0.33	1.000
GO:0044425	membrane part	7765	18	14.13	1.000
GO:0005783	endoplasmic reticulum	1291	2	2.35	1.000
GO:0044427	chromosomal part	468	2	0.85	1.000
