GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000139	Golgi membrane	516	1	0.94	0.612	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc38785.1
GO:0000325	plant-type vacuole	392	1	0.71	0.513	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc18596.1
GO:0000428	DNA-directed RNA polymerase complex	128	1	0.23	1.000	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc18688.1
GO:0000786	nucleosome	115	2	0.21	0.019	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc18773.1
GO:0000786	nucleosome	115	2	0.21	0.019	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc17713.1
GO:0005576	extracellular region	3535	9	6.43	0.393	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc28228.1
GO:0005576	extracellular region	3535	9	6.43	0.393	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc21909.1
GO:0005576	extracellular region	3535	9	6.43	0.393	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc31183.1
GO:0005576	extracellular region	3535	9	6.43	0.393	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc34796.1
GO:0005576	extracellular region	3535	9	6.43	0.393	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc09786.1
GO:0005576	extracellular region	3535	9	6.43	0.393	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc36030.1
GO:0005576	extracellular region	3535	9	6.43	0.393	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc18596.1
GO:0005576	extracellular region	3535	9	6.43	0.393	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc15669.1
GO:0005576	extracellular region	3535	9	6.43	0.393	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc29813.1
GO:0005615	extracellular space	125	1	0.23	0.204	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc09786.1
GO:0005618	cell wall	1389	1	2.53	1.000	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc15669.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc35029.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc05129.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc01058.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc03922.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc17100.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc33091.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc31923.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc22390.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc37506.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc31999.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc37168.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc31395.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc31183.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc18332.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc25770.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc33092.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc05507.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc29911.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc28228.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc18688.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc30574.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc15658.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc16370.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc21909.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc28982.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc17293.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc17713.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc22743.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc20378.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc29813.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc38785.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc27125.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc16321.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc08810.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc11644.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc09783.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc30107.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc18440.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc18596.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc26737.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc37595.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc30445.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc19450.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc18773.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc06090.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc07954.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc28398.1
GO:0005622	intracellular	25291	48	46.02	0.562	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc05535.1
GO:0005623	cell	28265	50	51.43	1.000	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc33092.1
GO:0005623	cell	28265	50	51.43	1.000	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc07954.1
GO:0005623	cell	28265	50	51.43	1.000	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc33091.1
GO:0005623	cell	28265	50	51.43	1.000	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc37168.1
GO:0005623	cell	28265	50	51.43	1.000	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc28398.1
GO:0005623	cell	28265	50	51.43	1.000	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc06090.1
GO:0005623	cell	28265	50	51.43	1.000	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc31999.1
GO:0005623	cell	28265	50	51.43	1.000	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc01058.1
GO:0005623	cell	28265	50	51.43	1.000	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc29911.1
GO:0005623	cell	28265	50	51.43	1.000	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc31923.1
GO:0005623	cell	28265	50	51.43	1.000	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc17293.1
GO:0005623	cell	28265	50	51.43	1.000	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc28982.1
GO:0005623	cell	28265	50	51.43	1.000	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc08810.1
GO:0005623	cell	28265	50	51.43	1.000	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc28228.1
GO:0005623	cell	28265	50	51.43	1.000	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc30107.1
GO:0005623	cell	28265	50	51.43	1.000	5topCC.G1.ND.S-G1.ND.NS.down.txt	Lc30445.1
