GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000502	proteasome complex	87	1	0.1	1.0000	5topCC.G1.ND.S-G1.ND.NS.up.txt	Lc29143.1
GO:0000808	origin recognition complex	17	1	0.02	1.0000	5topCC.G1.ND.S-G1.ND.NS.up.txt	Lc08919.1
GO:0005576	extracellular region	3535	4	4.25	0.8884	5topCC.G1.ND.S-G1.ND.NS.up.txt	Lc37284.1
GO:0005576	extracellular region	3535	4	4.25	0.8884	5topCC.G1.ND.S-G1.ND.NS.up.txt	Lc15668.1
GO:0005576	extracellular region	3535	4	4.25	0.8884	5topCC.G1.ND.S-G1.ND.NS.up.txt	Lc13915.1
GO:0005576	extracellular region	3535	4	4.25	0.8884	5topCC.G1.ND.S-G1.ND.NS.up.txt	Lc27435.1
GO:0005615	extracellular space	125	1	0.15	0.1399	5topCC.G1.ND.S-G1.ND.NS.up.txt	Lc27435.1
GO:0005618	cell wall	1389	4	1.67	0.0841	5topCC.G1.ND.S-G1.ND.NS.up.txt	Lc19871.1
GO:0005618	cell wall	1389	4	1.67	0.0841	5topCC.G1.ND.S-G1.ND.NS.up.txt	Lc37284.1
GO:0005618	cell wall	1389	4	1.67	0.0841	5topCC.G1.ND.S-G1.ND.NS.up.txt	Lc13915.1
GO:0005618	cell wall	1389	4	1.67	0.0841	5topCC.G1.ND.S-G1.ND.NS.up.txt	Lc15668.1
GO:0005622	intracellular	25291	32	30.41	1.0000	5topCC.G1.ND.S-G1.ND.NS.up.txt	Lc17476.1
GO:0005622	intracellular	25291	32	30.41	1.0000	5topCC.G1.ND.S-G1.ND.NS.up.txt	Lc29766.1
GO:0005622	intracellular	25291	32	30.41	1.0000	5topCC.G1.ND.S-G1.ND.NS.up.txt	Lc17410.1
GO:0005622	intracellular	25291	32	30.41	1.0000	5topCC.G1.ND.S-G1.ND.NS.up.txt	Lc30297.1
GO:0005622	intracellular	25291	32	30.41	1.0000	5topCC.G1.ND.S-G1.ND.NS.up.txt	Lc15822.1
