GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000124	SAGA complex	6	1	0.63	0.48589	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc22728.1
GO:0000145	exocyst	44	5	4.62	0.49659	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc21193.1
GO:0000145	exocyst	44	5	4.62	0.49659	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc28342.1
GO:0000145	exocyst	44	5	4.62	0.49659	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc07521.1
GO:0000145	exocyst	44	5	4.62	0.49659	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc31583.1
GO:0000145	exocyst	44	5	4.62	0.49659	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc34593.1
GO:0000148	1,3-beta-D-glucan synthase complex	21	3	2.2	0.38123	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc18020.1
GO:0000148	1,3-beta-D-glucan synthase complex	21	3	2.2	0.38123	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc32569.1
GO:0000148	1,3-beta-D-glucan synthase complex	21	3	2.2	0.38123	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc06433.1
GO:0000177	cytoplasmic exosome (RNase complex)	7	1	0.73	0.53986	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc15833.1
GO:0000325	plant-type vacuole	392	60	41.14	0.00188	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc37001.1
GO:0000325	plant-type vacuole	392	60	41.14	0.00188	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc21039.1
GO:0000325	plant-type vacuole	392	60	41.14	0.00188	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc02208.1
GO:0000325	plant-type vacuole	392	60	41.14	0.00188	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc17551.1
GO:0000325	plant-type vacuole	392	60	41.14	0.00188	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc26167.1
GO:0000325	plant-type vacuole	392	60	41.14	0.00188	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc38834.1
GO:0000325	plant-type vacuole	392	60	41.14	0.00188	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc01341.1
GO:0000325	plant-type vacuole	392	60	41.14	0.00188	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc20477.1
GO:0000325	plant-type vacuole	392	60	41.14	0.00188	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc20253.1
GO:0000325	plant-type vacuole	392	60	41.14	0.00188	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc19847.1
GO:0000325	plant-type vacuole	392	60	41.14	0.00188	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc20374.1
GO:0000325	plant-type vacuole	392	60	41.14	0.00188	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc07688.1
GO:0000325	plant-type vacuole	392	60	41.14	0.00188	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc25882.1
GO:0000325	plant-type vacuole	392	60	41.14	0.00188	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc26782.1
GO:0000325	plant-type vacuole	392	60	41.14	0.00188	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc36451.1
GO:0000325	plant-type vacuole	392	60	41.14	0.00188	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc26316.1
GO:0000325	plant-type vacuole	392	60	41.14	0.00188	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc38158.1
GO:0000325	plant-type vacuole	392	60	41.14	0.00188	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc10886.1
GO:0000325	plant-type vacuole	392	60	41.14	0.00188	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc01938.1
GO:0000325	plant-type vacuole	392	60	41.14	0.00188	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc26866.1
GO:0000325	plant-type vacuole	392	60	41.14	0.00188	5topCC.G2.D.NS-G1.D.NS.both.txt	Lc02228.1
