GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000148	1,3-beta-D-glucan synthase complex	21	2	1	0.2653	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc06433.1
GO:0000148	1,3-beta-D-glucan synthase complex	21	2	1	0.2653	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc32569.1
GO:0000159	protein phosphatase type 2A complex	20	2	0.96	0.2473	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc00135.1
GO:0000159	protein phosphatase type 2A complex	20	2	0.96	0.2473	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc04096.1
GO:0000176	nuclear exosome (RNase complex)	12	1	0.57	0.4442	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc15833.1
GO:0000177	cytoplasmic exosome (RNase complex)	7	1	0.33	0.2901	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc15833.1
GO:0000325	plant-type vacuole	392	29	18.72	0.0137	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc28815.1
GO:0000325	plant-type vacuole	392	29	18.72	0.0137	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc26866.1
GO:0000325	plant-type vacuole	392	29	18.72	0.0137	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc26316.1
GO:0000325	plant-type vacuole	392	29	18.72	0.0137	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc26782.1
GO:0000325	plant-type vacuole	392	29	18.72	0.0137	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc27705.1
GO:0000325	plant-type vacuole	392	29	18.72	0.0137	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc14694.1
GO:0000325	plant-type vacuole	392	29	18.72	0.0137	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc02986.1
GO:0000325	plant-type vacuole	392	29	18.72	0.0137	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc17939.1
GO:0000325	plant-type vacuole	392	29	18.72	0.0137	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc25882.1
GO:0000325	plant-type vacuole	392	29	18.72	0.0137	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc14867.1
GO:0000325	plant-type vacuole	392	29	18.72	0.0137	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc25043.1
GO:0000325	plant-type vacuole	392	29	18.72	0.0137	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc17551.1
GO:0000325	plant-type vacuole	392	29	18.72	0.0137	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc20477.1
GO:0000325	plant-type vacuole	392	29	18.72	0.0137	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc26867.1
GO:0000325	plant-type vacuole	392	29	18.72	0.0137	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc26167.1
GO:0000325	plant-type vacuole	392	29	18.72	0.0137	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc04603.1
GO:0000325	plant-type vacuole	392	29	18.72	0.0137	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc16252.1
GO:0000325	plant-type vacuole	392	29	18.72	0.0137	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc10886.1
GO:0000325	plant-type vacuole	392	29	18.72	0.0137	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc36451.1
GO:0000325	plant-type vacuole	392	29	18.72	0.0137	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc19367.1
GO:0000325	plant-type vacuole	392	29	18.72	0.0137	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc36685.1
GO:0000325	plant-type vacuole	392	29	18.72	0.0137	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc08110.1
GO:0000325	plant-type vacuole	392	29	18.72	0.0137	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc13194.1
GO:0000325	plant-type vacuole	392	29	18.72	0.0137	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc06520.1
GO:0000325	plant-type vacuole	392	29	18.72	0.0137	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc02349.1
GO:0000325	plant-type vacuole	392	29	18.72	0.0137	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc05437.1
GO:0000325	plant-type vacuole	392	29	18.72	0.0137	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc07360.1
GO:0000325	plant-type vacuole	392	29	18.72	0.0137	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc07928.1
GO:0000325	plant-type vacuole	392	29	18.72	0.0137	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc07688.1
GO:0000347	THO complex	14	1	0.67	0.4961	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc33316.1
GO:0000418	RNA polymerase IV complex	18	1	0.86	0.5857	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc26528.1
GO:0000419	RNA polymerase V complex	28	3	1.34	0.1476	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc20389.1
GO:0000419	RNA polymerase V complex	28	3	1.34	0.1476	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc27497.1
GO:0000419	RNA polymerase V complex	28	3	1.34	0.1476	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc26528.1
GO:0000439	transcription factor TFIIH core complex	5	1	0.24	0.2171	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc27552.1
GO:0000778	condensed nuclear chromosome kinetochore	6	1	0.29	0.2545	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc11445.1
GO:0000785	chromatin	264	17	12.61	0.5967	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc24308.1
GO:0000785	chromatin	264	17	12.61	0.5967	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc33316.1
GO:0000785	chromatin	264	17	12.61	0.5967	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc35749.1
GO:0000785	chromatin	264	17	12.61	0.5967	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc04399.1
GO:0000785	chromatin	264	17	12.61	0.5967	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc17342.1
GO:0000785	chromatin	264	17	12.61	0.5967	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc18662.1
GO:0000785	chromatin	264	17	12.61	0.5967	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc16106.1
GO:0000785	chromatin	264	17	12.61	0.5967	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc29424.1
GO:0000785	chromatin	264	17	12.61	0.5967	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc00039.1
GO:0000785	chromatin	264	17	12.61	0.5967	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc00813.1
GO:0000785	chromatin	264	17	12.61	0.5967	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc01252.1
GO:0000785	chromatin	264	17	12.61	0.5967	5topCC.G2.D.NS-G1.D.NS.down.txt	Lc01675.1
