GO.ID	Term	Annotated	Significant	Expected	p.value
GO:0005576	extracellular region	3535	284	202.16	2.2e-09
GO:0009530	primary cell wall	5	3	0.29	0.0017
GO:0044815	DNA packaging complex	123	15	7.03	0.0045
GO:0030312	external encapsulating structure	1389	107	79.43	0.0052
GO:0033185	dolichol-phosphate-mannose synthase comp...	9	3	0.51	0.0121
GO:0042575	DNA polymerase complex	9	3	0.51	0.0121
GO:0030126	COPI vesicle coat	17	4	0.97	0.0139
GO:0030139	endocytic vesicle	27	5	1.54	0.0171
GO:0009705	plant-type vacuole membrane	250	23	14.3	0.0171
GO:0042807	central vacuole	11	3	0.63	0.0218
GO:0031304	intrinsic component of mitochondrial inn...	39	6	2.23	0.0224
GO:0009537	proplastid	5	2	0.29	0.0291
GO:0005655	nucleolar ribonuclease P complex	21	4	1.2	0.0292
GO:0010369	chromocenter	22	4	1.26	0.0341
GO:0031359	integral component of chloroplast outer ...	13	3	0.74	0.0347
GO:0009513	etioplast	14	4	0.8	0.0420
GO:0043680	filiform apparatus	14	3	0.8	0.0423
GO:0005720	nuclear heterochromatin	14	3	0.8	0.0423
GO:0005744	TIM23 mitochondrial import inner membran...	34	5	1.94	0.0425
GO:0016593	Cdc73/Paf1 complex	7	2	0.4	0.0566
GO:0005761	mitochondrial ribosome	26	4	1.49	0.0584
GO:0044613	nuclear pore central transport channel	8	2	0.46	0.0727
GO:0005811	lipid droplet	28	4	1.6	0.0731
GO:0034426	etioplast membrane	9	2	0.51	0.0900
GO:0005871	kinesin complex	55	6	3.15	0.0930
GO:0016442	RISC complex	20	3	1.14	0.1031
GO:0031224	intrinsic component of membrane	7102	431	406.15	0.1083
GO:0019897	extrinsic component of plasma membrane	132	11	7.55	0.1293
GO:0043601	nuclear replisome	12	2	0.69	0.1476
GO:0005788	endoplasmic reticulum lumen	77	7	4.4	0.1506
GO:0005911	cell-cell junction	1689	106	96.59	0.1681
GO:0070062	extracellular exosome	25	3	1.43	0.1694
GO:0000347	THO complex	14	2	0.8	0.1891
GO:0009501	amyloplast	14	2	0.8	0.1891
GO:0005775	vacuolar lumen	14	2	0.8	0.1891
GO:0005719	nuclear euchromatin	14	2	0.8	0.1891
GO:0009986	cell surface	40	4	2.29	0.1936
