GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000124	SAGA complex	6	1	0.34	0.2977	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc22728.1
GO:0000139	Golgi membrane	516	29	29.51	0.5660	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc20374.1
GO:0000139	Golgi membrane	516	29	29.51	0.5660	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc07591.1
GO:0000139	Golgi membrane	516	29	29.51	0.5660	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc08659.1
GO:0000139	Golgi membrane	516	29	29.51	0.5660	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc09975.1
GO:0000139	Golgi membrane	516	29	29.51	0.5660	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc10430.1
GO:0000139	Golgi membrane	516	29	29.51	0.5660	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc12528.1
GO:0000139	Golgi membrane	516	29	29.51	0.5660	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc13210.1
GO:0000139	Golgi membrane	516	29	29.51	0.5660	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc13211.1
GO:0000139	Golgi membrane	516	29	29.51	0.5660	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc15900.1
GO:0000139	Golgi membrane	516	29	29.51	0.5660	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc15940.1
GO:0000139	Golgi membrane	516	29	29.51	0.5660	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc17509.1
GO:0000139	Golgi membrane	516	29	29.51	0.5660	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc38785.1
GO:0000139	Golgi membrane	516	29	29.51	0.5660	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc21721.1
GO:0000139	Golgi membrane	516	29	29.51	0.5660	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc24335.1
GO:0000139	Golgi membrane	516	29	29.51	0.5660	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc25194.1
GO:0000139	Golgi membrane	516	29	29.51	0.5660	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc26115.1
GO:0000139	Golgi membrane	516	29	29.51	0.5660	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc26478.1
GO:0000139	Golgi membrane	516	29	29.51	0.5660	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc28347.1
GO:0000139	Golgi membrane	516	29	29.51	0.5660	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc29171.1
GO:0000139	Golgi membrane	516	29	29.51	0.5660	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc31932.1
GO:0000139	Golgi membrane	516	29	29.51	0.5660	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc33857.1
GO:0000139	Golgi membrane	516	29	29.51	0.5660	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc35066.1
GO:0000139	Golgi membrane	516	29	29.51	0.5660	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc36029.1
GO:0000139	Golgi membrane	516	29	29.51	0.5660	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc36642.1
GO:0000139	Golgi membrane	516	29	29.51	0.5660	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc00295.1
GO:0000139	Golgi membrane	516	29	29.51	0.5660	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc00428.1
GO:0000139	Golgi membrane	516	29	29.51	0.5660	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc00497.1
GO:0000139	Golgi membrane	516	29	29.51	0.5660	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc00972.1
GO:0000139	Golgi membrane	516	29	29.51	0.5660	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc06326.1
GO:0000145	exocyst	44	3	2.52	0.4643	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc31583.1
GO:0000145	exocyst	44	3	2.52	0.4643	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc21193.1
GO:0000145	exocyst	44	3	2.52	0.4643	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc28342.1
GO:0000164	protein phosphatase type 1 complex	10	1	0.57	0.4451	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc30965.1
GO:0000325	plant-type vacuole	392	31	22.42	0.4603	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc29279.1
GO:0000325	plant-type vacuole	392	31	22.42	0.4603	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc08655.1
GO:0000325	plant-type vacuole	392	31	22.42	0.4603	5topCC.G2.D.NS-G1.D.NS.up.txt	Lc22115.1
