GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000145	exocyst	44	12	10.34	0.3300	5topCC.G2.D.S-G1.D.S.both.txt	Lc22504.1
GO:0000145	exocyst	44	12	10.34	0.3300	5topCC.G2.D.S-G1.D.S.both.txt	Lc21192.1
GO:0000145	exocyst	44	12	10.34	0.3300	5topCC.G2.D.S-G1.D.S.both.txt	Lc31583.1
GO:0000145	exocyst	44	12	10.34	0.3300	5topCC.G2.D.S-G1.D.S.both.txt	Lc21335.1
GO:0000145	exocyst	44	12	10.34	0.3300	5topCC.G2.D.S-G1.D.S.both.txt	Lc30610.1
GO:0000145	exocyst	44	12	10.34	0.3300	5topCC.G2.D.S-G1.D.S.both.txt	Lc21074.1
GO:0000145	exocyst	44	12	10.34	0.3300	5topCC.G2.D.S-G1.D.S.both.txt	Lc07521.1
GO:0000145	exocyst	44	12	10.34	0.3300	5topCC.G2.D.S-G1.D.S.both.txt	Lc31369.1
GO:0000145	exocyst	44	12	10.34	0.3300	5topCC.G2.D.S-G1.D.S.both.txt	Lc21076.1
GO:0000145	exocyst	44	12	10.34	0.3300	5topCC.G2.D.S-G1.D.S.both.txt	Lc21193.1
GO:0000145	exocyst	44	12	10.34	0.3300	5topCC.G2.D.S-G1.D.S.both.txt	Lc28342.1
GO:0000145	exocyst	44	12	10.34	0.3300	5topCC.G2.D.S-G1.D.S.both.txt	Lc17774.1
GO:0000176	nuclear exosome (RNase complex)	12	4	2.82	0.3050	5topCC.G2.D.S-G1.D.S.both.txt	Lc27471.1
GO:0000176	nuclear exosome (RNase complex)	12	4	2.82	0.3050	5topCC.G2.D.S-G1.D.S.both.txt	Lc28602.1
GO:0000176	nuclear exosome (RNase complex)	12	4	2.82	0.3050	5topCC.G2.D.S-G1.D.S.both.txt	Lc08885.1
GO:0000176	nuclear exosome (RNase complex)	12	4	2.82	0.3050	5topCC.G2.D.S-G1.D.S.both.txt	Lc15833.1
GO:0000177	cytoplasmic exosome (RNase complex)	7	3	1.64	0.2129	5topCC.G2.D.S-G1.D.S.both.txt	Lc28602.1
GO:0000177	cytoplasmic exosome (RNase complex)	7	3	1.64	0.2129	5topCC.G2.D.S-G1.D.S.both.txt	Lc15833.1
GO:0000177	cytoplasmic exosome (RNase complex)	7	3	1.64	0.2129	5topCC.G2.D.S-G1.D.S.both.txt	Lc08885.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc18397.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc18596.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc08655.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc09867.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc09887.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc10757.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc10886.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc11217.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc17939.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc28815.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc28965.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc28971.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc29279.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc30091.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc30105.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc30403.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc30698.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc30952.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc32327.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc32858.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc33243.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc33807.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc33887.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc33992.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc36483.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc37347.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc37848.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc38158.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc38834.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc20417.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc20477.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc21039.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc21390.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc21827.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc21934.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc22115.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc22275.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc22752.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc23226.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc25043.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc25882.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc26316.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc26438.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc26782.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc26866.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc27308.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc27705.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc28127.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc28364.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc00147.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc01292.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc01341.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc01383.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc01938.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc02228.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc02235.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc02301.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc02349.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc02532.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc02533.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc02986.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc03284.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc03482.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc03651.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc03873.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc04338.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc04603.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc04761.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc05698.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc05701.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc05702.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc06112.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc06323.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc06520.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc06555.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc07360.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc07688.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc08110.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc08137.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc13194.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc13711.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc13844.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc14252.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc14694.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc14722.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc11586.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc11762.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc11837.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc11838.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc12640.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc12849.1
GO:0000325	plant-type vacuole	392	101	92.08	0.4832	5topCC.G2.D.S-G1.D.S.both.txt	Lc13137.1
