GO.ID	Term	Annotated	Significant	Expected	p.value
GO:0009534	chloroplast thylakoid	823	172	88.38	3.8e-16
GO:0009521	photosystem	129	45	13.85	2.4e-13
GO:0016021	integral component of membrane	6855	902	736.15	4.8e-13
GO:0042170	plastid membrane	411	87	44.14	1.6e-10
GO:0010287	plastoglobule	135	38	14.5	1.7e-08
GO:0010598	NAD(P)H dehydrogenase complex (plastoqui...	18	8	1.93	0.00028
GO:0099513	polymeric cytoskeletal fiber	262	47	28.14	0.00068
GO:0005875	microtubule associated complex	93	21	9.99	0.00073
GO:0005785	signal recognition particle receptor com...	12	6	1.29	0.00079
GO:0009507	chloroplast	6002	811	644.55	0.00101
GO:0009573	chloroplast ribulose bisphosphate carbox...	7	4	0.75	0.00355
GO:0005886	plasma membrane	6041	737	648.74	0.00364
GO:0005786	signal recognition particle, endoplasmic...	21	7	2.26	0.00488
GO:0031224	intrinsic component of membrane	7102	941	762.68	0.00519
GO:0009526	plastid envelope	1146	187	123.07	0.00551
GO:0000779	condensed chromosome, centromeric region	27	8	2.9	0.00597
GO:0010369	chromocenter	22	7	2.36	0.00650
GO:0000796	condensin complex	8	4	0.86	0.00651
GO:0009524	phragmoplast	166	28	17.83	0.01061
GO:0031209	SCAR complex	9	4	0.97	0.01072
GO:0005720	nuclear heterochromatin	14	5	1.5	0.01241
GO:0009570	chloroplast stroma	1253	183	134.56	0.01565
GO:0009579	thylakoid	952	194	102.23	0.01944
GO:0042807	central vacuole	11	4	1.18	0.02357
GO:0010007	magnesium chelatase complex	7	3	0.75	0.03106
GO:0009705	plant-type vacuole membrane	250	36	26.85	0.04214
GO:0043036	starch grain	8	3	0.86	0.04579
GO:0090568	nuclear transcriptional repressor comple...	32	7	3.44	0.04979
GO:0048046	apoplast	888	109	95.36	0.07614
GO:0009517	PSII associated light-harvesting complex...	5	2	0.54	0.09248
GO:0005828	kinetochore microtubule	5	2	0.54	0.09248
GO:0008287	protein serine/threonine phosphatase com...	37	7	3.97	0.09576
GO:1902554	serine/threonine protein kinase complex	30	6	3.22	0.09589
GO:0030076	light-harvesting complex	43	9	4.62	0.10688
GO:0005834	heterotrimeric G-protein complex	99	15	10.63	0.10758
GO:0005819	spindle	113	18	12.13	0.11461
GO:0009330	DNA topoisomerase complex (ATP-hydrolyzi...	6	2	0.64	0.12908
GO:0033597	mitotic checkpoint complex	6	2	0.64	0.12908
