GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000178	exosome (RNase complex)	18	3	1.93	0.30382	5topCC.G2.D.S-G1.D.S.down.txt	Lc15833.1
GO:0000178	exosome (RNase complex)	18	3	1.93	0.30382	5topCC.G2.D.S-G1.D.S.down.txt	Lc27471.1
GO:0000178	exosome (RNase complex)	18	3	1.93	0.30382	5topCC.G2.D.S-G1.D.S.down.txt	Lc21369.1
GO:0000322	storage vacuole	29	4	3.11	0.54849	5topCC.G2.D.S-G1.D.S.down.txt	Lc30952.1
GO:0000322	storage vacuole	29	4	3.11	0.54849	5topCC.G2.D.S-G1.D.S.down.txt	Lc28127.1
GO:0000322	storage vacuole	29	4	3.11	0.54849	5topCC.G2.D.S-G1.D.S.down.txt	Lc38158.1
GO:0000322	storage vacuole	29	4	3.11	0.54849	5topCC.G2.D.S-G1.D.S.down.txt	Lc21934.1
GO:0000325	plant-type vacuole	392	55	42.1	0.17367	5topCC.G2.D.S-G1.D.S.down.txt	Lc14694.1
GO:0000325	plant-type vacuole	392	55	42.1	0.17367	5topCC.G2.D.S-G1.D.S.down.txt	Lc30952.1
GO:0000325	plant-type vacuole	392	55	42.1	0.17367	5topCC.G2.D.S-G1.D.S.down.txt	Lc22275.1
GO:0000325	plant-type vacuole	392	55	42.1	0.17367	5topCC.G2.D.S-G1.D.S.down.txt	Lc09887.1
GO:0000325	plant-type vacuole	392	55	42.1	0.17367	5topCC.G2.D.S-G1.D.S.down.txt	Lc13194.1
GO:0000325	plant-type vacuole	392	55	42.1	0.17367	5topCC.G2.D.S-G1.D.S.down.txt	Lc11762.1
GO:0000325	plant-type vacuole	392	55	42.1	0.17367	5topCC.G2.D.S-G1.D.S.down.txt	Lc20477.1
GO:0000325	plant-type vacuole	392	55	42.1	0.17367	5topCC.G2.D.S-G1.D.S.down.txt	Lc30105.1
GO:0000325	plant-type vacuole	392	55	42.1	0.17367	5topCC.G2.D.S-G1.D.S.down.txt	Lc21934.1
GO:0000325	plant-type vacuole	392	55	42.1	0.17367	5topCC.G2.D.S-G1.D.S.down.txt	Lc07688.1
GO:0000325	plant-type vacuole	392	55	42.1	0.17367	5topCC.G2.D.S-G1.D.S.down.txt	Lc12849.1
GO:0000325	plant-type vacuole	392	55	42.1	0.17367	5topCC.G2.D.S-G1.D.S.down.txt	Lc11217.1
GO:0000325	plant-type vacuole	392	55	42.1	0.17367	5topCC.G2.D.S-G1.D.S.down.txt	Lc06112.1
GO:0000325	plant-type vacuole	392	55	42.1	0.17367	5topCC.G2.D.S-G1.D.S.down.txt	Lc28815.1
GO:0000325	plant-type vacuole	392	55	42.1	0.17367	5topCC.G2.D.S-G1.D.S.down.txt	Lc20374.1
GO:0000325	plant-type vacuole	392	55	42.1	0.17367	5topCC.G2.D.S-G1.D.S.down.txt	Lc07360.1
GO:0000325	plant-type vacuole	392	55	42.1	0.17367	5topCC.G2.D.S-G1.D.S.down.txt	Lc18397.1
GO:0000325	plant-type vacuole	392	55	42.1	0.17367	5topCC.G2.D.S-G1.D.S.down.txt	Lc08110.1
GO:0000325	plant-type vacuole	392	55	42.1	0.17367	5topCC.G2.D.S-G1.D.S.down.txt	Lc06520.1
GO:0000325	plant-type vacuole	392	55	42.1	0.17367	5topCC.G2.D.S-G1.D.S.down.txt	Lc28127.1
GO:0000325	plant-type vacuole	392	55	42.1	0.17367	5topCC.G2.D.S-G1.D.S.down.txt	Lc27705.1
GO:0000325	plant-type vacuole	392	55	42.1	0.17367	5topCC.G2.D.S-G1.D.S.down.txt	Lc20417.1
GO:0000325	plant-type vacuole	392	55	42.1	0.17367	5topCC.G2.D.S-G1.D.S.down.txt	Lc26438.1
GO:0000325	plant-type vacuole	392	55	42.1	0.17367	5topCC.G2.D.S-G1.D.S.down.txt	Lc22115.1
GO:0000325	plant-type vacuole	392	55	42.1	0.17367	5topCC.G2.D.S-G1.D.S.down.txt	Lc10886.1
GO:0000325	plant-type vacuole	392	55	42.1	0.17367	5topCC.G2.D.S-G1.D.S.down.txt	Lc05702.1
