GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000145	exocyst	44	7	7.11	0.58069	5topCC.G2.D.S-G2.D.NS.both.txt	Lc22906.1
GO:0000145	exocyst	44	7	7.11	0.58069	5topCC.G2.D.S-G2.D.NS.both.txt	Lc21074.1
GO:0000145	exocyst	44	7	7.11	0.58069	5topCC.G2.D.S-G2.D.NS.both.txt	Lc20093.1
GO:0000145	exocyst	44	7	7.11	0.58069	5topCC.G2.D.S-G2.D.NS.both.txt	Lc21193.1
GO:0000145	exocyst	44	7	7.11	0.58069	5topCC.G2.D.S-G2.D.NS.both.txt	Lc22504.1
GO:0000145	exocyst	44	7	7.11	0.58069	5topCC.G2.D.S-G2.D.NS.both.txt	Lc21076.1
GO:0000145	exocyst	44	7	7.11	0.58069	5topCC.G2.D.S-G2.D.NS.both.txt	Lc28342.1
GO:0000159	protein phosphatase type 2A complex	20	3	3.23	0.64892	5topCC.G2.D.S-G2.D.NS.both.txt	Lc19429.1
GO:0000159	protein phosphatase type 2A complex	20	3	3.23	0.64892	5topCC.G2.D.S-G2.D.NS.both.txt	Lc00501.1
GO:0000159	protein phosphatase type 2A complex	20	3	3.23	0.64892	5topCC.G2.D.S-G2.D.NS.both.txt	Lc35220.1
GO:0000229	cytoplasmic chromosome	24	4	3.88	0.70865	5topCC.G2.D.S-G2.D.NS.both.txt	Lc11558.1
GO:0000229	cytoplasmic chromosome	24	4	3.88	0.70865	5topCC.G2.D.S-G2.D.NS.both.txt	Lc19480.1
GO:0000229	cytoplasmic chromosome	24	4	3.88	0.70865	5topCC.G2.D.S-G2.D.NS.both.txt	Lc26233.1
GO:0000229	cytoplasmic chromosome	24	4	3.88	0.70865	5topCC.G2.D.S-G2.D.NS.both.txt	Lc10188.1
GO:0000311	plastid large ribosomal subunit	20	4	3.23	0.40843	5topCC.G2.D.S-G2.D.NS.both.txt	Lc03266.1
GO:0000311	plastid large ribosomal subunit	20	4	3.23	0.40843	5topCC.G2.D.S-G2.D.NS.both.txt	Lc07692.1
GO:0000311	plastid large ribosomal subunit	20	4	3.23	0.40843	5topCC.G2.D.S-G2.D.NS.both.txt	Lc05877.1
GO:0000311	plastid large ribosomal subunit	20	4	3.23	0.40843	5topCC.G2.D.S-G2.D.NS.both.txt	Lc28689.1
GO:0000325	plant-type vacuole	392	85	63.32	0.62442	5topCC.G2.D.S-G2.D.NS.both.txt	Lc16644.1
GO:0000325	plant-type vacuole	392	85	63.32	0.62442	5topCC.G2.D.S-G2.D.NS.both.txt	Lc16499.1
GO:0000325	plant-type vacuole	392	85	63.32	0.62442	5topCC.G2.D.S-G2.D.NS.both.txt	Lc18596.1
GO:0000325	plant-type vacuole	392	85	63.32	0.62442	5topCC.G2.D.S-G2.D.NS.both.txt	Lc33887.1
