GO.ID	Term	Annotated	Significant	Expected	p.value
GO:0044434	chloroplast part	2303	343	163.88	< 1e-30
GO:0009521	photosystem	129	34	9.18	1.5e-11
GO:0009579	thylakoid	952	191	67.74	1.3e-07
GO:0010319	stromule	92	18	6.55	7.5e-05
GO:0005622	intracellular	25291	1899	1799.69	0.00036
GO:0031977	thylakoid lumen	144	40	10.25	0.00054
GO:0000326	protein storage vacuole	29	8	2.06	0.00072
GO:0009528	plastid inner membrane	140	20	9.96	0.00220
GO:0031304	intrinsic component of mitochondrial inn...	39	8	2.78	0.00546
GO:0009509	chromoplast	12	4	0.85	0.00796
GO:0043231	intracellular membrane-bounded organelle	22082	1678	1571.34	0.01594
GO:0000315	organellar large ribosomal subunit	25	5	1.78	0.02916
GO:0009705	plant-type vacuole membrane	250	28	17.79	0.04211
GO:0009295	nucleoid	96	13	6.83	0.05921
GO:0031359	integral component of chloroplast outer ...	13	3	0.93	0.06010
GO:0032580	Golgi cisterna membrane	43	6	3.06	0.08235
GO:1990316	Atg1/ULK1 kinase complex	7	2	0.5	0.08364
GO:0036513	Derlin-1 retrotranslocation complex	7	2	0.5	0.08364
GO:0009508	plastid chromosome	24	4	1.71	0.08696
GO:0005744	TIM23 mitochondrial import inner membran...	34	5	2.42	0.09068
GO:0019005	SCF ubiquitin ligase complex	55	7	3.91	0.09395
GO:0009507	chloroplast	6002	601	427.1	0.10529
GO:0005759	mitochondrial matrix	166	18	11.81	0.11871
GO:0034426	etioplast membrane	9	2	0.64	0.13056
GO:0031350	intrinsic component of plastid membrane	15	4	1.07	0.13713
GO:0034045	phagophore assembly site membrane	19	3	1.35	0.14907
GO:0048046	apoplast	888	71	63.19	0.16607
GO:0042807	central vacuole	11	2	0.78	0.18187
GO:0031519	PcG protein complex	11	2	0.78	0.18187
GO:0043227	membrane-bounded organelle	22217	1681	1580.95	0.18467
GO:0046930	pore complex	21	3	1.49	0.18477
GO:0016602	CCAAT-binding factor complex	12	2	0.85	0.20850
GO:0009898	cytoplasmic side of plasma membrane	118	11	8.4	0.21844
