GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000124	SAGA complex	6	1	0.46	0.37742	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc22728.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc01938.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc30698.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc04761.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc05698.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc08110.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc02228.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc33807.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc04603.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc04006.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc37001.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc02532.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc13844.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc05701.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc03284.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc26438.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc34845.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc01383.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc06555.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc36451.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc08655.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc02986.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc30952.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc02349.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc13711.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc21039.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc14694.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc27705.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc06520.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc32858.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc07687.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc07360.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc29279.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc17551.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc16644.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc29506.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc11217.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc23226.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc11586.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc20374.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc19365.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc18596.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc33243.1
GO:0000325	plant-type vacuole	392	46	29.77	0.00222	5topCC.G2.ND.NS-G1.ND.NS.both.txt	Lc32327.1
