GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000145	exocyst	44	1	1	0.63636	5topCC.G2.ND.NS-G1.ND.NS.down.txt	Lc07521.1
GO:0000148	1,3-beta-D-glucan synthase complex	21	1	0.48	0.38284	5topCC.G2.ND.NS-G1.ND.NS.down.txt	Lc06433.1
GO:0000323	lytic vacuole	84	3	1.91	0.29806	5topCC.G2.ND.NS-G1.ND.NS.down.txt	Lc28181.1
GO:0000323	lytic vacuole	84	3	1.91	0.29806	5topCC.G2.ND.NS-G1.ND.NS.down.txt	Lc11586.1
GO:0000323	lytic vacuole	84	3	1.91	0.29806	5topCC.G2.ND.NS-G1.ND.NS.down.txt	Lc19777.1
GO:0000325	plant-type vacuole	392	17	8.9	0.00886	5topCC.G2.ND.NS-G1.ND.NS.down.txt	Lc07360.1
GO:0000325	plant-type vacuole	392	17	8.9	0.00886	5topCC.G2.ND.NS-G1.ND.NS.down.txt	Lc08110.1
GO:0000325	plant-type vacuole	392	17	8.9	0.00886	5topCC.G2.ND.NS-G1.ND.NS.down.txt	Lc14694.1
GO:0000325	plant-type vacuole	392	17	8.9	0.00886	5topCC.G2.ND.NS-G1.ND.NS.down.txt	Lc31476.1
GO:0000325	plant-type vacuole	392	17	8.9	0.00886	5topCC.G2.ND.NS-G1.ND.NS.down.txt	Lc07687.1
GO:0000325	plant-type vacuole	392	17	8.9	0.00886	5topCC.G2.ND.NS-G1.ND.NS.down.txt	Lc04603.1
GO:0000325	plant-type vacuole	392	17	8.9	0.00886	5topCC.G2.ND.NS-G1.ND.NS.down.txt	Lc17939.1
GO:0000325	plant-type vacuole	392	17	8.9	0.00886	5topCC.G2.ND.NS-G1.ND.NS.down.txt	Lc06520.1
GO:0000325	plant-type vacuole	392	17	8.9	0.00886	5topCC.G2.ND.NS-G1.ND.NS.down.txt	Lc02349.1
GO:0000325	plant-type vacuole	392	17	8.9	0.00886	5topCC.G2.ND.NS-G1.ND.NS.down.txt	Lc11586.1
GO:0000325	plant-type vacuole	392	17	8.9	0.00886	5topCC.G2.ND.NS-G1.ND.NS.down.txt	Lc30952.1
GO:0000325	plant-type vacuole	392	17	8.9	0.00886	5topCC.G2.ND.NS-G1.ND.NS.down.txt	Lc18596.1
GO:0000325	plant-type vacuole	392	17	8.9	0.00886	5topCC.G2.ND.NS-G1.ND.NS.down.txt	Lc02986.1
GO:0000325	plant-type vacuole	392	17	8.9	0.00886	5topCC.G2.ND.NS-G1.ND.NS.down.txt	Lc05701.1
GO:0000325	plant-type vacuole	392	17	8.9	0.00886	5topCC.G2.ND.NS-G1.ND.NS.down.txt	Lc36451.1
GO:0000325	plant-type vacuole	392	17	8.9	0.00886	5topCC.G2.ND.NS-G1.ND.NS.down.txt	Lc32327.1
GO:0000325	plant-type vacuole	392	17	8.9	0.00886	5topCC.G2.ND.NS-G1.ND.NS.down.txt	Lc17551.1
GO:0000347	THO complex	14	1	0.32	0.27509	5topCC.G2.ND.NS-G1.ND.NS.down.txt	Lc33316.1
GO:0000785	chromatin	264	8	6	0.64519	5topCC.G2.ND.NS-G1.ND.NS.down.txt	Lc16993.1
GO:0000785	chromatin	264	8	6	0.64519	5topCC.G2.ND.NS-G1.ND.NS.down.txt	Lc33316.1
GO:0000785	chromatin	264	8	6	0.64519	5topCC.G2.ND.NS-G1.ND.NS.down.txt	Lc01676.1
GO:0000785	chromatin	264	8	6	0.64519	5topCC.G2.ND.NS-G1.ND.NS.down.txt	Lc24308.1
