GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000124	SAGA complex	6	1	0.32	0.27977	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc22728.1
GO:0000325	plant-type vacuole	392	29	20.86	0.04700	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc21039.1
GO:0000325	plant-type vacuole	392	29	20.86	0.04700	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc04761.1
GO:0000325	plant-type vacuole	392	29	20.86	0.04700	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc19365.1
GO:0000325	plant-type vacuole	392	29	20.86	0.04700	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc16644.1
GO:0000325	plant-type vacuole	392	29	20.86	0.04700	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc05698.1
GO:0000325	plant-type vacuole	392	29	20.86	0.04700	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc08655.1
GO:0000325	plant-type vacuole	392	29	20.86	0.04700	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc02532.1
GO:0000325	plant-type vacuole	392	29	20.86	0.04700	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc06555.1
GO:0000325	plant-type vacuole	392	29	20.86	0.04700	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc11217.1
GO:0000325	plant-type vacuole	392	29	20.86	0.04700	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc20374.1
GO:0000325	plant-type vacuole	392	29	20.86	0.04700	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc23226.1
GO:0000325	plant-type vacuole	392	29	20.86	0.04700	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc03284.1
GO:0000325	plant-type vacuole	392	29	20.86	0.04700	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc01938.1
GO:0000325	plant-type vacuole	392	29	20.86	0.04700	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc13711.1
GO:0000325	plant-type vacuole	392	29	20.86	0.04700	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc33807.1
GO:0000325	plant-type vacuole	392	29	20.86	0.04700	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc32858.1
GO:0000325	plant-type vacuole	392	29	20.86	0.04700	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc26438.1
GO:0000325	plant-type vacuole	392	29	20.86	0.04700	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc04006.1
GO:0000325	plant-type vacuole	392	29	20.86	0.04700	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc37001.1
GO:0000325	plant-type vacuole	392	29	20.86	0.04700	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc02228.1
GO:0000325	plant-type vacuole	392	29	20.86	0.04700	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc30698.1
GO:0000325	plant-type vacuole	392	29	20.86	0.04700	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc34845.1
GO:0000325	plant-type vacuole	392	29	20.86	0.04700	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc21390.1
GO:0000325	plant-type vacuole	392	29	20.86	0.04700	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc27705.1
GO:0000325	plant-type vacuole	392	29	20.86	0.04700	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc29506.1
GO:0000325	plant-type vacuole	392	29	20.86	0.04700	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc01383.1
GO:0000325	plant-type vacuole	392	29	20.86	0.04700	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc29279.1
GO:0000325	plant-type vacuole	392	29	20.86	0.04700	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc33243.1
GO:0000325	plant-type vacuole	392	29	20.86	0.04700	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc13844.1
GO:0000407	phagophore assembly site	33	2	1.76	0.53045	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc35436.1
GO:0000407	phagophore assembly site	33	2	1.76	0.53045	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc28381.1
GO:0000418	RNA polymerase IV complex	18	1	0.96	0.62646	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc37212.1
GO:0000419	RNA polymerase V complex	28	2	1.49	0.44347	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc37212.1
GO:0000419	RNA polymerase V complex	28	2	1.49	0.44347	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc13495.1
GO:0000777	condensed chromosome kinetochore	23	3	1.22	0.12091	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc28614.1
GO:0000777	condensed chromosome kinetochore	23	3	1.22	0.12091	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc07319.1
GO:0000777	condensed chromosome kinetochore	23	3	1.22	0.12091	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc21811.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc01156.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc01719.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc26747.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc11786.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc32106.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc10501.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc33434.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc24648.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc10803.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc04688.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc33369.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc01983.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc28769.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc27086.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc32859.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc01752.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc26952.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc11344.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc33190.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc24384.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc03186.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc24656.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc33481.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc32035.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc29073.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc01941.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc34858.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc12392.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc18634.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc18679.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc10502.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc33237.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc24353.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc09372.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc17528.1
GO:0005576	extracellular region	3535	203	188.14	0.14386	5topCC.G2.ND.NS-G1.ND.NS.up.txt	Lc28707.1
