GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000152	nuclear ubiquitin ligase complex	28	6	3.52	0.35663	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc08182.1
GO:0000152	nuclear ubiquitin ligase complex	28	6	3.52	0.35663	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc36558.1
GO:0000152	nuclear ubiquitin ligase complex	28	6	3.52	0.35663	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc05570.1
GO:0000152	nuclear ubiquitin ligase complex	28	6	3.52	0.35663	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc33217.1
GO:0000152	nuclear ubiquitin ligase complex	28	6	3.52	0.35663	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc18828.1
GO:0000152	nuclear ubiquitin ligase complex	28	6	3.52	0.35663	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc33743.1
GO:0000176	nuclear exosome (RNase complex)	12	2	1.51	0.45670	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc27471.1
GO:0000176	nuclear exosome (RNase complex)	12	2	1.51	0.45670	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc15833.1
GO:0000307	cyclin-dependent protein kinase holoenzy...	20	3	2.52	0.46903	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc37419.1
GO:0000307	cyclin-dependent protein kinase holoenzy...	20	3	2.52	0.46903	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc17313.1
GO:0000307	cyclin-dependent protein kinase holoenzy...	20	3	2.52	0.46903	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc01662.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc06520.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc06555.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc38834.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc05702.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc36685.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc04603.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc37363.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc26438.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc02532.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc11837.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc11838.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc05701.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc26866.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc22275.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc25043.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc07360.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc20477.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc09564.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc19847.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc20253.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc20417.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc36483.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc12640.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc13080.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc14694.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc08110.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc14723.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc09597.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc11586.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc33243.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc30698.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc32327.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc02235.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc33555.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc12565.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc14722.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc27705.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc13844.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc11217.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc18397.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc11656.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc16499.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc28965.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc02349.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc30403.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc02089.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc01341.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc18191.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc30105.1
GO:0000325	plant-type vacuole	392	50	49.31	0.49501	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc19835.1
GO:0000326	protein storage vacuole	29	4	3.65	0.50409	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc09597.1
GO:0000326	protein storage vacuole	29	4	3.65	0.50409	5topCC.G2.ND.NS-G2.D.S.both.txt	Lc12640.1
