GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000118	histone deacetylase complex	19	1	1.25	0.72626	5topCC.G2.ND.NS-G2.D.S.down.txt	Lc23569.1
GO:0000145	exocyst	44	5	2.9	0.16175	5topCC.G2.ND.NS-G2.D.S.down.txt	Lc23652.1
GO:0000145	exocyst	44	5	2.9	0.16175	5topCC.G2.ND.NS-G2.D.S.down.txt	Lc21193.1
GO:0000145	exocyst	44	5	2.9	0.16175	5topCC.G2.ND.NS-G2.D.S.down.txt	Lc34321.1
GO:0000145	exocyst	44	5	2.9	0.16175	5topCC.G2.ND.NS-G2.D.S.down.txt	Lc02869.1
GO:0000145	exocyst	44	5	2.9	0.16175	5topCC.G2.ND.NS-G2.D.S.down.txt	Lc21074.1
GO:0000148	1,3-beta-D-glucan synthase complex	21	1	1.38	0.76117	5topCC.G2.ND.NS-G2.D.S.down.txt	Lc06433.1
GO:0000323	lytic vacuole	84	9	5.54	0.61438	5topCC.G2.ND.NS-G2.D.S.down.txt	Lc22373.1
GO:0000323	lytic vacuole	84	9	5.54	0.61438	5topCC.G2.ND.NS-G2.D.S.down.txt	Lc11656.1
GO:0000323	lytic vacuole	84	9	5.54	0.61438	5topCC.G2.ND.NS-G2.D.S.down.txt	Lc27865.1
GO:0000323	lytic vacuole	84	9	5.54	0.61438	5topCC.G2.ND.NS-G2.D.S.down.txt	Lc22889.1
GO:0000323	lytic vacuole	84	9	5.54	0.61438	5topCC.G2.ND.NS-G2.D.S.down.txt	Lc11586.1
GO:0000323	lytic vacuole	84	9	5.54	0.61438	5topCC.G2.ND.NS-G2.D.S.down.txt	Lc19777.1
GO:0000323	lytic vacuole	84	9	5.54	0.61438	5topCC.G2.ND.NS-G2.D.S.down.txt	Lc32195.1
GO:0000323	lytic vacuole	84	9	5.54	0.61438	5topCC.G2.ND.NS-G2.D.S.down.txt	Lc28181.1
GO:0000323	lytic vacuole	84	9	5.54	0.61438	5topCC.G2.ND.NS-G2.D.S.down.txt	Lc36685.1
GO:0000325	plant-type vacuole	392	29	25.83	0.33361	5topCC.G2.ND.NS-G2.D.S.down.txt	Lc09564.1
GO:0000325	plant-type vacuole	392	29	25.83	0.33361	5topCC.G2.ND.NS-G2.D.S.down.txt	Lc09597.1
GO:0000325	plant-type vacuole	392	29	25.83	0.33361	5topCC.G2.ND.NS-G2.D.S.down.txt	Lc19847.1
GO:0000325	plant-type vacuole	392	29	25.83	0.33361	5topCC.G2.ND.NS-G2.D.S.down.txt	Lc11586.1
GO:0000325	plant-type vacuole	392	29	25.83	0.33361	5topCC.G2.ND.NS-G2.D.S.down.txt	Lc26866.1
GO:0000325	plant-type vacuole	392	29	25.83	0.33361	5topCC.G2.ND.NS-G2.D.S.down.txt	Lc13844.1
