GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000126	transcription factor TFIIIB complex	5	2	1.15	0.3232	5topCC.G2.ND.S-G1.ND.S.both.txt	Lc35431.1
GO:0000126	transcription factor TFIIIB complex	5	2	1.15	0.3232	5topCC.G2.ND.S-G1.ND.S.both.txt	Lc25606.1
GO:0000164	protein phosphatase type 1 complex	10	5	2.29	0.0560	5topCC.G2.ND.S-G1.ND.S.both.txt	Lc03470.1
GO:0000164	protein phosphatase type 1 complex	10	5	2.29	0.0560	5topCC.G2.ND.S-G1.ND.S.both.txt	Lc04543.1
GO:0000164	protein phosphatase type 1 complex	10	5	2.29	0.0560	5topCC.G2.ND.S-G1.ND.S.both.txt	Lc01307.1
GO:0000164	protein phosphatase type 1 complex	10	5	2.29	0.0560	5topCC.G2.ND.S-G1.ND.S.both.txt	Lc30965.1
GO:0000164	protein phosphatase type 1 complex	10	5	2.29	0.0560	5topCC.G2.ND.S-G1.ND.S.both.txt	Lc04051.1
GO:0000176	nuclear exosome (RNase complex)	12	5	2.75	0.1176	5topCC.G2.ND.S-G1.ND.S.both.txt	Lc28602.1
GO:0000176	nuclear exosome (RNase complex)	12	5	2.75	0.1176	5topCC.G2.ND.S-G1.ND.S.both.txt	Lc15400.1
GO:0000176	nuclear exosome (RNase complex)	12	5	2.75	0.1176	5topCC.G2.ND.S-G1.ND.S.both.txt	Lc15833.1
GO:0000176	nuclear exosome (RNase complex)	12	5	2.75	0.1176	5topCC.G2.ND.S-G1.ND.S.both.txt	Lc27470.1
GO:0000176	nuclear exosome (RNase complex)	12	5	2.75	0.1176	5topCC.G2.ND.S-G1.ND.S.both.txt	Lc08885.1
GO:0000177	cytoplasmic exosome (RNase complex)	7	4	1.6	0.0528	5topCC.G2.ND.S-G1.ND.S.both.txt	Lc08885.1
GO:0000177	cytoplasmic exosome (RNase complex)	7	4	1.6	0.0528	5topCC.G2.ND.S-G1.ND.S.both.txt	Lc28602.1
GO:0000177	cytoplasmic exosome (RNase complex)	7	4	1.6	0.0528	5topCC.G2.ND.S-G1.ND.S.both.txt	Lc15400.1
GO:0000177	cytoplasmic exosome (RNase complex)	7	4	1.6	0.0528	5topCC.G2.ND.S-G1.ND.S.both.txt	Lc15833.1
