GO.ID	Term	Annotated	Significant	Expected	p.value	nc	Genes
GO:0000126	transcription factor TFIIIB complex	5	2	0.55	0.09779	5topCC.G2.ND.S-G1.ND.S.down.txt	Lc35431.1
GO:0000126	transcription factor TFIIIB complex	5	2	0.55	0.09779	5topCC.G2.ND.S-G1.ND.S.down.txt	Lc25606.1
GO:0000176	nuclear exosome (RNase complex)	12	5	1.33	0.00675	5topCC.G2.ND.S-G1.ND.S.down.txt	Lc15400.1
GO:0000176	nuclear exosome (RNase complex)	12	5	1.33	0.00675	5topCC.G2.ND.S-G1.ND.S.down.txt	Lc08885.1
GO:0000176	nuclear exosome (RNase complex)	12	5	1.33	0.00675	5topCC.G2.ND.S-G1.ND.S.down.txt	Lc27470.1
GO:0000176	nuclear exosome (RNase complex)	12	5	1.33	0.00675	5topCC.G2.ND.S-G1.ND.S.down.txt	Lc15833.1
GO:0000176	nuclear exosome (RNase complex)	12	5	1.33	0.00675	5topCC.G2.ND.S-G1.ND.S.down.txt	Lc28602.1
GO:0000177	cytoplasmic exosome (RNase complex)	7	4	0.78	0.00400	5topCC.G2.ND.S-G1.ND.S.down.txt	Lc15400.1
GO:0000177	cytoplasmic exosome (RNase complex)	7	4	0.78	0.00400	5topCC.G2.ND.S-G1.ND.S.down.txt	Lc15833.1
GO:0000177	cytoplasmic exosome (RNase complex)	7	4	0.78	0.00400	5topCC.G2.ND.S-G1.ND.S.down.txt	Lc28602.1
GO:0000177	cytoplasmic exosome (RNase complex)	7	4	0.78	0.00400	5topCC.G2.ND.S-G1.ND.S.down.txt	Lc08885.1
GO:0000326	protein storage vacuole	29	4	3.21	0.40328	5topCC.G2.ND.S-G1.ND.S.down.txt	Lc17551.1
GO:0000326	protein storage vacuole	29	4	3.21	0.40328	5topCC.G2.ND.S-G1.ND.S.down.txt	Lc11586.1
GO:0000326	protein storage vacuole	29	4	3.21	0.40328	5topCC.G2.ND.S-G1.ND.S.down.txt	Lc30952.1
GO:0000326	protein storage vacuole	29	4	3.21	0.40328	5topCC.G2.ND.S-G1.ND.S.down.txt	Lc28244.1
GO:0000418	RNA polymerase IV complex	18	4	1.99	0.13077	5topCC.G2.ND.S-G1.ND.S.down.txt	Lc09891.1
GO:0000418	RNA polymerase IV complex	18	4	1.99	0.13077	5topCC.G2.ND.S-G1.ND.S.down.txt	Lc10124.1
GO:0000418	RNA polymerase IV complex	18	4	1.99	0.13077	5topCC.G2.ND.S-G1.ND.S.down.txt	Lc26528.1
GO:0000418	RNA polymerase IV complex	18	4	1.99	0.13077	5topCC.G2.ND.S-G1.ND.S.down.txt	Lc06278.1
GO:0000781	chromosome, telomeric region	31	5	3.44	0.34861	5topCC.G2.ND.S-G1.ND.S.down.txt	Lc34811.1
GO:0000781	chromosome, telomeric region	31	5	3.44	0.34861	5topCC.G2.ND.S-G1.ND.S.down.txt	Lc12496.1
GO:0000781	chromosome, telomeric region	31	5	3.44	0.34861	5topCC.G2.ND.S-G1.ND.S.down.txt	Lc38395.1
GO:0000781	chromosome, telomeric region	31	5	3.44	0.34861	5topCC.G2.ND.S-G1.ND.S.down.txt	Lc18725.1
GO:0000781	chromosome, telomeric region	31	5	3.44	0.34861	5topCC.G2.ND.S-G1.ND.S.down.txt	Lc14004.1
GO:0000784	nuclear chromosome, telomeric region	28	4	3.1	0.37705	5topCC.G2.ND.S-G1.ND.S.down.txt	Lc14004.1
GO:0000784	nuclear chromosome, telomeric region	28	4	3.1	0.37705	5topCC.G2.ND.S-G1.ND.S.down.txt	Lc12496.1
GO:0000784	nuclear chromosome, telomeric region	28	4	3.1	0.37705	5topCC.G2.ND.S-G1.ND.S.down.txt	Lc18725.1
GO:0000784	nuclear chromosome, telomeric region	28	4	3.1	0.37705	5topCC.G2.ND.S-G1.ND.S.down.txt	Lc34811.1
